17-220kV_Ⅱ母电压Ua_17,18-220kV_Ⅱ母电压Ub_18,19-220kV_Ⅱ母电压Uc_19,20-220kV_Ⅱ母电压3Uo_20,5-220kV_唐木Ⅰ回线电流１Ia_5,6-220kV_唐木Ⅰ回线电流１Ib_6,7-220kV_唐木Ⅰ回线电流１Ic_7,8-220kV_唐木Ⅰ回线电流１3Io_8
-71.34248352050781,77.57423400878906,-6.023171424865723,0.221939817070961,-0.035882316529750824,0.04315126687288284,0.0,0.0
-74.36277770996094,75.03809356689453,-0.6974198222160339,-0.221939817070961,-0.035882316529750824,0.0359593890607357,0.0,0.0
-77.16051483154297,72.15322875976562,4.660032272338867,-0.697525143623352,-0.035882316529750824,0.0359593890607357,0.0,0.0
-79.54496002197266,69.01475524902344,10.049185752868652,-0.9194649457931519,-0.04305877909064293,0.0359593890607357,0.0071834176778793335,0.007185351103544235
-81.48430633544922,65.36905670166016,15.501740455627441,-1.1414047479629517,-0.04305877909064293,0.028767511248588562,0.014366835355758667,0.0
-83.23289489746094,61.62824249267578,21.017698287963867,-1.1414047479629517,-0.04305877909064293,0.028767511248588562,0.0071834176778793335,0.0
-84.50460052490234,57.57041549682617,26.343448638916016,-1.1414047479629517,-0.04305877909064293,0.028767511248588562,0.014366835355758667,0.007185351103544235
-85.07686614990234,53.13216781616211,31.383892059326172,-1.109699010848999,-0.04305877909064293,0.02157563343644142,0.014366835355758667,0.0
-85.4583740234375,48.4403076171875,36.487735748291016,-0.9828763008117676,-0.04305877909064293,0.02157563343644142,0.021550253033638,0.007185351103544235
-85.64913177490234,43.68503952026367,41.43307876586914,-0.9828763008117676,-0.04305877909064293,0.02157563343644142,0.021550253033638,0.0
-85.52195739746094,38.898075103759766,46.06140899658203,-0.9511706233024597,-0.04305877909064293,0.014383755624294281,0.021550253033638,0.0
-85.14044952392578,34.0160026550293,50.626338958740234,-0.8243478536605835,-0.04305877909064293,0.014383755624294281,0.021550253033638,0.0
-84.47280883789062,29.133928298950195,54.969364166259766,-0.6658194065093994,-0.035882316529750824,0.014383755624294281,0.028733670711517334,0.007185351103544235
-83.70978546142578,24.22015380859375,59.18558120727539,-0.5707023739814758,-0.04305877909064293,0.014383755624294281,0.021550253033638,0.0
-82.72421264648438,19.4014835357666,63.116493225097656,-0.348762571811676,-0.035882316529750824,0.0071918778121471405,0.028733670711517334,0.0
-81.3253402709961,14.42430591583252,66.6669921875,-0.25364550948143005,-0.02870585210621357,0.0071918778121471405,0.021550253033638,0.007185351103544235
-79.25882720947266,9.161811828613281,69.9004898071289,-0.25364550948143005,-0.035882316529750824,0.0,0.028733670711517334,0.0
-77.00155639648438,3.9310197830200195,72.88037109375,-0.2853511869907379,-0.035882316529750824,-0.0071918778121471405,0.028733670711517334,0.0
-74.20381164550781,-1.5850886106491089,75.60665130615234,-0.25364550948143005,-0.035882316529750824,-0.0071918778121471405,0.03591708838939667,0.0
-71.0245590209961,-7.164600372314453,78.01591491699219,-0.221939817070961,-0.035882316529750824,0.0,0.043100506067276,0.0
-67.74992370605469,-12.490497589111328,80.20327758789062,-0.06341137737035751,-0.02870585210621357,-0.0071918778121471405,0.03591708838939667,0.007185351103544235
-64.09378051757812,-17.78469467163086,82.0102310180664,0.3170568645000458,-0.02870585210621357,-0.0071918778121471405,0.03591708838939667,0.0
-60.119712829589844,-22.983783721923828,83.5635757446289,0.8243478536605835,-0.021529389545321465,-0.0071918778121471405,0.03591708838939667,0.0
-56.08205795288086,-27.992664337158203,84.7048110961914,1.1414047479629517,-0.021529389545321465,-0.014383755624294281,0.043100506067276,0.007185351103544235
-51.726478576660156,-32.96984100341797,85.30712890625,1.1731104850769043,-0.021529389545321465,-0.014383755624294281,0.03591708838939667,-0.007185351103544235
-47.24372863769531,-37.947021484375,85.75093841552734,0.9511706233024597,-0.021529389545321465,-0.02157563343644142,0.03591708838939667,0.0
-42.50663757324219,-43.01930236816406,85.87773895263672,0.6024080514907837,-0.014352926053106785,-0.014383755624294281,0.03591708838939667,0.0
-37.578792572021484,-47.806270599365234,85.56072998046875,0.3170568645000458,-0.014352926053106785,-0.028767511248588562,0.03591708838939667,0.0
-32.7463264465332,-52.21281814575195,85.05352020263672,0.1585284322500229,-0.014352926053106785,-0.02157563343644142,0.03591708838939667,0.0
-27.723102569580078,-56.492557525634766,84.29269409179688,0.19023412466049194,0.0,-0.02157563343644142,0.03591708838939667,0.007185351103544235
-22.731672286987305,-60.58208465576172,83.43677520751953,0.2853511869907379,0.0,-0.028767511248588562,0.03591708838939667,0.0
-17.835620880126953,-64.35459899902344,82.48574829101562,0.538996696472168,0.0,-0.028767511248588562,0.03591708838939667,0.0
-12.84419059753418,-67.61988067626953,80.93240356445312,0.7926421761512756,0.0,-0.0359593890607357,0.03591708838939667,0.0
-7.566627025604248,-70.8217544555664,78.84014129638672,0.887759268283844,0.007176463026553392,-0.0359593890607357,0.028733670711517334,0.0
-2.2572710514068604,-73.80172729492188,76.49427795410156,0.7926421761512756,0.0,-0.0359593890607357,0.03591708838939667,0.0
3.1792550086975098,-76.59147644042969,73.64119720458984,0.41217392683029175,0.007176463026553392,-0.0359593890607357,0.021550253033638,0.0
8.6157808303833,-79.03251647949219,70.3125991821289,-0.19023412466049194,0.014352926053106785,-0.04315126687288284,0.028733670711517334,0.007185351103544235
13.92513656616211,-81.02973175048828,66.73040008544922,-0.6658194065093994,0.014352926053106785,-0.04315126687288284,0.021550253033638,0.0
19.361663818359375,-82.90013122558594,62.86288833618164,-1.109699010848999,0.014352926053106785,-0.04315126687288284,0.028733670711517334,0.0
24.671018600463867,-84.19990539550781,58.77347183227539,-1.23652184009552,0.014352926053106785,-0.04315126687288284,0.021550253033638,0.0
29.694242477416992,-84.96074676513672,54.6523551940918,-1.0145820379257202,0.014352926053106785,-0.04315126687288284,0.021550253033638,0.0
34.78104782104492,-85.40457153320312,50.309329986572266,-0.6024080514907837,0.021529389545321465,-0.04315126687288284,0.021550253033638,0.0
39.70889663696289,-85.6264877319336,45.83950424194336,-0.19023412466049194,0.021529389545321465,-0.04315126687288284,0.014366835355758667,0.0
44.47777557373047,-85.68988800048828,41.274574279785156,0.221939817070961,0.02870585210621357,-0.04315126687288284,0.021550253033638,0.0
49.151283264160156,-85.3094711303711,36.32923126220703,0.3804682493209839,0.021529389545321465,-0.0359593890607357,0.0071834176778793335,0.0
53.475067138671875,-84.77053833007812,31.383892059326172,0.221939817070961,0.02870585210621357,-0.04315126687288284,0.0071834176778793335,0.0
57.54451370239258,-83.88288879394531,26.24834632873535,0.0,0.02870585210621357,-0.0359593890607357,0.0071834176778793335,0.0
61.4232063293457,-82.83673095703125,21.144500732421875,-0.3170568645000458,0.035882316529750824,-0.0359593890607357,0.0,0.0
65.07935333251953,-81.63206481933594,16.23086166381836,-0.47558531165122986,0.035882316529750824,-0.0359593890607357,0.0071834176778793335,0.007185351103544235
68.22681427001953,-79.69825744628906,11.063614845275879,-0.443879634141922,0.035882316529750824,-0.04315126687288284,0.0,-0.007185351103544235
71.40606689453125,-77.51083374023438,5.864666938781738,-0.221939817070961,0.04305877909064293,-0.028767511248588562,-0.0071834176778793335,0.0
74.4581527709961,-75.03809356689453,0.5389153361320496,0.221939817070961,0.035882316529750824,-0.0359593890607357,0.0,0.0
77.22410583496094,-72.1849365234375,-4.850237846374512,0.6341137290000916,0.04305877909064293,-0.028767511248588562,-0.014366835355758667,0.007185351103544235
79.67212677001953,-69.10986328125,-10.207690238952637,0.8243478536605835,0.04305877909064293,-0.028767511248588562,-0.014366835355758667,0.0
81.54788970947266,-65.49585723876953,-15.628544807434082,0.9828763008117676,0.04305877909064293,-0.028767511248588562,-0.0071834176778793335,0.0
83.23289489746094,-61.691646575927734,-21.11280059814453,0.9828763008117676,0.04305877909064293,-0.028767511248588562,-0.021550253033638,0.0
84.50460052490234,-57.665523529052734,-26.375150680541992,0.9511706233024597,0.04305877909064293,-0.02157563343644142,-0.021550253033638,0.0
85.10865783691406,-53.19557189941406,-31.510696411132812,0.8243478536605835,0.050235241651535034,-0.028767511248588562,-0.021550253033638,0.0
85.52195739746094,-48.50371170043945,-36.67794418334961,0.7609364986419678,0.050235241651535034,-0.02157563343644142,-0.021550253033638,0.0
