1-500kV罗平Ⅰ线电压Ua_1,2-500kV罗平Ⅰ线电压Ub_2,3-500kV罗平Ⅰ线电压Uc_3,4-500kV罗平Ⅰ线电压3Uo_4,9-500kV罗平Ⅰ线电流Ia_9,10-500kV罗平Ⅰ线电流Ib_10,11-500kV罗平Ⅰ线电流Ic_11,12-500kV罗平Ⅰ线电流3Io_12
70.70204162597656,9.634124755859375,-80.7091064453125,-0.7769455313682556,0.19337311387062073,0.11049892008304596,-0.3004189431667328,-0.0034530912525951862
67.37671661376953,14.917354583740234,-82.66700744628906,-0.8391011953353882,0.17956075072288513,0.12776437401771545,-0.3038720488548279,-0.0034530912525951862
63.771690368652344,20.169506072998047,-84.37628936767578,-0.9323346614837646,0.15884220600128174,0.14502982795238495,-0.3073251247406006,-0.0069061825051903725
59.824806213378906,25.42165756225586,-85.65047454833984,-0.9634124636650085,0.14157673716545105,0.16574838757514954,-0.3038720488548279,-0.0034530912525951862
55.629302978515625,30.54949951171875,-86.6138916015625,-1.0255681276321411,0.12085819244384766,0.17956075072288513,-0.3004189431667328,-0.0034530912525951862
51.123016357421875,35.61518478393555,-87.2043685913086,-1.0566459894180298,0.10013964772224426,0.19682620465755463,-0.3004189431667328,-0.0069061825051903725
46.430267333984375,40.61871337890625,-87.42191314697266,-0.9944903254508972,0.08287419378757477,0.20718547701835632,-0.3004189431667328,-0.0034530912525951862
41.551048278808594,45.466854095458984,-87.35975646972656,-1.0255681276321411,0.06215564161539078,0.22099784016609192,-0.2969658374786377,-0.0069061825051903725
36.516441345214844,50.159603118896484,-86.98682403564453,-0.9944903254508972,0.04489018768072128,0.2382632941007614,-0.2900596559047699,-0.0034530912525951862
31.35752296447754,54.665889739990234,-86.27203369140625,-0.9012568593025208,0.02417163923382759,0.2520756721496582,-0.2831534743309021,-0.0034530912525951862
26.105371475219727,58.954627990722656,-85.27754211425781,-0.9012568593025208,0.0069061825051903725,0.2624349296092987,-0.2762472927570343,-0.0034530912525951862
20.822141647338867,63.05690002441406,-84.00335693359375,-0.7769455313682556,-0.010359274223446846,0.2727942168712616,-0.2693411111831665,-0.0069061825051903725
15.507833480834961,66.81731414794922,-82.3873062133789,-0.6837120652198792,-0.03107782080769539,0.2797003984451294,-0.258981853723526,-0.0069061825051903725
10.131369590759277,70.36019134521484,-80.46047973632812,-0.5283229947090149,-0.04834327846765518,0.2900596559047699,-0.2486225664615631,-0.0069061825051903725
4.785984516143799,73.62335968017578,-78.19180297851562,-0.3418560326099396,-0.06560873240232468,0.2969658374786377,-0.23481020331382751,-0.0034530912525951862
-0.5904785990715027,76.57575225830078,-75.64341735839844,-0.18646693229675293,-0.08287419378757477,0.3038720488548279,-0.22445093095302582,-0.0069061825051903725
-5.904786109924316,79.21736907958984,-72.78425598144531,-0.031077822670340538,-0.10013964772224426,0.3038720488548279,-0.21063856780529022,-0.0069061825051903725
-10.877237319946289,78.7511978149414,-69.61431884765625,-3.853649854660034,-0.14848291873931885,0.43163642287254333,-0.21409165859222412,-0.08287419378757477
-16.782024383544922,75.8609619140625,-67.22132873535156,-15.35244369506836,-0.18992002308368683,0.656087338924408,-0.20027929544448853,-0.2831534743309021
-23.463756561279297,73.4990463256836,-65.10803985595703,-27.75249481201172,-0.20718547701835632,0.8563666343688965,-0.16229529678821564,-0.4903389513492584
-30.14548683166504,71.66545867919922,-62.59073257446289,-38.2257194519043,-0.22099784016609192,1.0152088403701782,-0.12431128323078156,-0.6837120652198792
-36.392127990722656,68.8373794555664,-59.545108795166016,-48.512481689453125,-0.2382632941007614,1.2085819244384766,-0.08978037536144257,-0.8943506479263306
-42.60769271850586,66.13360595703125,-56.28193664550781,-58.1466064453125,-0.2486225664615631,1.3915958404541016,-0.05179636925458908,-1.0980830192565918
-48.667869567871094,65.48097229003906,-52.55259704589844,-63.274444580078125,-0.2866065800189972,1.5677034854888916,-0.041437096893787384,-1.253472089767456
-53.39169692993164,65.51204681396484,-47.58014678955078,-62.59073257446289,-0.3142313063144684,1.7369049787521362,-0.020718548446893692,-1.4123142957687378
-56.81025695800781,64.95265197753906,-41.33350372314453,-58.51953887939453,-0.3211374878883362,1.8957470655441284,0.02417163923382759,-1.5987812280654907
-60.38420867919922,65.07695770263672,-35.055782318115234,-53.453853607177734,-0.33840295672416687,2.058042526245117,0.05524946004152298,-1.7748888731002808
-63.95815658569336,66.07144927978516,-28.809141159057617,-47.207210540771484,-0.35912150144577026,2.2168846130371094,0.08287419378757477,-1.93718421459198
-66.78623962402344,66.4133071899414,-22.096330642700195,-39.62422180175781,-0.37638694047927856,2.3619143962860107,0.10013964772224426,-2.0891201496124268
-68.93061065673828,65.7295913696289,-14.979510307312012,-31.91692352294922,-0.40746477246284485,2.513850450515747,0.10359273850917816,-2.2099783420562744
-71.38575744628906,64.70402526855469,-8.359933853149414,-26.353992462158203,-0.43854260444641113,2.6588802337646484,0.11740510165691376,-2.341195821762085
-74.15167999267578,63.119056701660156,-2.4551479816436768,-23.619144439697266,-0.44544878602027893,2.790097713470459,0.15193602442741394,-2.4896788597106934
-76.4825210571289,60.38420867919922,3.076704502105713,-22.87327766418457,-0.45235496759414673,2.904049873352051,0.17610765993595123,-2.631255626678467
-78.7511978149414,56.71702575683594,8.204545021057129,-24.271778106689453,-0.45580804347991943,3.0180017948150635,0.19682620465755463,-2.7521138191223145
-81.20635223388672,53.298465728759766,12.897295951843262,-26.447227478027344,-0.4661673307418823,3.1285006999969482,0.21754474937915802,-2.869518756866455
