110kV II母电压_5,110kV II母电压_6,110kV II母电压_7,110kV II母电压_8,110kV 禄腰德线_13,110kV 禄腰德线_14,110kV 禄腰德线_15,110kV 禄腰德线_16
-66.19734954833984,80.65332794189453,-14.511743545532227,0.0234570000320673,-0.002580000087618828,-0.0025859999004751444,0.027712000533938408,0.006020000204443932
-69.41096496582031,78.7124252319336,-9.32973575592041,0.0938280001282692,-0.00430000014603138,0.0025859999004751444,0.0355059988796711,0.00343999988399446
-72.43898010253906,76.41092681884766,-4.015128135681152,0.0,0.0,-0.0025859999004751444,0.044165998697280884,0.00343999988399446
-75.17002868652344,73.82306671142578,1.315392017364502,0.015637999400496483,0.000859999970998615,-0.0060339998453855515,0.03463999927043915,0.00171999994199723
-77.6783447265625,70.92762756347656,6.6883440017700195,-0.11728499829769135,0.0,-0.004310000222176313,0.03897000104188919,0.007739999797195196
-79.6669692993164,67.60264587402344,11.955216407775879,-0.0469140000641346,0.000859999970998615,-0.013791999779641628,0.03983600065112114,0.00171999994199723
-81.47528839111328,64.20342254638672,17.15843963623047,-0.11728499829769135,0.00687999976798892,-0.011206000111997128,0.0337739996612072,0.000859999970998615
-83.21997833251953,60.51253128051758,22.478351593017578,-0.21893200278282166,0.009460000321269035,-0.011206000111997128,0.03290800005197525,0.00343999988399446
-84.53512573242188,56.54589080810547,27.718704223632812,-0.22675099968910217,0.006020000204443932,-0.011206000111997128,0.03983600065112114,0.002580000087618828
-85.51617431640625,52.47848892211914,32.9060173034668,-0.06255199760198593,0.005160000175237656,-0.013791999779641628,0.03463999927043915,0.00343999988399446
-86.29041290283203,48.0929069519043,38.019073486328125,-0.06255199760198593,0.00687999976798892,-0.012930000200867653,0.027712000533938408,0.00343999988399446
-86.49723052978516,43.35732650756836,42.9517936706543,-0.12510399520397186,0.011180000379681587,-0.013791999779641628,0.029443999752402306,0.00343999988399446
-86.06238555908203,38.27705383300781,47.587486267089844,-0.10946600139141083,0.016340000554919243,-0.012067999690771103,0.027712000533938408,0.00171999994199723
-85.22981262207031,33.02178192138672,52.07997512817383,-0.12510399520397186,0.020640000700950623,-0.018101999536156654,0.030309999361634254,0.00343999988399446
-84.24346160888672,27.824840545654297,56.2224006652832,-0.22675099968910217,0.022360000759363174,-0.018101999536156654,0.027712000533938408,0.006020000204443932
-83.14043426513672,22.73396110534668,60.17388153076172,-0.21111300587654114,0.022360000759363174,-0.018101999536156654,0.025113999843597412,0.000859999970998615
-81.69271850585938,17.616565704345703,63.88137435913086,-0.22675099968910217,0.02322000078856945,-0.022412000223994255,0.027712000533938408,0.002580000087618828
-80.11241912841797,12.393111228942871,67.3979263305664,-0.2814840078353882,0.0215000007301569,-0.019826000556349754,0.02684600092470646,0.00343999988399446
-78.14500427246094,7.227989196777344,70.64397430419922,-0.40658798813819885,0.024080000817775726,-0.018101999536156654,0.02684600092470646,0.0
-75.57305145263672,1.8719589710235596,73.41796875,-0.2423889935016632,0.028379999101161957,-0.023274000734090805,0.022515999153256416,0.000859999970998615
-72.74124908447266,-3.2613449096679688,76.01162719726562,0.031275998800992966,0.03009999915957451,-0.023274000734090805,0.023382000625133514,0.00343999988399446
-69.92536163330078,-8.569647789001465,78.55223846435547,0.13292300701141357,0.029239999130368233,-0.020687999203801155,0.022515999153256416,0.00430000014603138
-66.38825988769531,-13.867344856262207,80.4139404296875,0.3909499943256378,0.028379999101161957,-0.019826000556349754,0.021649999544024467,0.00171999994199723
-62.633731842041016,-19.000648498535156,81.95740509033203,0.61770099401474,0.035259999334812164,-0.016378000378608704,0.01039199996739626,0.002580000087618828
-58.905723571777344,-24.176376342773438,83.36827087402344,0.5864250063896179,0.03440000116825104,-0.016378000378608704,0.012124000117182732,0.002580000087618828
-54.76938247680664,-29.378620147705078,84.41846466064453,0.4691399931907654,0.02751999907195568,-0.017240000888705254,0.013856000266969204,0.0
-50.351985931396484,-34.53313446044922,85.17693328857422,0.4378640055656433,0.035259999334812164,-0.020687999203801155,0.016454000025987625,0.00343999988399446
-45.69064712524414,-39.7937126159668,85.64368438720703,0.1485610008239746,0.041280001401901245,-0.024135999381542206,0.00952600035816431,0.006020000204443932
-41.103553771972656,-44.82095718383789,85.87175750732422,-0.11728499829769135,0.04213999956846237,-0.013791999779641628,0.008659999817609787,0.007739999797195196
-36.38388442993164,-49.43986892700195,85.83993530273438,-0.054733000695705414,0.03353999927639961,-0.012930000200867653,0.013856000266969204,0.007739999797195196
-31.42557716369629,-53.830753326416016,85.3837890625,0.0938280001282692,0.032680001109838486,-0.012930000200867653,0.015588000416755676,0.00343999988399446
-26.76954460144043,-57.82391357421875,84.73670196533203,0.2423889935016632,0.03784000128507614,-0.013791999779641628,0.0,0.002580000087618828
-21.726390838623047,-61.58904266357422,83.56982421875,0.2971220016479492,0.043859999626874924,-0.012067999690771103,0.0,0.00860000029206276
-16.11051368713379,-65.18447875976562,81.64447021484375,0.508234977722168,0.0430000014603138,-0.013791999779641628,0.0008660000166855752,0.007739999797195196
-10.674939155578613,-68.53597259521484,79.55999755859375,0.5473300218582153,0.043859999626874924,-0.006895999889820814,0.0,0.005160000175237656
-5.207546234130859,-71.8238296508789,77.2315444946289,0.22675099968910217,0.0430000014603138,-0.006895999889820814,0.0008660000166855752,0.007739999797195196
0.3287859857082367,-74.87305450439453,74.60076141357422,0.06255199760198593,0.03612000122666359,-0.0025859999004751444,0.0008660000166855752,0.00343999988399446
5.801482200622559,-77.402587890625,71.64112854003906,-0.06255199760198593,0.03612000122666359,-0.006895999889820814,0.002597999991849065,0.00687999976798892
