220kV Ⅰ母电压_A相_1,220kV Ⅰ母电压_B相_2,220kV Ⅰ母电压_C相_3,220kV Ⅰ母电压_3U0_4,唐木Ⅰ回线262_A相_37,唐木Ⅰ回线262_B相_38,唐木Ⅰ回线262_C相_39,唐木Ⅰ回线262_3I0_40
31.84841537475586,51.937381744384766,-84.87308502197266,-0.7772021293640137,-0.11149658262729645,-0.2325749546289444,0.12074250727891922,-0.2045186460018158
11.20185661315918,67.30851745605469,-79.45167541503906,-0.5440414547920227,-0.08362243324518204,-0.30699893832206726,0.1950455904006958,-0.2045186460018158
-11.065886497497559,78.3428726196289,-68.32844543457031,-0.637305736541748,-0.027874145656824112,-0.3628169298171997,0.1950455904006958,-0.21381494402885437
-32.96755599975586,83.91724395751953,-52.033058166503906,-0.7616580724716187,-0.018582763150334358,-0.41863492131233215,0.1578940451145172,-0.21381494402885437
-52.432220458984375,83.91724395751953,-32.49729537963867,-0.606217622756958,0.06503967195749283,-0.41863492131233215,0.16718193888664246,-0.21381494402885437
-67.48307800292969,78.05167388916016,-11.829471588134766,-0.839378297328949,0.11149658262729645,-0.455846905708313,0.12074250727891922,-0.21381494402885437
-78.85228729248047,67.2773208618164,10.593557357788086,-0.839378297328949,0.13007934391498566,-0.4744529128074646,0.06501519680023193,-0.22311124205589294
-84.69900512695312,51.03258514404297,32.15456008911133,-0.9792746305465698,0.2229931652545929,-0.4930588901042938,0.027863657101988792,-0.2045186460018158
-84.2074203491211,31.39746856689453,51.69032669067383,-0.8860104084014893,0.2508673071861267,-0.4651499092578888,-0.018575770780444145,-0.21381494402885437
-78.83136749267578,10.368756294250488,67.11329650878906,-0.8860104084014893,0.30661559104919434,-0.41863492131233215,-0.08359096944332123,-0.19522233307361603
-67.94328308105469,-11.512751579284668,78.3819351196289,-0.7772021293640137,0.30661559104919434,-0.39072591066360474,-0.13003039360046387,-0.21381494402885437
-51.8674201965332,-33.31106185913086,83.88642883300781,-0.6839378476142883,0.29732421040534973,-0.3628169298171997,-0.1764698177576065,-0.19522233307361603
-31.73336410522461,-53.310176849365234,83.84488677978516,-0.6839378476142883,0.2787414491176605,-0.28839293122291565,-0.1764698177576065,-0.2045186460018158
