220kV I 母电压_A_1,220kV I 母电压_B_2,220kV I 母电压_C_3,220kV I 母电压_N_4,220kV凤华I回电流_A_9,220kV凤华I回电流_B_10,220kV凤华I回电流_C_11,220kV凤华I回电流_N_12
84.95603942871094,-63.189125061035156,-21.58650016784668,0.29932600259780884,-0.008729999884963036,0.2102160006761551,-0.17430000007152557,0.017470000311732292
87.62013244628906,-52.57343673706055,-34.749000549316406,0.5041279792785645,-0.0611100010573864,0.20145699381828308,-0.165584996342659,0.0
87.93602752685547,-40.24282455444336,-47.47977066040039,0.29932600259780884,-0.08730000257492065,0.22773399949073792,-0.13072499632835388,0.008735000155866146
85.91426849365234,-27.0810546875,-58.75740051269531,0.0787699967622757,-0.1222200021147728,0.2189749926328659,-0.10458000004291534,-0.008735000155866146
82.22876739501953,-13.729905128479004,-68.36076354980469,0.17329399287700653,-0.13967999815940857,0.2102160006761551,-0.06972000002861023,0.008735000155866146
76.51097869873047,-0.2840670049190521,-76.08978271484375,0.11027800291776657,-0.16586999595165253,0.2189749926328659,-0.034860000014305115,0.008735000155866146
68.8767318725586,13.17229175567627,-82.1129379272461,-0.17329399287700653,-0.20079000294208527,0.19269800186157227,-0.008715000003576279,0.0
59.27336883544922,26.512920379638672,-85.93533325195312,-0.3308340013027191,-0.21825000643730164,0.19269800186157227,0.026145000010728836,0.017470000311732292
48.2695198059082,39.47479248046875,-87.79914093017578,-0.1575399935245514,-0.22698000073432922,0.16642099618911743,0.06972000002861023,0.008735000155866146
35.549278259277344,51.51081466674805,-87.17787170410156,-0.23631000518798828,-0.2357099950313568,0.13138499855995178,0.10458000004291534,0.008735000155866146
22.42889976501465,62.24223709106445,-84.88233184814453,-0.3938499987125397,-0.22698000073432922,0.10510800033807755,0.13944000005722046,0.008735000155866146
9.182160377502441,71.14300537109375,-80.43866729736328,-0.22055600583553314,-0.22698000073432922,0.0700720027089119,0.15686999261379242,0.008735000155866146
-3.980340003967285,78.47613525390625,-74.52081298828125,-0.11027800291776657,-0.22698000073432922,0.04379500076174736,0.165584996342659,0.008735000155866146
-17.31131935119629,83.66299438476562,-66.27581787109375,0.047262001782655716,-0.21825000643730164,0.008759000338613987,0.2004449963569641,0.0
-30.663360595703125,86.91397857666016,-56.1986083984375,-0.047262001782655716,-0.20079000294208527,-0.03503600135445595,0.21787500381469727,0.008735000155866146
-43.625789642333984,88.12389373779297,-44.42607116699219,0.01575399935245514,-0.1746000051498413,-0.061312999576330185,0.23530499637126923,0.017470000311732292
-55.51416015625,86.98762512207031,-31.41098976135254,-0.03150799870491028,-0.13967999815940857,-0.09634900093078613,0.23530499637126923,0.008735000155866146
-65.47554016113281,83.8628921508789,-18.40644073486328,-0.11027800291776657,-0.09602999687194824,-0.11386699974536896,0.22658999264240265,0.0
-73.70999908447266,78.9601058959961,-5.286059856414795,-0.1575399935245514,-0.06983999907970428,-0.1401440054178238,0.2091600000858307,0.0
-80.4070816040039,72.17405700683594,8.129159927368164,-0.2835719883441925,-0.03491999953985214,-0.15766200423240662,0.21787500381469727,0.008735000155866146
-84.92445373535156,63.30485534667969,21.449609756469727,-0.3308340013027191,-0.008729999884963036,-0.19269800186157227,0.2004449963569641,0.008735000155866146
-87.48323822021484,52.594478607177734,34.675289154052734,-0.409604012966156,0.026189999654889107,-0.20145699381828308,0.2004449963569641,0.008735000155866146
-88.04132843017578,40.37959671020508,47.500831604003906,-0.2520639896392822,0.06983999907970428,-0.2102160006761551,0.165584996342659,-0.008735000155866146
-86.1669921875,27.21782684326172,58.87322998046875,-0.11027800291776657,0.10475999861955643,-0.2102160006761551,0.1220100000500679,0.017470000311732292
-82.39724731445312,13.814072608947754,68.4344711303711,-0.18904800713062286,0.13967999815940857,-0.2102160006761551,0.08715000003576279,0.0
-76.54257202148438,0.24198299646377563,76.21614074707031,-0.0787699967622757,0.16586999595165253,-0.2102160006761551,0.04357500001788139,0.0
-68.92938232421875,-13.151249885559082,82.20771026611328,0.26781800389289856,0.1833299994468689,-0.20145699381828308,0.026145000010728836,0.008735000155866146
-59.336551666259766,-26.460315704345703,85.97744750976562,0.3780960142612457,0.20079000294208527,-0.19269800186157227,-0.017430000007152557,-0.008735000155866146
-48.311641693115234,-39.45375061035156,87.87284851074219,0.17329399287700653,0.22698000073432922,-0.15766200423240662,-0.04357500001788139,0.0
-35.49663162231445,-51.658111572265625,87.30422973632812,0.29932600259780884,0.2357099950313568,-0.1401440054178238,-0.08715000003576279,-0.008735000155866146
-22.471019744873047,-62.26327896118164,84.95603942871094,0.3780960142612457,0.22698000073432922,-0.09634900093078613,-0.11329499632120132,0.0
-9.329580307006836,-71.15352630615234,80.62821197509766,0.204802006483078,0.21825000643730164,-0.0700720027089119,-0.13072499632835388,0.0
3.7592101097106934,-78.45509338378906,74.72087860107422,0.03150799870491028,0.21825000643730164,-0.03503600135445595,-0.15686999261379242,0.0
17.332380294799805,-83.705078125,66.4232406616211,0.06301599740982056,0.20951999723911285,0.0,-0.18301500380039215,0.0
30.621240615844727,-86.87189483642578,56.33549880981445,0.11027800291776657,0.19205999374389648,0.026277000084519386,-0.19172999262809753,0.0
43.478370666503906,-88.01868438720703,44.52083969116211,-0.03150799870491028,0.1746000051498413,0.061312999576330185,-0.2091600000858307,0.0
55.303558349609375,-86.80876922607422,31.484699249267578,-0.01575399935245514,0.13095000386238098,0.08759000152349472,-0.21787500381469727,0.008735000155866146
65.32811737060547,-83.705078125,18.427499771118164,0.1260319948196411,0.09602999687194824,0.12262599915266037,-0.2091600000858307,0.008735000155866146
