1-220kV_Ⅰ母电压Ua_1,2-220kV_Ⅰ母电压Ub_2,3-220kV_Ⅰ母电压Uc_3,4-220kV_Ⅰ母电压3Uo_4,13-220kV_思唐线电流Ia_13,14-220kV_思唐线电流Ib_14,15-220kV_思唐线电流Ic_15,16-220kV_思唐线电流3Io_16
84.40213775634766,-26.99502944946289,-57.19774627685547,0.3167852461338043,0.041437096893787384,-0.0069061825051903725,-0.034530915319919586,0.0
83.38523864746094,-22.115646362304688,-61.09543228149414,0.2217496782541275,0.041437096893787384,-0.0069061825051903725,-0.034530915319919586,0.0
81.98701477050781,-17.01447296142578,-64.92974090576172,0.1267140954732895,0.034530915319919586,-0.0069061825051903725,-0.034530915319919586,0.0
80.1438980102539,-11.913298606872559,-68.225341796875,0.2217496782541275,0.034530915319919586,0.0,-0.041437096893787384,0.0
78.26899719238281,-6.7170729637146,-71.23574829101562,0.38014230132102966,0.034530915319919586,0.0069061825051903725,-0.034530915319919586,0.0
76.01276397705078,-1.4574780464172363,-74.21446990966797,0.4751778841018677,0.034530915319919586,0.0069061825051903725,-0.04834327846765518,-0.0069061825051903725
72.93030548095703,4.150643825531006,-76.84461212158203,0.41182082891464233,0.034530915319919586,0.0069061825051903725,-0.04834327846765518,-0.0069061825051903725
69.68896484375,9.60034465789795,-79.03112030029297,0.41182082891464233,0.02762473002076149,0.0069061825051903725,-0.041437096893787384,0.0
66.16161346435547,14.986676216125488,-81.12256622314453,0.03167852386832237,0.02762473002076149,0.0069061825051903725,-0.04834327846765518,0.0
62.380043029785156,20.277956008911133,-82.8971176147461,-0.443499356508255,0.02762473002076149,0.0069061825051903725,-0.04834327846765518,0.0
58.2489128112793,25.50586700439453,-84.22803497314453,-0.8553202152252197,0.034530915319919586,0.020718548446893692,-0.04834327846765518,0.0
54.08600616455078,30.480302810668945,-85.1786880493164,-1.077069878578186,0.020718548446893692,0.020718548446893692,-0.04834327846765518,0.0
49.54176330566406,35.6131591796875,-85.68570709228516,-0.9186772108078003,0.020718548446893692,0.020718548446893692,-0.05524946004152298,-0.0069061825051903725
44.902191162109375,40.650962829589844,-85.90752410888672,-0.6018919944763184,0.020718548446893692,0.020718548446893692,-0.04834327846765518,-0.0069061825051903725
40.16728210449219,45.53034591674805,-85.84414672851562,-0.253428190946579,0.013812365010380745,0.020718548446893692,-0.04834327846765518,0.0069061825051903725
35.20992660522461,50.25130844116211,-85.43219757080078,0.06335704773664474,0.020718548446893692,0.02762473002076149,-0.04834327846765518,0.0
30.252573013305664,54.687110900878906,-84.83011627197266,0.2217496782541275,0.0069061825051903725,0.034530915319919586,-0.04834327846765518,0.0
25.390552520751953,58.74270248413086,-84.10128021240234,0.09503557533025742,0.0069061825051903725,0.034530915319919586,-0.05524946004152298,0.0
20.464975357055664,62.54481887817383,-83.0555648803711,0.0,0.0069061825051903725,0.034530915319919586,-0.041437096893787384,0.0
15.348731994628906,65.99840545654297,-81.78802490234375,-0.696927547454834,0.0069061825051903725,0.034530915319919586,-0.04834327846765518,0.0
10.327821731567383,69.26189422607422,-80.04515075683594,-0.88699871301651,0.0,0.041437096893787384,-0.04834327846765518,0.0
5.179799556732178,72.33527374267578,-77.79527282714844,-0.4751778841018677,-0.0069061825051903725,0.034530915319919586,-0.041437096893787384,0.0
-0.19066748023033142,75.21854400634766,-75.22850036621094,-0.19007115066051483,-0.0069061825051903725,0.041437096893787384,-0.041437096893787384,0.0
-5.592912673950195,78.07012939453125,-72.15471649169922,0.348463773727417,-0.0069061825051903725,0.034530915319919586,-0.041437096893787384,0.0
-10.868045806884766,80.35140228271484,-68.60560607910156,1.2671409845352173,-0.0069061825051903725,0.041437096893787384,-0.041437096893787384,-0.0069061825051903725
-16.556291580200195,82.0623550415039,-65.0248031616211,0.88699871301651,-0.013812365010380745,0.041437096893787384,-0.041437096893787384,-0.0069061825051903725
-21.73609161376953,83.7099380493164,-61.12712097167969,1.1404268741607666,-0.013812365010380745,0.041437096893787384,-0.034530915319919586,0.0
-27.04300308227539,84.81888580322266,-56.944236755371094,1.2354625463485718,-0.0069061825051903725,0.04834327846765518,-0.034530915319919586,0.0
-32.381690979003906,85.42089080810547,-52.60291290283203,0.728606104850769,-0.020718548446893692,0.04834327846765518,-0.02762473002076149,0.0
-37.275489807128906,85.3575210571289,-48.32496643066406,-0.7919631600379944,-0.020718548446893692,0.041437096893787384,-0.02762473002076149,0.0
-42.677734375,85.70604705810547,-43.60337829589844,-0.9503557682037354,-0.02762473002076149,0.04834327846765518,-0.020718548446893692,0.0
-47.50798034667969,85.3575210571289,-38.91347885131836,-1.8373544216156006,-0.02762473002076149,0.041437096893787384,-0.013812365010380745,0.0
-53.132667541503906,63.0517692565918,-30.35758399963379,-29.967885971069336,-0.08978037536144257,0.19337311387062073,-0.08287419378757477,0.02762473002076149
-60.60047912597656,37.60927200317383,-22.403770446777344,-78.46770477294922,0.020718548446893692,0.10359273850917816,0.04834327846765518,0.16574838757514954
-70.7694091796875,22.812700271606445,-39.800758361816406,-154.3377685546875,-0.034530915319919586,0.2486225813627243,0.0069061825051903725,0.2417163997888565
-67.84584045410156,13.402461051940918,-20.977787017822266,-131.40252685546875,-0.020718548446893692,0.2969658672809601,-0.0069061825051903725,0.2693411111831665
-67.11495208740234,6.020018100738525,-17.080102920532227,-136.2493438720703,-0.020718548446893692,0.37293386459350586,-0.0069061825051903725,0.35221531987190247
-73.66120147705078,38.97169494628906,-10.869155883789062,-77.9925308227539,0.041437096893787384,0.2900596857070923,0.08287419378757477,0.42127713561058044
