220kVⅡ母电压_Ua_5,220kVⅡ母电压_Ub_6,220kVⅡ母电压_Uc_7,220kVⅡ母电压_3U0_8,博南Ⅱ回电流_Ia_17,博南Ⅱ回电流_Ib_18,博南Ⅱ回电流_Ic_19,博南Ⅱ回电流_3I0_20
46.13167953491211,37.689640045166016,-83.73573303222656,-0.4746217727661133,-0.08731621503829956,-0.03803874924778938,0.1305420696735382,0.0017290320247411728
41.24541091918945,42.62259292602539,-83.66570281982422,-0.29566603899002075,-0.07434846460819244,-0.040632303804159164,0.13227109611034393,-0.000864518980961293
36.49141311645508,47.40771484375,-83.650146484375,-0.29566603899002075,-0.07607749849557877,-0.04754843935370445,0.1288130283355713,0.005187099799513817
31.721853256225586,51.89716720581055,-83.53343200683594,-0.4746217727661133,-0.06570329517126083,-0.058787159621715546,0.1331356167793274,-0.000864518980961293
26.7499942779541,56.044273376464844,-82.83317565917969,-0.622454822063446,-0.06051618978381157,-0.05619360879063606,0.12967754900455475,-1.999999943436137e-09
21.412445068359375,59.981300354003906,-81.55713653564453,-0.8636560440063477,-0.0553290881216526,-0.06743232905864716,0.13400013744831085,0.0017290320247411728
15.997088432312012,63.76271438598633,-80.14105224609375,-1.112637996673584,-0.048412952572107315,-0.07434846460819244,0.13227109611034393,-1.999999943436137e-09
10.830713272094727,67.35739135742188,-78.6705093383789,-1.190444827079773,-0.039767783135175705,-0.07694201916456223,0.13140659034252167,0.0008645150228403509
5.843294620513916,70.53190612792969,-76.56971740722656,-0.9959276914596558,-0.03285164758563042,-0.0907742902636528,0.12449044734239578,0.0008645150228403509
0.630235493183136,73.06063079833984,-73.79979705810547,-0.5913320779800415,-0.023341959342360497,-0.09423235803842545,0.1218969002366066,-0.000864518980961293
-4.559481620788574,75.60491943359375,-70.77310943603516,-0.05446479469537735,-0.011238722130656242,-0.09769042581319809,0.1262194812297821,0.004322582855820656
-9.601365089416504,77.97802734375,-67.81645202636719,0.4746217727661133,-0.00691613694652915,-0.10979366302490234,0.11325172334909439,-0.002593552926555276
-14.479854583740234,79.78314208984375,-64.47075653076172,1.0192697048187256,0.0025935498997569084,-0.11325173079967499,0.11325172334909439,0.004322582855820656
-19.335002899169922,81.06695556640625,-60.74380874633789,1.330497145652771,0.013832271099090576,-0.11325173079967499,0.10892914235591888,0.0008645150228403509
-24.415788650512695,82.26518249511719,-56.78343963623047,1.41608464717865,0.01815485581755638,-0.11930334568023682,0.10547107458114624,0.0017290320247411728
-29.4965763092041,83.45562744140625,-53.00202560424805,1.198225498199463,0.020748406648635864,-0.1175743117928505,0.10114848613739014,0.0017290320247411728
-34.33616256713867,84.09364318847656,-48.95606994628906,0.8792173862457275,0.03371616080403328,-0.12362593412399292,0.09163880348205566,-0.002593552926555276
-39.21465301513672,84.25703430175781,-44.497737884521484,0.4979638457298279,0.04322584718465805,-0.12449044734239578,0.08558718115091324,0.002593548968434334
-44.093143463134766,84.14032745361328,-39.704833984375,0.1556137055158615,0.04668391868472099,-0.12362593412399292,0.08558718115091324,0.004322582855820656
-48.89382553100586,84.01583862304688,-34.950836181640625,-0.10114890336990356,0.048412952572107315,-0.1262194812297821,0.07175491005182266,-0.001729035982862115
-53.398841857910156,83.55677795410156,-30.19683837890625,-0.33456945419311523,0.06310974061489105,-0.12449044734239578,0.0708903968334198,0.009509685449302197
-45.39251708984375,52.39513397216797,-11.85776424407959,-8.838858604431152,0.07780653238296509,0.2213163524866104,0.057922638952732086,0.35358744859695435
-63.69268798828125,65.93352508544922,-17.708839416503906,-28.40728187561035,0.07780653238296509,0.24033571779727936,0.06829684227705002,0.3795229494571686
-64.96871948242188,65.82459259033203,-13.172699928283691,-21.27239227294922,0.07175491005182266,0.44176816940307617,0.05187102034687996,0.5628005862236023
-68.70344543457031,64.33070373535156,-9.095621109008789,-23.536571502685547,0.0907742828130722,0.4849940240383148,0.04236133396625519,0.6259102821350098
-78.02471160888672,49.36066436767578,-11.1808443069458,-70.39186096191406,0.09769041836261749,0.6077554225921631,0.030258094891905785,0.7382975220680237
-73.83091735839844,60.206939697265625,-0.46684110164642334,-24.431350708007812,0.10028397291898727,0.7296523451805115,0.022477442398667336,0.8472266793251038
-78.91170501708984,54.74489974975586,2.10856556892395,-38.623321533203125,0.07694201171398163,0.7772007584571838,-0.012103238143026829,0.8437685966491699
-75.04470825195312,44.427711486816406,14.604345321655273,-28.010465621948242,0.0907742828130722,0.8973686695098877,-0.0034580680076032877,0.9846848845481873
-80.14105224609375,50.34103012084961,17.638813018798828,-21.793699264526367,0.06397425383329391,0.9509686827659607,-0.040632300078868866,0.9734461307525635
-83.40116119384766,51.70265197753906,20.836673736572266,-18.80591583251953,0.1331356167793274,1.026181697845459,-0.0025935510639101267,1.1558592319488525
-84.66163635253906,48.76933288574219,22.33056640625,-24.532499313354492,0.1175743117928505,1.0910204648971558,-0.01642582379281521,1.1835237741470337
-82.02397918701172,43.66520309448242,32.52326202392578,-10.223819732666016,0.07953556627035141,1.187846302986145,-0.056193605065345764,1.2094593048095703
-85.87541961669922,40.10165023803711,35.06754684448242,-18.868160247802734,0.10114848613739014,1.231072187423706,-0.05014198645949364,1.2864012718200684
-81.53379821777344,31.667387008666992,43.22948455810547,-11.91222858428955,0.08558718115091324,1.2699754238128662,-0.0752129778265953,1.274298071861267
-82.55307006835938,28.22832489013672,46.87862777709961,-12.760323524475098,0.13572916388511658,1.269110918045044,-0.03285164758563042,1.3728530406951904
