220kVⅡ段母线电压_A相_5,220kVⅡ段母线电压_B相_6,220kVⅡ段母线电压_C相_7,220kVⅡ段母线电压_3U0_8,耿沾Ⅱ回274_A相_33,耿沾Ⅱ回274_B相_34,耿沾Ⅱ回274_C相_35,耿沾Ⅱ回274_3I0_36
-68.27377319335938,-8.251618385314941,77.1454086303711,0.29530009627342224,1.6031683683395386,0.2338775396347046,-1.730596661567688,0.10310782492160797
-52.915283203125,-30.079484939575195,83.49295043945312,0.9014424085617065,1.2259522676467896,0.7016326189041138,-1.8802698850631714,0.06561406701803207
-33.66017150878906,-48.835052490234375,82.14461517333984,0.07771055400371552,0.8298753499984741,1.169387698173523,-1.908333659172058,0.0749875083565712
-13.669262886047363,-64.32110595703125,78.60783386230469,0.6683107614517212,0.3017728626728058,1.5623019933700562,-1.768014907836914,0.06561406701803207
8.943573951721191,-77.63787078857422,68.31901550292969,-0.15542110800743103,-0.19803844392299652,1.8148897886276245,-1.5247960090637207,0.05624062940478325
29.649553298950195,-83.782470703125,53.11396026611328,-1.150116205215454,-0.660128116607666,1.9739264249801636,-1.1599675416946411,0.0374937541782856
48.9150276184082,-82.38125610351562,33.56312942504883,0.35746854543685913,-1.1222178936004639,1.9645713567733765,-0.7109478116035461,0.046867191791534424
64.7191390991211,-78.6654281616211,13.141063690185547,-0.31084221601486206,-1.4994338750839233,1.8710203170776367,-0.2245098352432251,0.028120314702391624
76.92716979980469,-69.12677001953125,-9.013090133666992,-0.3263843059539795,-1.7634851932525635,1.6371427774429321,0.2899918854236603,0.0093734385445714
83.37317657470703,-53.31895065307617,-29.95374298095703,0.5595159530639648,-1.9426628351211548,1.3003591299057007,0.7857844233512878,0.0
81.95339965820312,-33.3282356262207,-48.87189865112305,0.07771055400371552,-1.9803844690322876,0.8793795704841614,1.206740379333496,0.0187468770891428
78.18113708496094,-13.763076782226562,-65.24896240234375,0.0,-1.8200676441192627,0.3835591673851013,1.6089872121810913,0.0187468770891428
67.78669738769531,8.708312034606934,-77.41507720947266,-0.6683107614517212,-1.6314595937728882,-0.12161631882190704,1.8709152936935425,0.028120314702391624
52.74946975708008,30.307832717895508,-83.89744567871094,-0.963610827922821,-1.2731043100357056,-0.6361469030380249,2.0205886363983154,0.0093734385445714
33.42181396484375,48.658599853515625,-83.19216918945312,-0.18650531768798828,-0.8393057584762573,-1.066481590270996,2.0112340450286865,0.046867191791534424
13.171822547912598,64.77780151367188,-79.16790771484375,-0.7304791808128357,-0.3394944667816162,-1.4313305616378784,1.8989790678024292,0.05624062940478325
-9.057570457458496,77.3991470336914,-68.50570678710938,0.07771055400371552,0.1508864313364029,-1.6839183568954468,1.6370508670806885,0.05624062940478325
-30.04336166381836,83.26350402832031,-53.52883529663086,1.1190319061279297,0.6506977677345276,-1.8429549932479858,1.2815769910812378,0.06561406701803207
-49.33992385864258,81.97645568847656,-33.832794189453125,-0.43517908453941345,1.0939266681671143,-1.8523101806640625,0.8232027292251587,0.0749875083565712
-64.91604614257812,78.36442565917969,-13.400359153747559,0.3885527551174164,1.4711427688598633,-1.7587591409683228,0.34611934423446655,0.10310782492160797
-77.15516662597656,68.04730987548828,8.608590126037598,0.4662633240222931,1.7540547847747803,-1.515526533126831,-0.17773695290088654,0.1124812588095665
-83.57008361816406,52.6339111328125,29.445526123046875,-0.652768611907959,1.9143716096878052,-1.1974530220031738,-0.6548203825950623,0.09373438358306885
-82.0777587890625,33.079132080078125,48.757808685302734,0.06216844171285629,1.9238020181655884,-0.7577632665634155,-1.1038399934768677,0.09373438358306885
-78.36767578125,13.04689884185791,65.00003814697266,0.1398789882659912,1.8200676441192627,-0.2432326376438141,-1.4780230522155762,0.09373438358306885
-68.0665054321289,-9.590560913085938,76.86537170410156,0.575058102607727,1.6125987768173218,0.2525877356529236,-1.7493058443069458,0.08436094969511032
-52.70801544189453,-30.505041122436523,83.49295043945312,1.2433688640594482,1.244813084602356,0.7484081387519836,-1.8896244764328003,0.0749875083565712
-33.152366638183594,-49.6342658996582,82.42465209960938,0.17096321284770966,0.8204450011253357,1.1600326299667358,-1.8989790678024292,0.08436094969511032
-13.213275909423828,-65.5458755493164,78.27593231201172,1.010237216949463,0.2829120457172394,1.5716570615768433,-1.777369499206543,0.06561406701803207
9.327017784118652,-77.95963287353516,68.31901550292969,0.06216844171285629,-0.19803844392299652,1.8242448568344116,-1.5341506004333496,0.05624062940478325
30.12626838684082,-84.2287826538086,53.41474533081055,-0.9014424085617065,-0.6884193420410156,1.9645713567733765,-1.1786766052246094,0.046867191791534424
49.33992385864258,-83.21160888671875,33.376434326171875,0.652768611907959,-1.1222178936004639,1.9645713567733765,-0.7390115261077881,0.0187468770891428
64.90568542480469,-78.6654281616211,13.07883358001709,-0.21758954226970673,-1.4994338750839233,1.8710203170776367,-0.21515525877475739,0.028120314702391624
77.12407684326172,-68.54552459716797,-8.650076866149902,-0.12433688342571259,-1.791776418685913,1.627787709236145,0.2899918854236603,0.0093734385445714
83.63226318359375,-53.67184829711914,-29.818910598754883,0.7149370908737183,-1.9615236520767212,1.2910040616989136,0.7670753002166748,0.0093734385445714
82.01557922363281,-33.09988784790039,-48.85115432739258,0.09325265884399414,-1.9709540605545044,0.8793795704841614,1.225449562072754,0.0374937541782856
78.2536849975586,-13.11955451965332,-64.68888854980469,0.015542110428214073,-1.8389283418655396,0.3648489713668823,1.6089872121810913,0.0187468770891428
67.95250701904297,8.770587921142578,-77.10391998291016,-0.6216844320297241,-1.6125987768173218,-0.13097141683101654,1.8896244764328003,0.0374937541782856
