220kVII母电压_A相_5,220kVII母电压_B相_6,220kVII母电压_C相_7,220kVII母电压_3U0_8,吾青线（284）_A相_29,吾青线（284）_B相_30,吾青线（284）_C相_31,吾青线（284）_3I0_32
-17.310455322265625,-63.52426528930664,78.63448333740234,-3.52345871925354,0.20519328117370605,0.6145907044410706,-1.0977270603179932,-0.028005162253975868
0.4181269109249115,-72.84017944335938,73.4774398803711,2.0984153747558594,-0.05596180260181427,0.7635824084281921,-0.9860938191413879,0.0
24.17818832397461,-84.9854507446289,61.695892333984375,1.8948378562927246,-0.3077899217605591,0.8473902344703674,-0.827946662902832,0.009335054084658623
45.481754302978516,-89.53337860107422,38.96086120605469,-8.59723949432373,-0.5782719850540161,0.8660141825675964,-0.5767718553543091,0.03734021633863449
60.29390335083008,-79.77733612060547,19.24458885192871,-0.09395889937877655,-0.7648113369941711,0.8287662863731384,-0.30699145793914795,0.018670108169317245
73.6426010131836,-70.3251953125,-0.6603535413742065,4.870203018188477,-0.9233697652816772,0.7449584603309631,-0.027908315882086754,0.0
84.82749938964844,-62.40300369262695,-24.76849937438965,-4.18117094039917,-1.0539473295211792,0.605278730392456,0.26047760248184204,0.0
86.95994567871094,-44.16938018798828,-43.53092575073242,-1.0805273056030273,-1.0539473295211792,0.40972715616226196,0.49304690957069397,-0.018670108169317245
78.61831665039062,-16.253074645996094,-61.39191818237305,1.7852190732955933,-1.0259664058685303,0.18623961508274078,0.7163134217262268,-0.018670108169317245
71.38471984863281,3.0284581184387207,-74.32646179199219,0.28187671303749084,-0.9140428304672241,-0.08380782604217529,0.8558549880981445,-0.03734021633863449
61.91414260864258,20.612377166748047,-85.04934692382812,-4.275129795074463,-0.7554843425750732,-0.3445432782173157,0.9767910242080688,-0.03734021633863449
40.47468566894531,44.93435287475586,-86.9465560913086,-1.95747709274292,-0.5596180558204651,-0.5587188601493835,1.0046993494033813,-0.06534537672996521
16.881874084472656,63.555702209472656,-78.87556457519531,3.4921391010284424,-0.3264438509941101,-0.7542704343795776,0.9860938191413879,-0.056010324507951736
-0.6899093985557556,72.72490692138672,-73.82333374023438,-2.2550137042999268,-0.04663483798503876,-0.9032621383666992,0.8651577830314636,-0.09335054457187653
-24.47087860107422,84.61868286132812,-61.89504623413086,-2.1610546112060547,0.18653935194015503,-0.9684459567070007,0.7163134217262268,-0.1026855930685997
-45.87897491455078,89.07229614257812,-38.80363464355469,8.565919876098633,0.4756753444671631,-0.97775799036026,0.43723025918006897,-0.09335054457187653
-60.62840270996094,79.40009307861328,-19.2236270904541,-0.1252785325050354,0.6808686256408691,-0.9498220086097717,0.20466098189353943,-0.08401548862457275
-74.09208679199219,70.01082611083984,0.8280624151229858,-4.901522636413574,0.8301001191139221,-0.8567022085189819,-0.08372494578361511,-0.07468043267726898
-85.26653289794922,62.00479507446289,24.904762268066406,4.0402326583862305,0.9233697652816772,-0.7170224785804749,-0.35350531339645386,-0.07468043267726898
-87.14810180664062,43.645423889160156,43.415626525878906,0.7829908132553101,0.9606776237487793,-0.5121589303016663,-0.6046801805496216,-0.07468043267726898
-78.81692504882812,15.938701629638672,61.41288375854492,-1.8635181188583374,0.9233697652816772,-0.2793594300746918,-0.827946662902832,-0.06534537672996521
-71.6355972290039,-3.248518943786621,74.19020080566406,-0.17225798964500427,0.8114461898803711,-0.01862396113574505,-0.9767910242080688,-0.04667527228593826
-62.039581298828125,-20.979145050048828,84.76634216308594,4.087212085723877,0.6808686256408691,0.24211148917675018,-1.0698187351226807,-0.03734021633863449
-40.38060760498047,-45.353515625,86.30716705322266,1.5973012447357178,0.4663483798503876,0.43766307830810547,-1.1070297956466675,-0.028005162253975868
-16.8609676361084,-63.859596252441406,78.50870513916016,-3.5704381465911865,0.21452024579048157,0.6145907044410706,-1.0977270603179932,-0.018670108169317245
0.8780665397644043,-73.13359069824219,73.39358520507812,2.1610546112060547,-0.05596180260181427,0.7728943824768066,-0.9581854939460754,0.018670108169317245
24.72175407409668,-85.21598815917969,61.318546295166016,1.7382396459579468,-0.28913599252700806,0.8287662863731384,-0.8186439275741577,0.03734021633863449
45.81625747680664,-89.26091766357422,38.42628860473633,-8.456300735473633,-0.5689449906349182,0.8473902344703674,-0.5488635301589966,0.018670108169317245
60.57613754272461,-79.57823944091797,18.961580276489258,0.2505570650100708,-0.7648113369941711,0.8473902344703674,-0.30699145793914795,0.018670108169317245
73.9561996459961,-70.2728042602539,-1.2997435331344604,4.494367599487305,-0.9513506889343262,0.7356464862823486,0.0,0.018670108169317245
85.00520324707031,-62.161983489990234,-25.21921730041504,-4.055892467498779,-1.044620394706726,0.605278730392456,0.26047760248184204,0.0
86.70906829833984,-43.50919723510742,-43.792972564697266,-0.8926095366477966,-1.0539473295211792,0.38179120421409607,0.49304690957069397,-0.009335054084658623
78.38834381103516,-15.802473068237305,-61.8321533203125,1.628620982170105,-1.044620394706726,0.18623961508274078,0.6977078914642334,-0.028005162253975868
71.33245086669922,3.384747266769409,-74.61995697021484,0.15659816563129425,-0.9326967597007751,-0.09311980754137039,0.8651577830314636,-0.028005162253975868
61.66326904296875,21.13633155822754,-85.26946258544922,-4.196830749511719,-0.7554843425750732,-0.36316725611686707,0.9767910242080688,-0.04667527228593826
39.910213470458984,45.43735122680664,-86.68450927734375,-1.7852190732955933,-0.5502910614013672,-0.568030834197998,1.0140020847320557,-0.06534537672996521
16.474201202392578,63.712886810302734,-78.6868896484375,3.4921391010284424,-0.3171168863773346,-0.7449584603309631,0.9767910242080688,-0.07468043267726898
