17-220kVⅡ段母线电压Ua_17,18-220kVⅡ段母线电压Ub_18,19-220kVⅡ段母线电压Uc_19,20-220kVⅡ段母线电压3Uo_20,5-220kV甘镇线路电流Ia_5,6-220kV甘镇线路电流Ib_6,7-220kV甘镇线路电流Ic_7,8-220kV甘镇线路电流3Io_8
-23.439254760742188,-59.74287796020508,83.50342559814453,0.46734532713890076,0.17259569466114044,0.5185065269470215,-0.7261644005775452,0.0
-18.389841079711914,-63.669639587402344,82.28781127929688,0.3427199125289917,0.1380765587091446,0.5530735850334167,-0.691585123538971,0.0
-13.028735160827637,-67.1289291381836,80.44880676269531,0.4361889958381653,0.0690382793545723,0.5876407027244568,-0.691585123538971,0.0
-7.667628765106201,-70.33889770507812,78.17342376708984,0.2492508441209793,0.03451913967728615,0.6222078204154968,-0.6570058465003967,0.0
-2.4623684883117676,-73.17489624023438,75.74219512939453,0.06231271103024483,0.0,0.6567749381065369,-0.6570058465003967,0.0
2.7117223739624023,-75.85506439208984,72.999267578125,-0.31156355142593384,-0.0690382793545723,0.6567749381065369,-0.6224266290664673,0.0
8.07282829284668,-78.19242095947266,69.7887954711914,-0.6542834639549255,-0.10355741530656815,0.6913419961929321,-0.6224266290664673,0.0
13.34042739868164,-80.40512084960938,66.45364379882812,-1.028159737586975,-0.1380765587091446,0.7259091138839722,-0.5532681345939636,0.0
18.29633331298828,-82.11918640136719,62.869136810302734,-1.6824432611465454,-0.17259569466114044,0.7259091138839722,-0.5532681345939636,-0.03454866260290146
23.1275634765625,-83.17878723144531,59.19112014770508,-1.4955050945281982,-0.2071148306131363,0.7259091138839722,-0.4841095805168152,0.0
28.114639282226562,-83.98907470703125,55.1078987121582,-1.3708796501159668,-0.2761531174182892,0.7259091138839722,-0.44953033328056335,-0.03454866260290146
33.22639083862305,-84.45654296875,50.7441520690918,-0.6854398250579834,-0.31067225337028503,0.7259091138839722,-0.4149510860443115,0.0
38.400482177734375,-84.73703002929688,46.31806564331055,-0.06231271103024483,-0.37971052527427673,0.7604762315750122,-0.3803718090057373,-0.03454866260290146
43.231712341308594,-84.86168670654297,41.58028030395508,0.031156355515122414,-0.4142296612262726,0.7604762315750122,-0.3457925617694855,0.0
48.15644836425781,-84.86168670654297,36.78015899658203,0.18693813681602478,-0.44874879717826843,0.7604762315750122,-0.2766340672969818,0.0
52.98767852783203,-84.73703002929688,31.91769790649414,0.31156355142593384,-0.4832679331302643,0.7604762315750122,-0.2766340672969818,-0.03454866260290146
57.22669219970703,-84.3318862915039,27.024065017700195,-0.18693813681602478,-0.5177870988845825,0.7259091138839722,-0.20747554302215576,0.0
61.185184478759766,-83.49044036865234,21.974586486816406,-0.5296580195426941,-0.5523062348365784,0.7259091138839722,-0.17289628088474274,-0.03454866260290146
64.98783111572266,-82.02569580078125,16.738088607788086,-0.5296580195426941,-0.5868253707885742,0.7259091138839722,-0.1383170336484909,-0.03454866260290146
68.32293701171875,-80.09347534179688,11.408082962036133,-0.6231271028518677,-0.6213445067405701,0.7259091138839722,-0.06915851682424545,-0.03454866260290146
71.03466033935547,-77.69378662109375,6.046907424926758,-1.121628761291504,-0.6213445067405701,0.6567749381065369,0.0,-0.03454866260290146
73.55936431884766,-75.0759506225586,0.5922228693962097,-1.6512868404388428,-0.6558636426925659,0.6567749381065369,0.034579258412122726,-0.03454866260290146
75.95939636230469,-72.33345031738281,-5.174158096313477,-2.7106029987335205,-0.6558636426925659,0.6222078204154968,0.10373777151107788,-0.06909732520580292
78.23474884033203,-69.0923080444336,-10.691182136535645,-2.7106029987335205,-0.6903827786445618,0.5876407027244568,0.1383170336484909,-0.03454866260290146
78.20358276367188,-61.79975128173828,-17.23680305480957,-0.12462542206048965,-0.6903827786445618,0.48393940925598145,0.1383170336484909,0.03454866260290146
88.89462280273438,-17.8574161529541,-10.597672462463379,100.82196807861328,-0.6903827786445618,-1.037013053894043,0.2766340672969818,1.4164952039718628
89.23748016357422,11.780285835266113,-18.01604461669922,144.56549072265625,-0.8284593224525452,-0.24196970462799072,0.1383170336484909,0.8982652425765991
81.1958236694336,3.989091396331787,-27.740966796875,99.26415252685547,-0.9665358662605286,-0.24196970462799072,0.0,1.1746546030044556
72.21908569335938,2.4308526515960693,-47.0037956237793,48.94663619995117,-0.862978458404541,-1.071580171585083,0.31121331453323364,1.5892385244369507
66.51512145996094,-1.1219319105148315,-59.00410079956055,8.723779678344727,-1.1391315460205078,-0.2765367925167084,-0.034579258412122726,1.4164952039718628
58.47346115112305,-30.229833602905273,-67.57575225830078,-68.57514190673828,-1.0700932741165161,-0.34567099809646606,0.10373777151107788,1.2783005237579346
66.85797882080078,-34.405914306640625,-67.35755920410156,-61.44033432006836,-1.035574197769165,-0.8987446427345276,0.20747554302215576,1.65833580493927
81.97505187988281,-17.54576873779297,-57.47679138183594,12.275604248046875,-0.9665358662605286,-0.9333117008209229,0.31121331453323364,1.5892385244369507
91.63751220703125,-18.013240814208984,-52.80134582519531,35.58055877685547,-0.862978458404541,-0.5185065269470215,0.20747554302215576,1.1055572032928467
95.25314331054688,-17.26528549194336,-47.65835952758789,52.84117889404297,-1.0010550022125244,-1.1407142877578735,0.20747554302215576,1.9347251653671265
96.43757629394531,-0.9972728490829468,-50.49479293823242,77.76626586914062,-1.0700932741165161,-1.2444156408309937,0.2766340672969818,2.0038225650787354
87.58551788330078,-7.791193962097168,-62.83796691894531,29.723163604736328,-0.9665358662605286,-0.9333117008209229,0.2420547902584076,1.65833580493927
