500kVⅢ母_1,500kVⅢ母_2,500kVⅢ母_3,500kVⅢ母_4,辽沙1号线_21,辽沙1号线_22,辽沙1号线_23,辽沙1号线_24
-85.1731948852539,43.36753845214844,41.66227340698242,-0.20193299651145935,0.09722200036048889,-0.11270800232887268,0.018211999908089638,0.008690999820828438
-84.94904327392578,38.70246124267578,46.08019256591797,-0.2252340018749237,0.10416600108146667,-0.10663899779319763,0.002606000052765012,0.004346000030636787
-84.50607299804688,33.84992599487305,50.35474395751953,-0.14756399393081665,0.11197800189256668,-0.10490500181913376,-0.0060640000738203526,0.006953000091016293
-83.66282653808594,28.7617244720459,54.63991165161133,0.054377999156713486,0.1128460019826889,-0.09970299899578094,-0.006930999923497438,0.007822000421583652
-82.27520751953125,23.475353240966797,58.436561584472656,0.08544600009918213,0.11979000270366669,-0.09103299677371979,-0.012133000418543816,0.00521499989554286
-80.83955383300781,18.183624267578125,62.233211517333984,0.13981500267982483,0.11979000270366669,-0.08496399968862534,-0.02167000062763691,0.00608400022611022
-79.1690673828125,13.116848945617676,65.74312591552734,-0.09319499880075455,0.11111000180244446,-0.07889500260353088,-0.024271000176668167,0.006953000091016293
-77.0449447631836,7.8358330726623535,69.01939392089844,-0.2252340018749237,0.11892200261354446,-0.07629399746656418,-0.03380800038576126,0.006953000091016293
-74.76604461669922,2.544105052947998,72.03547668457031,-0.32620498538017273,0.11805400252342224,-0.06155499815940857,-0.04074399918317795,0.004346000030636787
-71.83069610595703,-2.876167058944702,74.72233581542969,-0.4504770040512085,0.11458200216293335,-0.05461899936199188,-0.047680001705884933,0.00521499989554286
-68.82596588134766,-8.226811408996582,77.05342102050781,-0.5514479875564575,0.1128460019826889,-0.04941700026392937,-0.06675399839878082,-0.0008679999737069011
-65.51168823242188,-13.722066879272461,79.22521209716797,-0.5592150092124939,0.11371400207281113,-0.04681599885225296,-0.06848800182342529,0.003476999932900071
-61.91988754272461,-19.06199836730957,81.01468658447266,-0.5825160145759583,0.11024200171232224,-0.037278998643159866,-0.07368999719619751,0.004346000030636787
-58.258705139160156,-24.251962661743164,82.57582092285156,-0.6446520090103149,0.11024200171232224,-0.03381099924445152,-0.0806260034441948,9.999999974752427e-07
-54.352020263671875,-29.259822845458984,83.80242919921875,-0.745622992515564,0.11111000180244446,-0.024274000898003578,-0.0806260034441948,-0.0008679999737069011
-50.39730453491211,-34.053443908691406,84.66265106201172,-0.7223219871520996,0.10329800099134445,-0.019938999786973,-0.08582799881696701,9.999999974752427e-07
-46.26112747192383,-38.584617614746094,85.03435516357422,-0.799992024898529,0.1015620008111,-0.013869999907910824,-0.08929599821567535,-0.002606000052765012
-41.66596984863281,-43.3621711730957,85.16710662841797,-0.6912540197372437,0.09635400027036667,-0.0034660000819712877,-0.09189700335264206,-0.0008679999737069011
-36.91604232788086,-47.85585403442383,84.74230194091797,-0.5203800201416016,0.09027799963951111,0.0008689999813213944,-0.09883300215005875,-0.004344000015407801
