220kVIV母_5,220kVIV母_6,220kVIV母_7,220kVIV母_8,220kV龙嵩I回_13,220kV龙嵩I回_14,220kV龙嵩I回_15,220kV龙嵩I回_16
54.773921966552734,-83.99247741699219,29.09907341003418,-0.2526180148124695,0.0258799996227026,-0.0578950010240078,0.005160000175237656,-0.026936000213027
58.5947265625,-82.98700714111328,24.192171096801758,-0.24472400546073914,0.021564999595284462,-0.057030998170375824,0.0025859999004751444,-0.01911499910056591
62.709022521972656,-81.71521759033203,18.828813552856445,-0.26051199436187744,0.03278400003910065,-0.05184699967503548,1.2000000424450263e-05,-0.02432899922132492
66.0569839477539,-79.97601318359375,13.796930313110352,-0.29208800196647644,0.03278400003910065,-0.05184699967503548,0.001728000002913177,-0.02780500054359436
69.6114730834961,-78.11724853515625,8.444439888000488,-0.11841999739408493,0.031058000400662422,-0.04666300117969513,-0.009425999596714973,-0.01911499910056591
72.51376342773438,-76.03563690185547,3.41798996925354,-0.18946599960327148,0.0362359993159771,-0.047527000308036804,-0.01028400007635355,-0.01998399943113327
75.63888549804688,-73.74750518798828,-1.9562360048294067,-0.18157200515270233,0.03537299856543541,-0.04320700094103813,-0.007710000034421682,-0.01911499910056591
77.53026580810547,-70.5734634399414,-7.04789400100708,-0.07105600088834763,0.03192099928855896,-0.04666300117969513,-0.018864000216126442,-0.02085299976170063
79.53578186035156,-67.33963775634766,-12.193891525268555,-0.007903999648988247,0.0362359993159771,-0.04061499983072281,-0.01800600066781044,-0.02085299976170063
80.99236297607422,-63.8177604675293,-17.26381492614746,-0.055268000811338425,0.039687998592853546,-0.044071000069379807,-0.015432000160217285,-0.01216300018131733
82.31306457519531,-60.06217575073242,-22.290264129638672,-0.047373998910188675,0.03882500156760216,-0.038022998720407486,-0.019721999764442444,-0.014770000241696835
83.50333404541016,-56.15441131591797,-27.44713020324707,-0.2368299961090088,0.03796200081706047,-0.03888700157403946,-0.020579999312758446,-0.0182460006326437
83.94356536865234,-51.50204849243164,-32.45184326171875,-0.015798000618815422,0.04227700084447861,-0.031975001096725464,-0.021438000723719597,-0.01129399985074997
84.84033966064453,-46.974693298339844,-37.88584518432617,-0.12631399929523468,0.039687998592853546,-0.024198999628424644,-0.021438000723719597,-0.009556000120937824
84.67729187011719,-42.10493469238281,-42.5916862487793,-0.023692000657320023,0.03796200081706047,-0.024198999628424644,-0.0231539998203516,-0.008686999790370464
84.9001235961914,-37.8004150390625,-47.047569274902344,-0.007903999648988247,0.03882500156760216,-0.024198999628424644,-0.026585999876260757,-0.006949000060558319
83.98161315917969,-32.876304626464844,-51.14480209350586,-0.055268000811338425,0.03796200081706047,-0.019014999270439148,-0.024870000779628754,-0.0052109998650848866
83.3674545288086,-27.84893035888672,-55.508304595947266,0.07103600353002548,0.037099000066518784,-0.014694999903440475,-0.02744399942457676,-0.0052109998650848866
81.87826538085938,-22.37044906616211,-59.583805084228516,-0.11841999739408493,0.03537299856543541,-0.011238999664783478,-0.029160000383853912,-0.0052109998650848866
80.5956039428711,-17.10393524169922,-63.485416412353516,0.07103600353002548,0.03537299856543541,-0.010374999605119228,-0.03430800139904022,-0.0052109998650848866
78.90531921386719,-11.995035171508789,-66.93057250976562,-0.16578400135040283,0.0362359993159771,-0.006918999832123518,-0.03259199857711792,-0.0034729999024420977
76.8563232421875,-6.663300037384033,-70.12033081054688,0.01577799953520298,0.03537299856543541,-0.002598999999463558,-0.03173400089144707,-0.004342000000178814
74.66602325439453,-1.4674400091171265,-73.2774887084961,-0.17367799580097198,0.03278400003910065,0.0008570000063627958,-0.03259199857711792,-0.0008660000166855752
71.79090881347656,4.081695079803467,-75.84777069091797,-0.047373998910188675,0.03192099928855896,0.0017209999496117234,-0.03344999998807907,-0.004342000000178814
69.1114501953125,8.864495277404785,-78.01593780517578,-0.08684399724006653,0.031058000400662422,0.00863299984484911,-0.03259199857711792,0.008693000301718712
65.4591293334961,14.027745246887207,-79.45050811767578,0.007884000428020954,0.031058000400662422,0.010360999964177608,-0.03259199857711792,0.005216999910771847
62.29052734375,18.924680709838867,-81.23829650878906,-0.055268000811338425,0.02501700073480606,0.00776899978518486,-0.03344999998807907,0.001740999985486269
58.18709945678711,24.354244232177734,-82.77068328857422,-0.2999820113182068,0.0258799996227026,0.013817000202834606,-0.035165999084711075,-0.0008660000166855752
54.159767150878906,29.365314483642578,-83.62925720214844,-0.18946599960327148,0.02501700073480606,0.015545000322163105,-0.040314000099897385,0.004348000045865774
49.19761276245117,34.534000396728516,-84.00963592529297,-0.37102800607681274,0.024153999984264374,0.018137000501155853,-0.03173400089144707,0.005216999910771847
44.71373748779297,39.566810607910156,-84.4552230834961,-0.2526180148124695,0.023290999233722687,0.026776999235153198,-0.040314000099897385,0.007823999971151352
40.300514221191406,44.338741302490234,-84.97145080566406,-0.5052260160446167,0.016387000679969788,0.02159300073981285,-0.036024000495672226,0.011300000362098217
35.63185119628906,48.72478485107422,-84.49869537353516,-0.2999820113182068,0.013798000290989876,0.024184999987483025,-0.03344999998807907,0.006085999775677919
30.767526626586914,52.893428802490234,-83.75423431396484,-0.2841939926147461,0.011208999902009964,0.030232999473810196,-0.03259199857711792,0.007823999971151352
25.457530975341797,57.22512435913086,-82.75437927246094,-0.08684399724006653,0.006893999874591827,0.03109700046479702,-0.03259199857711792,0.015644999220967293
20.538856506347656,61.170936584472656,-81.74909210205078,-0.07105600088834763,0.0025790000800043344,0.03282500058412552,-0.03173400089144707,0.013907000422477722
14.929936408996582,65.12761688232422,-80.15149688720703,-0.13420799374580383,0.0025790000800043344,0.036281000822782516,-0.030017999932169914,0.013907000422477722
9.940606117248535,68.55166625976562,-78.45065307617188,-0.047373998910188675,0.004304999951273203,0.04492099955677986,-0.029160000383853912,0.013038000091910362
