220kV Ⅰ母电压_A相_1,220kV Ⅰ母电压_B相_2,220kV Ⅰ母电压_C相_3,220kV Ⅰ母电压_3U0_4,220kV砚锦Ⅰ回线_A相_49,220kV砚锦Ⅰ回线_B相_50,220kV砚锦Ⅰ回线_C相_51,220kV砚锦Ⅰ回线_3I0_52
24.856672286987305,55.72465896606445,-82.78062438964844,-1.3673704862594604,-0.02869940921664238,0.04747677594423294,-0.0209362655878067,0.043771207332611084
1.993962287902832,70.73823547363281,-73.9331283569336,-0.04661490395665169,-0.030612703412771225,0.04177956283092499,-0.00951648410409689,0.043771207332611084
-20.7121524810791,81.64020538330078,-61.973968505859375,0.49722564220428467,-0.03635258600115776,0.030385136604309082,0.0019032967975363135,0.04186810925602913
-40.359466552734375,85.5649185180664,-46.32229995727539,0.3573809266090393,-0.03635258600115776,0.02468792349100113,0.015226374380290508,0.043771207332611084
-56.82270812988281,81.96207427978516,-26.397279739379883,-0.3729192316532135,-0.034439291805028915,0.011394426226615906,0.015226374380290508,0.0475773960351944
-71.35462188720703,72.70059204101562,-3.298363447189331,-1.4606003761291504,-0.02869940921664238,0.0,0.028549451380968094,0.04567430168390274
-81.89861297607422,60.37616729736328,19.427152633666992,-1.4761385917663574,-0.021046234294772148,-0.011394426226615906,0.02664615586400032,0.04186810925602913
-85.93872833251953,45.154937744140625,39.196590423583984,-1.0566045045852661,-0.011479764245450497,-0.02278885245323181,0.028549451380968094,0.04948049411177635
-82.32662963867188,25.084922790527344,55.439476013183594,-1.13429594039917,0.0,-0.03418327867984772,0.030452748760581017,0.04567430168390274
-73.34857940673828,1.4743621349334717,69.90870666503906,-1.118757724761963,0.009566470049321651,-0.0322842076420784,0.022839561104774475,0.04567430168390274
-60.98810577392578,-20.85910987854004,80.46762084960938,-0.3884575366973877,0.02487282268702984,-0.04177956283092499,0.01332307793200016,0.04567430168390274
-45.08860397338867,-40.534576416015625,84.31571197509766,0.12430641055107117,0.034439291805028915,-0.03798142075538635,0.005709890276193619,0.043771207332611084
-25.45172882080078,-56.98098373413086,81.03809356689453,0.17092131078243256,0.04017917439341545,-0.03988049179315567,-0.0019032967975363135,0.043771207332611084
-2.526381492614746,-71.49617767333984,72.3150634765625,-0.7613767385482788,0.04400576278567314,-0.03418327867984772,-0.015226374380290508,0.043771207332611084
19.918743133544922,-82.66810607910156,60.01361846923828,-2.035517454147339,0.04974564537405968,-0.026586994528770447,-0.028549451380968094,0.043771207332611084
39.753971099853516,-86.6758804321289,44.51753616333008,-1.5849066972732544,0.04974564537405968,-0.013293497264385223,-0.036162640899419785,0.0475773960351944
56.2694091796875,-82.59542846679688,24.77921485900879,-0.3573809266090393,0.04783235117793083,-0.0075962841510772705,-0.04377582669258118,0.04186810925602913
70.62384796142578,-73.8011703491211,1.5350873470306396,-0.07769150286912918,0.04017917439341545,0.009495355188846588,-0.055195607244968414,0.0475773960351944
81.28267669677734,-61.5494270324707,-21.014101028442383,0.3263043165206909,0.03635258600115776,0.02468792349100113,-0.05329231172800064,0.04567430168390274
85.13488006591797,-45.61178207397461,-40.6694450378418,0.3107660114765167,0.022959528490900993,0.030385136604309082,-0.055195607244968414,0.04948049411177635
81.44970703125,-25.8740177154541,-57.285728454589844,-0.21753621101379395,0.017219645902514458,0.03798142075538635,-0.05329231172800064,0.04567430168390274
72.5760498046875,-2.1596291065216064,-71.68235778808594,-0.04661490395665169,0.005739882122725248,0.04747677594423294,-0.05138901248574257,0.04567430168390274
60.09029769897461,20.630687713623047,-82.30350494384766,-0.7147618532180786,-0.007653175853192806,0.04937584698200226,-0.04377582669258118,0.04567430168390274
44.29519271850586,39.610504150390625,-86.30717468261719,-1.4139853715896606,-0.017219645902514458,0.04747677594423294,-0.03425934165716171,0.03996501490473747
24.64788055419922,56.10882568359375,-82.64579010009766,-1.0566045045852661,-0.026786116883158684,0.04747677594423294,-0.0209362655878067,0.043771207332611084
1.6912140846252441,70.92512512207031,-73.95387268066406,-0.15538300573825836,-0.030612703412771225,0.03988049179315567,-0.00951648410409689,0.043771207332611084
-20.973142623901367,81.54676055908203,-61.828758239746094,0.4195341467857361,-0.034439291805028915,0.03418327867984772,0.0,0.043771207332611084
-40.54737854003906,85.80372619628906,-45.98001480102539,0.6681469678878784,-0.034439291805028915,0.026586994528770447,0.01332307793200016,0.04567430168390274
-57.09413528442383,81.83747863769531,-26.158720016479492,-0.6526086330413818,-0.03252599760890007,0.011394426226615906,0.017129670828580856,0.043771207332611084
-71.4694595336914,72.43063354492188,-2.987197160720825,-1.5382918119430542,-0.02869940921664238,-0.0018990710377693176,0.024742858484387398,0.04567430168390274
-81.90904998779297,60.511146545410156,19.790180206298828,-1.1964491605758667,-0.019132940098643303,-0.009495355188846588,0.028549451380968094,0.04186810925602913
-85.86565399169922,44.85383605957031,39.27956771850586,-1.2275258302688599,-0.011479764245450497,-0.02278885245323181,0.03425934165716171,0.043771207332611084
-82.25355529785156,24.69037437438965,55.69878005981445,-1.1809109449386597,0.0019132939632982016,-0.0322842076420784,0.030452748760581017,0.043771207332611084
-73.15023040771484,1.4016823768615723,70.14727020263672,-0.7924533486366272,0.007653175853192806,-0.03418327867984772,0.022839561104774475,0.04186810925602913
-60.80018997192383,-21.305570602416992,80.48836517333984,-0.5904554724693298,0.021046234294772148,-0.03798142075538635,0.015226374380290508,0.043771207332611084
-44.911128997802734,-40.79414749145508,84.34683227539062,0.13984471559524536,0.030612703412771225,-0.03988049179315567,0.007613187190145254,0.04567430168390274
