220kVⅢ母电压_Ua_9,220kVⅢ母电压_Ub_10,220kVⅢ母电压_Uc_11,220kVⅢ母电压_3U0_12,博南Ⅰ回电流_Ia_29,博南Ⅰ回电流_Ib_30,博南Ⅰ回电流_Ic_31,博南Ⅰ回电流_3I0_32
-9.03337574005127,77.39447021484375,-68.00318908691406,0.3656921982765198,0.009509683586657047,-0.12276142090559006,0.121896892786026,0.006051615811884403
-14.230873107910156,79.4641342163086,-64.60302734375,0.778068482875824,0.009509683586657047,-0.12967754900455475,0.11498075723648071,-0.0008645200286991894
-19.101581573486328,81.05917358398438,-61.163963317871094,1.1515413522720337,0.01642582006752491,-0.1331356167793274,0.11152268946170807,-0.0008645200286991894
-24.02675437927246,82.3118667602539,-57.304744720458984,1.2993743419647217,0.026800023391842842,-0.13659368455410004,0.10806462168693542,0.002593548037111759
-29.208690643310547,83.32335662841797,-53.204322814941406,1.2137868404388428,0.03371616080403328,-0.13659368455410004,0.09423235058784485,-0.0008645200286991894
-34.172767639160156,84.04695892333984,-49.010536193847656,1.0348310470581055,0.04063229635357857,-0.13659368455410004,0.09423235058784485,-0.0008645200286991894
-38.97344970703125,84.43599700927734,-44.91789627075195,0.6691389083862305,0.0510064996778965,-0.14005175232887268,0.08385814726352692,-0.004322587978094816
-43.65742492675781,84.42821502685547,-40.311729431152344,0.3423501253128052,0.06138070300221443,-0.14005175232887268,0.07348393648862839,-0.0008645200286991894
-48.17021942138672,84.02362060546875,-35.51882553100586,0.14005233347415924,0.06829684227705002,-0.14005175232887268,0.0665678009390831,0.006051615811884403
-52.52740478515625,83.48674774169922,-30.67146110534668,0.11671027541160583,0.07867104560136795,-0.14350982010364532,0.056193601340055466,-0.004322587978094816
-56.64338684082031,82.76314544677734,-25.70738410949707,0.1556137055158615,0.0821291133761406,-0.13659368455410004,0.05273553356528282,-0.0008645200286991894
-60.448143005371094,81.45599365234375,-20.634376525878906,0.2567625939846039,0.09250331670045853,-0.13659368455410004,0.045819394290447235,0.002593548037111759
-63.95722961425781,79.75202178955078,-15.281265258789062,0.45127972960472107,0.09250331670045853,-0.13659368455410004,0.028529055416584015,-0.004322587978094816
-67.39629364013672,77.97024536132812,-9.982619285583496,0.42793768644332886,0.10287752002477646,-0.1331356167793274,0.028529055416584015,-0.0008645200286991894
-70.46188354492188,75.75274658203125,-4.816244125366211,0.2878853380680084,0.1063355877995491,-0.1331356167793274,0.007780647836625576,-0.0077806562185287476
-73.08397674560547,73.1462173461914,0.27232396602630615,-0.023342056199908257,0.11670979112386703,-0.12967754900455475,0.004322580061852932,-0.0008645200286991894
-75.49598693847656,70.0417251586914,5.430918216705322,-0.45127972960472107,0.12016785889863968,-0.12276142090559006,0.004322580061852932,-0.0008645200286991894
-77.69013977050781,66.7582778930664,10.651758193969727,-0.8869981169700623,0.12362592667341232,-0.11930335313081741,-0.016425827518105507,-0.0008645200286991894
-79.6197509765625,63.45148468017578,15.779229164123535,-1.2060061693191528,0.12362592667341232,-0.10892914980649948,-0.01988389529287815,-0.0008645200286991894
-81.05139923095703,59.872371673583984,20.626596450805664,-1.462768793106079,0.12708400189876556,-0.10892914980649948,-0.030258100479841232,-0.004322587978094816
-82.15625,55.90422058105469,25.70738410949707,-1.4316459894180298,0.13400013744831085,-0.1020130142569542,-0.030258100479841232,0.006051615811884403
-83.04325103759766,51.74933624267578,30.85041618347168,-1.268251657485962,0.1305420696735382,-0.09163880348205566,-0.04409037157893181,0.002593548037111759
-83.79798126220703,47.65669631958008,35.884517669677734,-0.9803662896156311,0.1374582052230835,-0.08472266793251038,-0.0510065071284771,0.006051615811884403
-84.10920715332031,43.237266540527344,40.70854568481445,-0.6924809813499451,0.14437434077262878,-0.07780653238296509,-0.05446457490324974,0.006051615811884403
-83.93025207519531,38.51438903808594,45.43920135498047,-0.42793768644332886,0.14437434077262878,-0.07434846460819244,-0.06829684972763062,-0.0008645200286991894
-83.51009368896484,33.65146255493164,50.02202224731445,-0.2801046669483185,0.1374582052230835,-0.06397426128387451,-0.07867105305194855,-0.004322587978094816
-83.03546905517578,28.741849899291992,54.355865478515625,-0.38125357031822205,0.1374582052230835,-0.05360005795955658,-0.08212912082672119,-0.0008645200286991894
-82.2418441772461,23.902263641357422,58.33179473876953,-0.4824024736881256,0.1374582052230835,-0.050141990184783936,-0.08558718860149384,-0.0008645200286991894
-80.8724365234375,18.696985244750977,62.019840240478516,-0.708042323589325,0.1374582052230835,-0.03630971908569336,-0.09250332415103912,0.006051615811884403
-79.18402862548828,13.39833927154541,65.51336669921875,-0.8792173862457275,0.1374582052230835,-0.03630971908569336,-0.1063355952501297,-0.004322587978094816
-77.32444763183594,8.309771537780762,68.71122741699219,-0.9492435455322266,0.1305420696735382,-0.022477446123957634,-0.10979366302490234,-0.0008645200286991894
-75.0758285522461,3.2289843559265137,71.59008026123047,-0.8636560440063477,0.12362592667341232,-0.015561310574412346,-0.10979366302490234,0.002593548037111759
-72.22809600830078,-1.8829257488250732,74.03321838378906,-0.5757706761360168,0.12362592667341232,-0.015561310574412346,-0.12362593412399292,-0.004322587978094816
-68.97576904296875,-7.127107620239258,76.3363037109375,-0.12449096143245697,0.12016785889863968,0.0017290289979428053,-0.12362593412399292,0.002593548037111759
-65.67676544189453,-12.285701751708984,78.52267456054688,0.2878853380680084,0.11670979112386703,0.008645164780318737,-0.12708400189876556,-0.0008645200286991894
-62.32328796386719,-17.28868293762207,80.29666900634766,0.7547264695167542,0.10979365557432175,0.019019369035959244,-0.1305420696735382,-0.0008645200286991894
-58.46406555175781,-22.447277069091797,81.65828704833984,1.042611837387085,0.10287752002477646,0.029393572360277176,-0.13400013744831085,-0.0008645200286991894
-54.41810989379883,-27.512502670288086,82.77092742919922,1.050392508506775,0.09596138447523117,0.03285164013504982,-0.1374582052230835,-0.004322587978094816
-50.154296875,-32.58551025390625,83.66570281982422,0.9725856184959412,0.09250331670045853,0.046683911234140396,-0.14091627299785614,-0.004322587978094816
-45.99163055419922,-37.57292938232422,84.15589141845703,0.7936298847198486,0.0821291133761406,0.06051618605852127,-0.13400013744831085,0.006051615811884403
-41.45549011230469,-42.288021087646484,84.44377136230469,0.6769195795059204,0.07175491005182266,0.06051618605852127,-0.14091627299785614,-0.004322587978094816
-36.69371032714844,-46.94865417480469,84.19479370117188,0.5368672609329224,0.06829684227705002,0.06743232160806656,-0.14091627299785614,0.006051615811884403
-31.815221786499023,-51.33695983886719,83.76685333251953,0.5991127490997314,0.06138070300221443,0.07434845715761185,-0.14091627299785614,-0.004322587978094816
-27.014537811279297,-55.40625762939453,83.18330383300781,0.778068482875824,0.0510064996778965,0.08126459270715714,-0.14091627299785614,-0.0008645200286991894
-22.027118682861328,-59.296600341796875,82.16403198242188,0.9259015321731567,0.047548431903123856,0.09163879603147507,-0.1374582052230835,0.002593548037111759
-16.81406021118164,-62.8990592956543,80.67792510986328,1.1515413522720337,0.03717422857880592,0.09509686380624771,-0.1374582052230835,-0.0008645200286991894
-11.577659606933594,-66.33033752441406,79.02063751220703,1.2915936708450317,0.026800023391842842,0.102012999355793,-0.13400013744831085,-0.0008645200286991894
-6.551336765289307,-69.55154418945312,77.03656005859375,1.1437606811523438,0.012967752292752266,0.10892913490533829,-0.13400013744831085,-0.0008645200286991894
-1.39274263381958,-72.36036682128906,74.6089859008789,0.8558753728866577,0.012967752292752266,0.11584527045488358,-0.1305420696735382,-0.0008645200286991894
3.773632287979126,-74.92021942138672,71.6134262084961,0.35791149735450745,0.006051615811884403,0.11238720268011093,-0.12362593412399292,-0.0008645200286991894
9.025594711303711,-77.18439483642578,68.36888122558594,-0.1556137055158615,-0.0077806562185287476,0.12967754900455475,-0.12362593412399292,-0.0008645200286991894
14.184188842773438,-79.26961517333984,64.9609375,-0.6457968354225159,-0.014696791768074036,0.12967754900455475,-0.12016786634922028,-0.0008645200286991894
19.117143630981445,-80.81797790527344,61.59190368652344,-1.050392508506775,-0.01815485954284668,0.12967754900455475,-0.10979366302490234,0.006051615811884403
24.089000701904297,-82.07066345214844,57.60041046142578,-1.2137868404388428,-0.02852906472980976,0.13659368455410004,-0.1063355952501297,-0.004322587978094816
29.23981475830078,-83.00434875488281,53.437744140625,-1.120418667793274,-0.038903266191482544,0.13659368455410004,-0.09250332415103912,0.002593548037111759
34.172767639160156,-83.72016906738281,49.31398010253906,-0.8636560440063477,-0.04581940546631813,0.13659368455410004,-0.09250332415103912,-0.0008645200286991894
39.01235580444336,-84.07030487060547,45.09685134887695,-0.5135251879692078,-0.05619360879063606,0.14350982010364532,-0.08212912082672119,0.006051615811884403
43.743011474609375,-84.07807922363281,40.49846649169922,-0.29566603899002075,-0.06310974061489105,0.14005175232887268,-0.07175491750240326,0.006051615811884403
48.24802780151367,-83.75129699707031,35.682220458984375,-0.08558753877878189,-0.07002588361501694,0.14005175232887268,-0.07175491750240326,0.006051615811884403
52.714141845703125,-83.15995788574219,30.757047653198242,-0.023342056199908257,-0.07694201916456223,0.14350982010364532,-0.05446457490324974,-0.0008645200286991894
56.89236831665039,-82.46748352050781,25.88633918762207,-0.11671027541160583,-0.08385815471410751,0.13659368455410004,-0.05446457490324974,-0.0008645200286991894
60.6893424987793,-81.29259490966797,20.797771453857422,-0.27232396602630615,-0.08385815471410751,0.14005175232887268,-0.04409037157893181,0.002593548037111759
64.30735778808594,-79.63530731201172,15.359071731567383,-0.35791149735450745,-0.0907742902636528,0.13659368455410004,-0.030258100479841232,0.006051615811884403
67.73086547851562,-77.8224105834961,10.184916496276855,-0.3968149423599243,-0.10460656136274338,0.13659368455410004,-0.026800032705068588,0.006051615811884403
70.74198913574219,-75.6126937866211,5.073006629943848,-0.21007849276065826,-0.11152269691228867,0.12967754900455475,-0.01988389529287815,0.006051615811884403
73.38742065429688,-73.00616455078125,-0.1089295893907547,0.031122738495469093,-0.11498076468706131,0.12967754900455475,-0.012967759743332863,0.006051615811884403
75.72940826416016,-69.92501831054688,-5.197497367858887,0.35791149735450745,-0.11843883246183395,0.12967754900455475,-0.0025935559533536434,0.006051615811884403
77.90799713134766,-66.75049591064453,-10.441679000854492,0.7158229947090149,-0.11498076468706131,0.10892913490533829,0.007780647836625576,0.009509683586657047
79.19181060791016,-47.220977783203125,-16.876306533813477,26.890047073364258,-0.13918724656105042,-0.1020130142569542,0.014696784317493439,-0.22218087315559387
79.59640502929688,-51.01795196533203,-23.077510833740234,8.963349342346191,-0.14956144988536835,-0.0950968787074089,0.018154852092266083,-0.22563894093036652
