1-500kV阿太甲线线路电压Ua_1,2-500kV阿太甲线线路电压Ub_2,3-500kV阿太甲线线路电压Uc_3,4-500kV阿太甲线线路电压3Uo_4,9-500kV阿太甲线线路电流Ia_9,10-500kV阿太甲线线路电流Ib_10,11-500kV阿太甲线线路电流Ic_11,12-500kV阿太甲线线路电流3Io_12
74.27107238769531,3.5595510005950928,-77.77066802978516,0.15885910391807556,0.2228105366230011,0.035922784358263016,-0.26601311564445496,0.0
71.30787658691406,8.771750450134277,-80.1543197631836,-0.09531546384096146,0.20843566954135895,0.057476457208395004,-0.28039219975471497,-0.007186124566942453
68.08978271484375,14.015731811523438,-82.2837142944336,-0.3177182078361511,0.20124822854995728,0.07184556871652603,-0.28039219975471497,0.0
64.26630401611328,19.450403213500977,-84.06351470947266,-0.5718927979469299,0.18687336146831512,0.08621468394994736,-0.28039219975471497,-0.007186124566942453
60.06047439575195,24.789730072021484,-85.33479309082031,-0.7942955493927002,0.17249847948551178,0.11495291441679001,-0.28039219975471497,0.0
55.918373107910156,29.87480354309082,-86.35182189941406,-0.9213827848434448,0.15812361240386963,0.12213747203350067,-0.28758174180984497,-0.014372249133884907
51.3302001953125,35.05522155761719,-86.8603286743164,-0.826067328453064,0.14374874532222748,0.14369113743305206,-0.28039219975471497,-0.007186124566942453
46.74202346801758,39.88603973388672,-86.98745727539062,-0.6989800333976746,0.12218642979860306,0.15087570250034332,-0.28758174180984497,-0.007186124566942453
41.835227966308594,44.71685791015625,-86.92389678955078,-0.5083491206169128,0.10781155526638031,0.17242936789989471,-0.28039219975471497,-0.007186124566942453
36.928428649902344,49.51589584350586,-86.70142364501953,-0.3494900166988373,0.08624923974275589,0.17961393296718597,-0.28039219975471497,0.0
31.989770889282227,54.028900146484375,-86.19290924072266,-0.3177182078361511,0.07187437266111374,0.20116759836673737,-0.28039219975471497,-0.007186124566942453
26.79621124267578,58.28764724731445,-85.2076644897461,-0.22240275144577026,0.05749949440360069,0.20835214853286743,-0.27320265769958496,-0.007186124566942453
21.6345157623291,62.4510498046875,-84.09529113769531,-0.0635436400771141,0.03593718633055687,0.2155367136001587,-0.26601311564445496,0.0
16.313508987426758,66.42376708984375,-82.66510009765625,0.0635436400771141,0.021562309935688972,0.22990582883358002,-0.25882357358932495,0.0
10.928775787353516,69.91975402832031,-80.9170913696289,-0.1270872801542282,0.0,0.24427494406700134,-0.25163403153419495,-0.007186124566942453
5.607768535614014,73.0661392211914,-78.66056060791016,-0.03177182003855705,-0.014374873600900173,0.2514595091342926,-0.24444448947906494,-0.007186124566942453
0.2867608964443207,75.83114624023438,-76.05443572998047,0.0635436400771141,-0.021562309935688972,0.2586440443992615,-0.23725494742393494,0.0
-5.0661091804504395,78.40546417236328,-73.32118225097656,0.0635436400771141,-0.05031205713748932,0.2586440443992615,-0.23006540536880493,-0.007186124566942453
-10.387116432189941,80.82087707519531,-70.17475891113281,0.3177182078361511,-0.06468693166971207,0.273013174533844,-0.21568630635738373,-0.007186124566942453
-15.612537384033203,82.60065460205078,-66.80586242675781,0.22240275144577026,-0.07906180620193481,0.273013174533844,-0.1941176801919937,-0.007186124566942453
-21.188444137573242,84.31686401367188,-62.89666748046875,0.3177182078361511,-0.10062411427497864,0.273013174533844,-0.1869281381368637,0.0
-26.382001876831055,85.49279022216797,-58.73322296142578,0.5083491206169128,-0.12218642979860306,0.2873822748661041,-0.1725490540266037,0.0
-41.22984313964844,5.275763034820557,-65.97953033447266,-174.58615112304688,-0.12937386333942413,0.6466101408004761,-0.13660132884979248,0.3952368497848511
-40.401424407958984,25.93387222290039,-52.63106918334961,-115.74474334716797,-0.07187437266111374,0.5244726538658142,-0.05751635134220123,0.38805073499679565
-29.249610900878906,32.38555908203125,-33.18045425415039,-51.15263366699219,-0.09343668073415756,0.5532109141349792,-0.028758175671100616,0.43116748332977295
-35.7176628112793,34.705623626708984,-31.46422576904297,-55.69600296020508,-0.12218642979860306,0.6394255757331848,-0.043137263506650925,0.4527258574962616
-27.656494140625,69.82440948486328,-16.558446884155273,45.49724578857422,-0.10781155526638031,0.819039523601532,0.007189543917775154,0.7186124324798584
-46.86947250366211,43.1595573425293,-22.50168800354004,-45.05244064331055,-0.15093617141246796,0.8118549585342407,0.043137263506650925,0.7042402029037476
-49.291011810302734,11.473196029663086,-11.759357452392578,-85.37088012695312,-0.17249847948551178,0.890885055065155,0.05032680556178093,0.7689153552055359
-54.99436569213867,11.98170280456543,-9.312139511108398,-91.50284576416016,-0.1653110533952713,0.9627306461334229,0.05032680556178093,0.8551488518714905
-51.61695861816406,43.000648498535156,3.2417685985565186,-8.896109580993652,-0.12218642979860306,0.9483615159988403,0.13660132884979248,0.9629406929016113
-48.303279876708984,45.79743576049805,12.140741348266602,17.887535095214844,-0.1940608024597168,1.0058380365371704,0.1509804129600525,0.9701268076896667
-57.54335021972656,53.17079162597656,16.3995361328125,21.06471824645996,-0.20124822854995728,1.1064218282699585,0.11503270268440247,1.0276157855987549
-64.7442398071289,32.13130569458008,12.681035995483398,-34.50419616699219,-0.1940608024597168,1.1998209953308105,0.13660132884979248,1.1282215118408203
-69.90592956542969,26.919103622436523,15.509638786315918,-47.84836196899414,-0.17249847948551178,1.2070056200027466,0.1869281381368637,1.221641182899475
-69.61917114257812,17.51171875,25.076034545898438,-47.21292495727539,-0.20843566954135895,1.2501128911972046,0.20130722224712372,1.2431995868682861
-74.6852798461914,36.294708251953125,26.91939353942871,-19.634984970092773,-0.2228105366230011,1.2932202816009521,0.1941176801919937,1.2719440460205078
