大剑I回电压_5,大剑I回电压_6,大剑I回电压_7,大剑I回电压_8,大剑I回_33,大剑I回_34,大剑I回_35,大剑I回_36
36.563804626464844,46.59251022338867,-83.63035583496094,-0.6990330219268799,-0.026837000623345375,0.019015999510884285,-0.0017330000409856439,-0.006008000113070011
31.436344146728516,51.14791488647461,-83.04163360595703,-0.6524310111999512,-0.026837000623345375,0.022471999749541283,-0.0017330000409856439,-0.012864000163972378
26.28223419189453,55.56949234008789,-82.19601440429688,-0.4737899899482727,-0.026837000623345375,0.022471999749541283,0.005146999843418598,-0.006008000113070011
20.962894439697266,59.70200729370117,-80.97576141357422,-0.4271880090236664,-0.019917000085115433,0.019015999510884285,0.005146999843418598,-0.012864000163972378
15.675535202026367,63.47587203979492,-79.40227508544922,-0.2951489984989166,-0.02337699942290783,0.019015999510884285,0.008586999960243702,-0.012864000163972378
10.398835182189941,66.89108276367188,-77.47555541992188,-0.16311000287532806,-0.026837000623345375,0.019015999510884285,0.008586999960243702,-0.012864000163972378
5.2074151039123535,69.97441101074219,-75.27587890625,-0.03883799910545349,-0.026837000623345375,0.019015999510884285,0.008586999960243702,-0.009436000138521194
0.10660500079393387,72.8115005493164,-72.9156494140625,0.06989999860525131,-0.019917000085115433,0.019015999510884285,0.012027000077068806,-0.009436000138521194
-4.962224960327148,75.30599975585938,-70.26641082763672,0.2951430082321167,-0.02337699942290783,0.015560000203549862,0.012027000077068806,-0.012864000163972378
-9.924454689025879,77.46326446533203,-67.269287109375,0.5126190185546875,-0.02337699942290783,0.019015999510884285,0.008586999960243702,-0.012864000163972378
-14.822725296020508,79.33680725097656,-64.20259094238281,0.6601920127868652,-0.026837000623345375,0.019015999510884285,0.01890699937939644,-0.012864000163972378
-19.705005645751953,81.02835845947266,-60.84153747558594,0.807765007019043,-0.019917000085115433,0.019015999510884285,0.01546700019389391,-0.012864000163972378
-24.587284088134766,82.32913970947266,-57.30386734008789,0.893202006816864,-0.026837000623345375,0.015560000203549862,0.01546700019389391,-0.012864000163972378
-29.46956443786621,83.37297058105469,-53.42901611328125,1.0174740552902222,-0.026837000623345375,0.012103999964892864,0.01546700019389391,-0.01971999928355217
-34.30387496948242,83.95645141601562,-49.249107360839844,0.9553380012512207,-0.02337699942290783,0.019015999510884285,0.01546700019389391,-0.01629200018942356
-39.122196197509766,84.34722137451172,-44.764129638671875,0.8155320286750793,-0.026837000623345375,0.015560000203549862,0.01890699937939644,-0.01971999928355217
-43.88188552856445,84.31510162353516,-39.99549865722656,0.6291239857673645,-0.026837000623345375,0.012103999964892864,0.01890699937939644,-0.01971999928355217
-48.55096435546875,83.84403991699219,-35.08236312866211,0.4116480052471161,-0.02337699942290783,0.022471999749541283,0.022346999496221542,-0.026575999334454536
-52.980194091796875,82.40408325195312,-29.94979476928711,-0.8466060161590576,-0.03029699996113777,0.09159199893474579,0.01546700019389391,-0.08485200256109238
-57.50536346435547,79.235107421875,-24.924266815185547,-5.6233110427856445,-0.019917000085115433,0.14688800275325775,0.012027000077068806,-0.14998400211334229
-61.1937255859375,78.11632537841797,-19.3688907623291,-4.287386894226074,-0.019917000085115433,0.19872799515724182,0.01890699937939644,-0.1911199986934662
-64.6102523803711,75.17752838134766,-13.75464153289795,-5.506805896759033,-0.03029699996113777,0.2540239989757538,0.008586999960243702,-0.22540000081062317
-68.02145385742188,73.22903442382812,-8.670242309570312,-6.003893852233887,-0.019917000085115433,0.28167200088500977,0.01546700019389391,-0.273391991853714
-71.23544311523438,70.66494750976562,-3.7356979846954346,-7.510692119598389,-0.006076999939978123,0.30932000279426575,0.032666999846696854,-0.3282400071620941
-73.7938461303711,68.0740966796875,1.2577179670333862,-7.689332962036133,0.0008430000161752105,0.31623199582099915,0.03954700008034706,-0.3488079905509949
-76.17635345458984,65.46183776855469,6.529438018798828,-7.2466139793396,0.0008430000161752105,0.33696800470352173,0.032666999846696854,-0.3728039860725403
-77.93525695800781,62.512332916259766,11.576374053955078,-6.671855926513672,0.0008430000161752105,0.3507919907569885,0.025786999613046646,-0.3899439871311188
-79.29440307617188,59.8733024597168,16.68218231201172,-4.69127082824707,-0.01299699954688549,0.3853519856929779,0.01890699937939644,-0.3968000113964081
-80.69086456298828,57.40557098388672,21.72911834716797,-2.524277925491333,-0.01299699954688549,0.4060879945755005,0.008586999960243702,-0.403656005859375
-81.8208236694336,54.1670036315918,26.529861450195312,-1.9650540351867676,-0.01299699954688549,0.42336800694465637,0.012027000077068806,-0.42422398924827576
-83.08403778076172,51.41556167602539,30.934558868408203,-1.1572860479354858,-0.01299699954688549,0.42682400345802307,0.012027000077068806,-0.43450799584388733
-83.49444580078125,47.77016830444336,35.88515853881836,0.3106769919395447,-0.006076999939978123,0.43719199299812317,0.01890699937939644,-0.44136399030685425
-83.65967559814453,43.86248016357422,40.803646087646484,2.0116500854492188,-0.002616999903693795,0.42682400345802307,0.01890699937939644,-0.4516479969024658
-83.61170196533203,39.580078125,45.30467987060547,2.2757279872894287,0.0008430000161752105,0.42336800694465637,0.022346999496221542,-0.4550760090351105
-83.249267578125,34.86943817138672,49.81641387939453,2.555340051651001,0.007763000205159187,0.4199120104312897,0.022346999496221542,-0.4516479969024658
-82.70027160644531,29.987503051757812,54.055198669433594,2.415534019470215,0.014682999812066555,0.4060879945755005,0.022346999496221542,-0.4447920024394989
-81.62894439697266,24.634504318237305,58.10131072998047,2.042717933654785,0.011222999542951584,0.3922640085220337,0.022346999496221542,-0.42422398924827576
