220kV I母_1,220kV I母_2,220kV I母_3,220kV I母_4,文南II回264开关_37,文南II回264开关_38,文南II回264开关_39,文南II回264开关_40
-37.60246658325195,84.980712890625,-47.00994873046875,0.636489987373352,-0.34635698795318604,0.36507299542427063,-0.02587199956178665,0.004298999905586243
-42.29872512817383,84.96452331542969,-42.45572280883789,0.31431201100349426,-0.34635698795318604,0.3307130038738251,-0.008623999543488026,0.004298999905586243
-46.843841552734375,84.37613677978516,-37.502193450927734,-0.055013999342918396,-0.34635698795318604,0.3307130038738251,0.02587199956178665,0.004298999905586243
-51.38895797729492,83.98748016357422,-32.61341857910156,0.007849999703466892,-0.41477298736572266,0.2963530123233795,0.06036800146102905,0.004298999905586243
-55.78293228149414,83.45848083496094,-27.72464370727539,-0.21217399835586548,-0.3976689875125885,0.2619929909706116,0.07761599868535995,-0.0300929993391037
-55.04340362548828,65.65047454833984,-18.783470153808594,-16.65110969543457,-0.5173969864845276,2.598473072052002,0.008623999543488026,-2.1452009677886963
-69.95268249511719,65.9311752319336,-25.242483139038086,-51.69778823852539,-0.4660849869251251,3.697993040084839,0.16385599970817566,-3.434900999069214
-77.72040557861328,51.70204544067383,-21.44369888305664,-84.71710968017578,-0.5173969864845276,3.9728729724884033,0.14660799503326416,-3.6412529945373535
-79.16166687011719,61.51560974121094,-15.653791427612305,-57.324119567871094,-0.44898098707199097,5.175473213195801,0.25009599328041077,-4.982541084289551
-78.40595245361328,54.44422912597656,-4.81322717666626,-51.89424133300781,-0.5516049861907959,6.34371280670166,0.12936000525951385,-5.9799089431762695
-79.65288543701172,49.5212516784668,-0.6960790157318115,-54.54238510131836,-0.7055410146713257,6.7388529777526855,0.12936000525951385,-6.186261177062988
-79.82562255859375,47.432228088378906,6.075901031494141,-45.914302825927734,-0.5002930164337158,7.5806732177734375,0.26734399795532227,-7.424373149871826
-82.49223327636719,45.802032470703125,11.639177322387695,-42.794677734375,-0.6200209856033325,8.405312538146973,0.21559999883174896,-8.112213134765625
-85.62847137451172,45.289222717285156,16.398448944091797,-40.830177307128906,-0.7055410146713257,8.680192947387695,0.12936000525951385,-8.215389251708984
-84.7647933959961,42.08820724487305,22.884441375732422,-34.37089920043945,-0.6371250152587891,9.298672676086426,0.26734399795532227,-8.972013473510742
-84.78638458251953,43.939720153808594,28.75528907775879,-20.68226432800293,-0.6884369850158691,9.745352745056152,0.25009599328041077,-9.384716987609863
-83.03742980957031,40.965423583984375,36.4931526184082,-9.162435531616211,-0.6200209856033325,10.020233154296875,0.25009599328041077,-9.763029098510742
-83.7121810913086,37.42973327636719,40.151641845703125,-10.231123924255371,-0.6542289853096008,10.484092712402344,0.18110400438308716,-10.106948852539062
-84.50028991699219,32.970985412597656,44.376708984375,-12.360642433166504,-0.7226449847221375,10.741792678833008,0.12936000525951385,-10.210124969482422
-86.41658020019531,26.43400764465332,46.081844329833984,-24.234079360961914,-0.6200209856033325,10.844873428344727,0.25009599328041077,-10.57124137878418
-86.43817138671875,20.30727767944336,50.38785171508789,-27.636594772338867,-0.6200209856033325,10.999492645263672,0.26734399795532227,-10.726004600524902
-84.79718017578125,15.611017227172852,54.47801971435547,-25.349916458129883,-0.5687090158462524,10.913593292236328,0.19835199415683746,-10.657220840454102
-81.34786224365234,13.241294860839844,60.26792907714844,-13.413614273071289,-0.5516049861907959,10.844873428344727,0.25009599328041077,-10.657220840454102
-79.593505859375,11.378985404968262,64.81136322021484,-5.901366233825684,-0.6029170155525208,10.879233360290527,0.25009599328041077,-10.5884370803833
-77.34793853759766,9.964709281921387,68.86915588378906,2.7738659381866455,-0.5858129858970642,10.707432746887207,0.18110400438308716,-10.382084846496582
-74.76229858398438,6.04036283493042,73.31005859375,7.983719825744629,-0.5002930164337158,10.398193359375,0.3363359868526459,-10.313301086425781
-72.68946838378906,3.3899450302124023,75.80301666259766,11.378376007080078,-0.5173969864845276,10.123312950134277,0.26734399795532227,-9.969381332397461
-69.15377807617188,-0.8582810163497925,79.25645446777344,16.163898468017578,-0.4831889867782593,9.762533187866211,0.30184000730514526,-9.677048683166504
-67.53437805175781,-4.20504093170166,80.64862060546875,15.786713600158691,-0.4831889867782593,9.333032608032227,0.28459200263023376,-9.229952812194824
-63.453487396240234,-8.599013328552246,83.11998748779297,19.440683364868164,-0.4318769872188568,8.920713424682617,0.28459200263023376,-8.834444999694824
-59.977176666259766,-13.710919380187988,83.89161682128906,17.908374786376953,-0.34635698795318604,8.370952606201172,0.3535839915275574,-8.456132888793945
-55.41046905517578,-19.583942413330078,84.61467742919922,16.88683319091797,-0.34635698795318604,7.786832809448242,0.28459200263023376,-7.7682929039001465
-50.7411994934082,-23.740402221679688,85.35393524169922,18.984920501708984,-0.3121489882469177,7.219892978668213,0.26734399795532227,-7.183629035949707
-46.536155700683594,-25.672887802124023,84.64705657958984,21.908096313476562,-0.2779409885406494,6.498332977294922,0.28459200263023376,-6.564572811126709
-41.931663513183594,-30.6606388092041,85.09492492675781,22.033824920654297,-0.209525004029274,5.793952941894531,0.25009599328041077,-5.911125183105469
