500kV鲁仁乙线_1,500kV鲁仁乙线_2,500kV鲁仁乙线_3,500kV鲁仁乙线_4,500kV鲁仁乙线_41,500kV鲁仁乙线_42,500kV鲁仁乙线_43,500kV鲁仁乙线_44
64.382080078125,16.005765914916992,-80.37556457519531,-0.25482600927352905,-0.21795199811458588,-0.06052299961447716,0.2776919901371002,-0.0017030000453814864
60.69277572631836,21.181602478027344,-82.02914428710938,-0.4864859879016876,-0.21103200316429138,-0.07436300069093704,0.2776919901371002,-0.005162999965250492
56.812095642089844,26.293670654296875,-83.37102508544922,-0.6100379824638367,-0.19373199343681335,-0.09512300044298172,0.28115200996398926,-0.005162999965250492
52.66029739379883,31.411052703857422,-84.40120697021484,-0.702701985836029,-0.17989200353622437,-0.1089629977941513,0.2846119999885559,-0.005162999965250492
48.184226989746094,36.52312088012695,-85.07215118408203,-0.6718140244483948,-0.16259199380874634,-0.12972299754619598,0.2846119999885559,0.001756999990902841
43.64967727661133,41.4917106628418,-85.39969635009766,-0.5482620000839233,-0.14875200390815735,-0.147023007273674,0.2846119999885559,-0.005162999965250492
39.0460205078125,46.12020492553711,-85.40497589111328,-0.4942080080509186,-0.13491199910640717,-0.160862997174263,0.2846119999885559,-0.005162999965250492
34.235042572021484,50.57333755493164,-84.9347915649414,-0.40926599502563477,-0.11761199682950974,-0.17816300690174103,0.2846119999885559,-0.005162999965250492
29.22205352783203,54.920188903808594,-84.37479400634766,-0.43243199586868286,-0.10377199947834015,-0.19200299680233002,0.2846119999885559,-0.005162999965250492
23.975162506103516,59.054481506347656,-83.2864990234375,-0.4942080080509186,-0.08301199972629547,-0.2058430016040802,0.28115200996398926,-0.0017030000453814864
18.80269432067871,62.715824127197266,-81.85480499267578,-0.6254820227622986,-0.06225199997425079,-0.21968300640583038,0.2776919901371002,-0.005162999965250492
13.640857696533203,66.07958984375,-80.1325454711914,-0.7567560076713562,-0.051872000098228455,-0.23006300628185272,0.2707720100879669,-0.005162999965250492
8.436493873596191,69.31581115722656,-78.06689453125,-0.7335900068283081,-0.03457200154662132,-0.2439029961824417,0.26385200023651123,-0.005162999965250492
3.2108659744262695,72.21725463867188,-75.79520416259766,-0.6254820227622986,-0.020732000470161438,-0.25428301095962524,0.25693199038505554,-0.005162999965250492
-2.030709981918335,74.93802642822266,-73.10615539550781,-0.40926599502563477,0.003488000016659498,-0.2577430009841919,0.25001201033592224,0.001756999990902841
-7.240389823913574,77.29212951660156,-70.06842803955078,-0.1312739998102188,0.020788000896573067,-0.2715829908847809,0.22925199568271637,-0.005162999965250492
-12.370329856872559,79.33270263671875,-66.72957611083984,0.11582999676465988,0.041547998785972595,-0.2750430107116699,0.22233200073242188,-0.005162999965250492
-17.649118423461914,81.24043273925781,-63.26921081542969,0.45559799671173096,0.058848001062870026,-0.2819629907608032,0.21541200578212738,-0.005162999965250492
-22.709949493408203,82.78680419921875,-59.560543060302734,0.6640920042991638,0.07614800333976746,-0.2888830006122589,0.19811199605464935,-0.005162999965250492
-27.813310623168945,83.95588684082031,-55.66168975830078,0.7335900068283081,0.08998800069093704,-0.2958030104637146,0.18427200615406036,-0.005162999965250492
-33.038936614990234,84.80612182617188,-51.2873649597168,0.6332039833068848,0.11074800044298172,-0.2958030104637146,0.17043200135231018,-0.008623000234365463
-38.10508728027344,85.2896957397461,-46.77040100097656,0.4864859879016876,0.12112800031900406,-0.2958030104637146,0.16005200147628784,-0.005162999965250492
-43.11275863647461,85.57134246826172,-42.232303619384766,0.23165999352931976,0.14188799262046814,-0.2958030104637146,0.13929200172424316,-0.005162999965250492
-47.764259338378906,85.40129089355469,-37.519866943359375,0.08494199812412262,0.16610799729824066,-0.2958030104637146,0.12891200184822083,0.001756999990902841
-52.181854248046875,84.88583374023438,-32.670074462890625,-0.015444000251591206,0.17302800714969635,-0.2958030104637146,0.1046919971704483,-0.005162999965250492
-56.43996810913086,84.21627044677734,-27.72518539428711,-0.06949800252914429,0.18686799705028534,-0.2958030104637146,0.09085199981927872,-0.008623000234365463
-60.44823455810547,83.07376098632812,-22.56897735595703,-0.023166000843048096,0.20070800185203552,-0.2888830006122589,0.07701200246810913,-0.005162999965250492
-64.21195983886719,81.64429473876953,-17.37050437927246,-0.05405399948358536,0.2145480066537857,-0.2819629907608032,0.0597120001912117,0.001756999990902841
-67.5876235961914,79.7153091430664,-12.066372871398926,0.007722000125795603,0.2283879965543747,-0.2715829908847809,0.03549199923872948,0.001756999990902841
-70.61774444580078,77.46749114990234,-6.841485977172852,0.0,0.23184800148010254,-0.26812300086021423,0.018192000687122345,-0.005162999965250492
-73.38206481933594,75.0868148803711,-1.6588629484176636,-0.023166000843048096,0.24222800135612488,-0.2577430009841919,0.0008919999818317592,-0.005162999965250492
-75.92842864990234,72.31291198730469,3.5448920726776123,-0.2702699899673462,0.25606799125671387,-0.24736300110816956,-0.012947999872267246,-0.005162999965250492
-78.16114807128906,69.03948974609375,8.790910720825195,-0.5559840202331543,0.25606799125671387,-0.24044300615787506,-0.03370799869298935,0.001756999990902841
-80.17059326171875,65.54818725585938,13.99466609954834,-1.0038599967956543,0.26990801095962524,-0.22660300135612488,-0.05100800096988678,-0.005162999965250492
-81.90892791748047,61.8868408203125,19.208986282348633,-1.3050179481506348,0.27682799100875854,-0.21622300148010254,-0.07176800072193146,-0.005162999965250492
-83.32830047607422,58.1139030456543,24.33349609375,-1.5598440170288086,0.27682799100875854,-0.2058430016040802,-0.0821480005979538,-0.005162999965250492
