220kVⅠ电压_A相_1,220kVⅠ电压_B相_2,220kVⅠ电压_C相_3,220kVⅠ电压_3U0_4,通蔓Ⅰ回线277_A相_21,通蔓Ⅰ回线277_B相_22,通蔓Ⅰ回线277_C相_23,通蔓Ⅰ回线277_3I0_24
-0.6058244109153748,-73.56954193115234,74.4707260131836,0.3724503219127655,-0.28867459297180176,-1.6854063272476196,1.9354310035705566,-0.06515362858772278
21.61121940612793,-83.27193450927734,61.27496337890625,-0.5741942524909973,0.260738343000412,-1.890262246131897,1.609757423400879,-0.06515362858772278
42.543495178222656,-85.94738006591797,42.740535736083984,-0.4655628800392151,0.7356546521186829,-2.0299367904663086,1.1631195545196533,-0.018615322187542915
59.558807373046875,-81.78326416015625,22.124757766723633,0.27933773398399353,1.1919467449188232,-1.9461320638656616,0.6513469815254211,-0.055845968425273895
73.5345458984375,-74.23580169677734,0.2705755829811096,-0.07759381830692291,1.5458059310913086,-1.7785226106643677,0.1395743489265442,-0.055845968425273895
82.97705078125,-61.63934326171875,-21.81255340576172,0.10863134264945984,1.7786080837249756,-1.4805502891540527,-0.40011313557624817,-0.08376894891262054
85.49435424804688,-42.984100341796875,-42.1889762878418,0.8535319566726685,1.9276013374328613,-1.0615266561508179,-0.893275797367096,-0.09307660907506943
81.68183898925781,-21.97612762451172,-59.87004852294922,0.20174391567707062,1.8810409307479858,-0.5680098533630371,-1.3213038444519043,-0.08376894891262054
74.17170715332031,-0.6766690611839294,-73.90876007080078,-0.10863134264945984,1.7413597106933594,-0.07449309527873993,-1.6748921871185303,-0.11169193685054779
61.34494400024414,21.507665634155273,-83.2228012084961,-0.10863134264945984,1.4154367446899414,0.46558183431625366,-1.879601240158081,-0.11169193685054779
42.97175216674805,42.827945709228516,-86.1366958618164,-0.09311258047819138,1.0336413383483887,0.9684102535247803,-1.9633457660675049,-0.14892257750034332
22.06036376953125,59.984107971191406,-82.55677032470703,-0.2483002096414566,0.5866612792015076,1.4339920282363892,-1.916821002960205,-0.1582302451133728
0.9400723576545715,73.64241027832031,-74.6372299194336,0.13966886699199677,0.02793625183403492,1.713341236114502,-1.7307219505310059,-0.13961490988731384
-21.652999877929688,83.48014068603516,-61.420658111572266,0.9776820540428162,-0.48422837257385254,1.9368205070495605,-1.414353370666504,-0.13961490988731384
-42.522605895996094,85.92655944824219,-43.188026428222656,0.6828255653381348,-0.9777688384056091,2.0578718185424805,-0.9770204424858093,-0.13961490988731384
-59.329010009765625,81.99147033691406,-22.270450592041016,0.13966886699199677,-1.4247487783432007,1.9926903247833252,-0.45594286918640137,-0.14892257750034332
-73.08540344238281,74.54811096191406,-0.8325402140617371,0.4655628800392151,-1.7879201173782349,1.797145962715149,0.0558297373354435,-0.1675378978252411
-82.73680877685547,61.566471099853516,21.40669059753418,0.27933773398399353,-2.0207221508026123,1.4898618459701538,0.6141270995140076,-0.14892257750034332
-85.3481216430664,43.05697250366211,42.24100875854492,-0.5586754679679871,-2.1138429641723633,1.1173964738845825,1.1072897911071777,-0.13030725717544556
-81.59828186035156,22.298847198486328,59.44337463378906,-0.21726268529891968,-2.1138429641723633,0.577321469783783,1.5353177785873413,-0.11169193685054779
-74.20304107666016,1.020208716392517,73.53411865234375,0.5741942524909973,-1.9741617441177368,0.10242800414562225,1.898211121559143,-0.10238426923751831
-61.00025177001953,-21.393152236938477,82.88978576660156,0.651788055896759,-1.666862964630127,-0.4469585716724396,2.0936152935028076,-0.10238426923751831
-42.376373291015625,-42.317840576171875,85.00235748291016,0.43452537059783936,-1.2105709314346313,-0.8659822344779968,2.2238845825195312,-0.11169193685054779
-21.86190414428711,-59.49482345581055,81.62016296386719,0.43452537059783936,-0.8101512789726257,-1.3501873016357422,2.1308350563049316,-0.06515362858772278
-0.6371601223945618,-73.7361068725586,74.49153900146484,0.40348783135414124,-0.31661084294319153,-1.722652792930603,1.916821002960205,-0.055845968425273895
21.694780349731445,-83.27193450927734,61.150081634521484,-0.605231761932373,0.27005043625831604,-1.890262246131897,1.591147541999817,-0.046538304537534714
42.39726257324219,-85.67671203613281,42.740535736083984,-0.5276379585266113,0.7449666857719421,-1.9833786487579346,1.172424554824829,-0.046538304537534714
59.62147903442383,-81.85613250732422,22.166383743286133,0.40348783135414124,1.1919467449188232,-1.9554437398910522,0.6513469815254211,-0.046538304537534714
73.52410125732422,-74.24620819091797,0.21854181587696075,-0.23278144001960754,1.5364938974380493,-1.759899377822876,0.1488793045282364,-0.06515362858772278
82.84126281738281,-61.295806884765625,-21.781333923339844,0.031037526205182076,1.806544303894043,-1.4805502891540527,-0.41872304677963257,-0.055845968425273895
85.47346496582031,-43.04656219482422,-42.26182556152344,0.9776820540428162,1.9089771509170532,-1.0615266561508179,-0.9025807976722717,-0.06515362858772278
81.72362518310547,-21.9240779876709,-59.911678314208984,0.07759381830692291,1.8810409307479858,-0.577321469783783,-1.349218726158142,-0.09307660907506943
74.05680847167969,-0.395591139793396,-73.85672760009766,-0.2483002096414566,1.7320475578308105,-0.046558182686567307,-1.6655871868133545,-0.11169193685054779
61.32405090332031,21.497255325317383,-83.20198822021484,0.09311258047819138,1.4247487783432007,0.4748934805393219,-1.8889061212539673,-0.10238426923751831
42.94041442871094,42.8487663269043,-86.0950698852539,-0.23278144001960754,1.0522655248641968,0.9684102535247803,-1.9912606477737427,-0.13961490988731384
22.04991912841797,60.150672912597656,-82.49433135986328,-0.4190066158771515,0.530788779258728,1.3501873016357422,-1.916821002960205,-0.14892257750034332
