1-220kVⅠ段母线电压Ua_1,2-220kVⅠ段母线电压Ub_2,3-220kVⅠ段母线电压Uc_3,4-220kVⅠ段母线电压3Uo_4,21-220kV耿沾Ⅱ回264线路电流Ia_21,22-220kV耿沾Ⅱ回264线路电流Ib_22,23-220kV耿沾Ⅱ回264线路电流Ic_23,24-220kV耿沾Ⅱ回264线路电流3Io_24
85.66792297363281,-36.85599899291992,-48.37581253051758,0.749529242515564,0.18676210939884186,-0.08314668387174606,-0.10381194204092026,0.0
84.66851806640625,-31.92104148864746,-52.24837875366211,0.8744507431983948,0.18676210939884186,-0.06928890198469162,-0.11765353381633759,0.0
83.91896057128906,-26.92361831665039,-56.68308639526367,0.5621469020843506,0.17984499037265778,-0.055431123822927475,-0.12457432597875595,0.0
82.20122528076172,-21.988662719726562,-60.087196350097656,0.187382310628891,0.1729278713464737,-0.04157334193587303,-0.13149511814117432,0.0
81.2330551147461,-16.710134506225586,-64.58436584472656,-0.1561519205570221,0.1729278713464737,-0.027715561911463737,-0.13841591775417328,0.0
79.1717758178711,-11.619009971618652,-67.33263397216797,0.374764621257782,0.1660107672214508,-0.020786670967936516,-0.14533671736717224,0.0
77.04803466796875,-5.778270721435547,-70.89289855957031,0.7182988524436951,0.15909364819526672,-0.006928890477865934,-0.1522575169801712,-0.006923489738255739
73.79996490478516,-0.3123389780521393,-73.1102523803711,0.6870684623718262,0.15909364819526672,0.0,-0.15917830169200897,0.0
71.27021789550781,5.059891223907471,-76.32698059082031,0.03123038448393345,0.15909364819526672,0.013857780955731869,-0.16609910130500793,0.0
68.5530776977539,10.369653701782227,-78.79417419433594,0.2498430758714676,0.14525941014289856,0.027715561911463737,-0.1730199009180069,0.0
65.30500030517578,15.835585594177246,-80.82415008544922,0.5621469020843506,0.14525941014289856,0.04157334193587303,-0.17994070053100586,0.0
61.27614212036133,20.551904678344727,-81.63613891601562,0.4059950113296509,0.1314251869916916,0.04850223287940025,-0.17994070053100586,0.0
57.37221145629883,25.361923217773438,-82.85411834716797,-0.1249215379357338,0.1245080754160881,0.0623600147664547,-0.18686148524284363,0.0
53.37458038330078,30.20317840576172,-83.94718170166016,-0.5309165120124817,0.11759095638990402,0.06928890198469162,-0.17994070053100586,0.0
49.002174377441406,35.26306915283203,-84.47809600830078,-0.3123038411140442,0.10375672578811646,0.07621779292821884,-0.18686148524284363,0.0
44.56730651855469,40.073089599609375,-84.88409423828125,-0.374764621257782,0.09683961421251297,0.09007557481527328,-0.18686148524284363,0.0
39.63273620605469,44.63323974609375,-84.41564178466797,-0.187382310628891,0.08992249518632889,0.0970044657588005,-0.18686148524284363,0.0
34.69816207885742,49.5057258605957,-84.57179260253906,-0.5621469020843506,0.07608826458454132,0.11086224764585495,-0.18686148524284363,0.0
29.576202392578125,54.28451156616211,-84.07210540771484,-0.3123038411140442,0.06225403770804405,0.1247200295329094,-0.17994070053100586,0.0
24.95394515991211,58.28245162963867,-83.50995635986328,-0.4059950113296509,0.05533692240715027,0.13164891302585602,-0.17994070053100586,0.0
19.925678253173828,62.155452728271484,-81.94844055175781,0.2810734510421753,0.0415026918053627,0.13164891302585602,-0.17994070053100586,0.0
14.834948539733887,65.65364837646484,-80.4806137084961,0.0624607689678669,0.03458557650446892,0.14550669491291046,-0.17994070053100586,0.0
9.21328353881836,68.6208724975586,-77.79480743408203,0.187382310628891,0.02075134590268135,0.15243558585643768,-0.1730199009180069,0.0
4.091322422027588,72.08782958984375,-76.20205688476562,0.0,0.006917115300893784,0.1593644767999649,-0.16609910130500793,0.0
-1.3429532051086426,74.8676528930664,-73.26640319824219,0.4996861517429352,0.0,0.1593644767999649,-0.15917830169200897,0.0
-6.745997428894043,77.27265930175781,-70.45567321777344,0.187382310628891,-0.013834230601787567,0.16629336774349213,-0.1522575169801712,0.0
-12.211504936218262,79.14669036865234,-67.08279418945312,-0.1249215379357338,-0.027668461203575134,0.17322225868701935,-0.14533671736717224,0.0
-17.302234649658203,81.08319854736328,-64.1783676147461,-0.6246076822280884,-0.03458557650446892,0.18015114963054657,-0.13841591775417328,0.0
-22.268037796020508,81.9577407836914,-59.96227264404297,-0.4059950113296509,-0.048419807106256485,0.18015114963054657,-0.13149511814117432,0.0
-27.42123031616211,83.45697021484375,-56.2458610534668,-0.3123038411140442,-0.06225403770804405,0.18015114963054657,-0.12457432597875595,0.0
-32.0747184753418,83.5819091796875,-51.68622970581055,-0.3435342311859131,-0.06917115300893784,0.18015114963054657,-0.11073273420333862,0.0
-37.00929260253906,84.5189208984375,-47.43890380859375,0.1249215379357338,-0.0830053836107254,0.1870800405740738,-0.10381194204092026,0.0
-41.818939208984375,84.89373016357422,-42.91050338745117,0.3123038411140442,-0.08992249518632889,0.18015114963054657,-0.08997035026550293,0.0
-46.34749984741211,84.83126068115234,-38.19471740722656,0.5621469020843506,-0.10375672578811646,0.1870800405740738,-0.08304955065250397,0.0
-51.34453582763672,85.08113098144531,-33.44770431518555,0.4996861517429352,-0.11067384481430054,0.1870800405740738,-0.0761287584900856,0.0
-55.592018127441406,84.3315200805664,-28.731922149658203,0.0624607689678669,-0.11759095638990402,0.18015114963054657,-0.062287162989377975,0.0
-59.58964538574219,83.3008041381836,-23.797527313232422,-0.1249215379357338,-0.1245080754160881,0.18015114963054657,-0.04844557121396065,0.0
-63.39988327026367,81.86404418945312,-18.61328887939453,-0.2810734510421753,-0.1314251869916916,0.18015114963054657,-0.041524775326251984,0.0
