1-220kV母线Ⅰ电压Ua_1,2-220kV母线Ⅰ电压Ub_2,3-220kV母线Ⅰ电压Uc_3,4-220kV母线Ⅰ电压3Uo_4,41-220kV瑞达Ⅰ线路电流Ia_41,42-220kV瑞达Ⅰ线路电流Ib_42,43-220kV瑞达Ⅰ线路电流Ic_43,44-220kV瑞达Ⅰ线路电流3Io_44
-76.13430786132812,72.40379333496094,3.8386406898498535,0.2538073658943176,-0.17761820554733276,0.14952155947685242,0.0355972982943058,0.007106075529009104
-78.48963165283203,69.32615661621094,9.263496398925781,0.19035550951957703,-0.17051348090171814,0.14240148663520813,0.0355972982943058,0.007106075529009104
-80.59033203125,66.05815124511719,14.529730796813965,0.0,-0.18472294509410858,0.12816134095191956,0.04271675646305084,0.007106075529009104
-82.34091186523438,62.536319732666016,19.605619430541992,-0.19035550951957703,-0.17761820554733276,0.12104126065969467,0.05695567652583122,0.007106075529009104
-83.70954895019531,58.8558464050293,24.522886276245117,-0.41243696212768555,-0.17761820554733276,0.11392118781805038,0.06407513469457626,0.007106075529009104
-84.72806549072266,55.0801887512207,29.281532287597656,-0.5076147317886353,-0.17761820554733276,0.09968103468418121,0.0711945965886116,0.007106075529009104
-85.36463928222656,51.08243179321289,33.945003509521484,-0.5076147317886353,-0.17051348090171814,0.09256096184253693,0.08543351292610168,0.007106075529009104
-85.77841186523438,46.89430618286133,38.576751708984375,-0.41243696212768555,-0.17051348090171814,0.07832081615924835,0.09255297482013702,0.0
-85.81024169921875,42.48408508300781,43.04988098144531,-0.31725919246673584,-0.17051348090171814,0.07120074331760406,0.09967242926359177,0.007106075529009104
-85.49195098876953,37.820037841796875,47.49128341674805,-0.22208143770694733,-0.17051348090171814,0.05696059390902519,0.1067918911576271,0.007106075529009104
-84.88720703125,32.87043380737305,51.86923599243164,-0.15862959623336792,-0.16340875625610352,0.04272044450044632,0.1067918911576271,0.007106075529009104
-83.9323501586914,27.762191772460938,56.05684280395508,-0.0317259207367897,-0.1563040316104889,0.028480296954512596,0.12103080749511719,0.0
-82.69102478027344,22.590492248535156,60.05410385131836,0.0317259207367897,-0.14209456741809845,0.014240148477256298,0.13526973128318787,0.0
-81.0995864868164,17.164966583251953,63.82929611206055,0.0,-0.14209456741809845,0.007120074238628149,0.13526973128318787,0.007106075529009104
-79.25352478027344,11.802897453308105,67.38241577148438,-0.0634518414735794,-0.13498984277248383,-0.007120074238628149,0.1423891931772232,0.007106075529009104
-77.05734252929688,6.25045919418335,70.5865707397461,-0.19035550951957703,-0.1278851181268692,-0.028480296954512596,0.14950864017009735,0.0
-74.57469940185547,0.8249337077140808,73.50521087646484,-0.28553327918052673,-0.12078038603067398,-0.04272044450044632,0.14950864017009735,0.007106075529009104
-71.71011352539062,-4.600591659545898,76.04315185546875,-0.22208143770694733,-0.10657092928886414,-0.04984051734209061,0.1566281020641327,0.0
-68.65455627441406,-9.93093204498291,78.4542007446289,-0.09517775475978851,-0.09946619719266891,-0.05696059390902519,0.1566281020641327,0.0
-65.31254577636719,-15.102632522583008,80.3893814086914,0.15862959623336792,-0.09946619719266891,-0.07120074331760406,0.1566281020641327,0.014212151058018208
-61.74772644042969,-20.210874557495117,82.03904724121094,0.34898510575294495,-0.08525674045085907,-0.08544088900089264,0.16374756395816803,0.007106075529009104
-57.960105895996094,-25.160476684570312,83.37146759033203,0.5076147317886353,-0.07104728370904922,-0.08544088900089264,0.1566281020641327,0.0
-54.077003479003906,-30.04662322998047,84.38664245605469,0.6345183849334717,-0.07104728370904922,-0.09968103468418121,0.17086702585220337,0.0
-49.93927001953125,-34.80585479736328,85.0528564453125,0.6345183849334717,-0.04973309859633446,-0.11392118781805038,0.16374756395816803,0.007106075529009104
-45.5787353515625,-39.50163269042969,85.24320220947266,0.47588878870010376,-0.042628370225429535,-0.12104126065969467,0.1566281020641327,0.0
-40.931739807128906,-44.10222244262695,85.21147918701172,0.38071101903915405,-0.02841891348361969,-0.13528141379356384,0.14950864017009735,0.0
-36.03011703491211,-48.67108917236328,84.79906463623047,0.19035550951957703,-0.021314185112714767,-0.14240148663520813,0.14950864017009735,0.0
-31.064834594726562,-52.92266845703125,83.97422790527344,0.09517775475978851,0.0,-0.14240148663520813,0.1566281020641327,0.007106075529009104
-25.813095092773438,-57.11079406738281,82.8321533203125,-0.0317259207367897,0.0071047283709049225,-0.1566416323184967,0.14950864017009735,0.007106075529009104
-20.402212142944336,-61.04509353637695,81.37284088134766,-0.09517775475978851,0.021314185112714767,-0.163761705160141,0.1423891931772232,0.007106075529009104
-15.023158073425293,-64.75729370117188,79.72317504882812,0.0,0.02841891348361969,-0.17800185084342957,0.1423891931772232,0.0
-9.612275123596191,-68.08876037597656,77.69281768798828,0.09517775475978851,0.042628370225429535,-0.17088177800178528,0.13526973128318787,0.0
-4.042248249053955,-71.16639709472656,75.31349182128906,0.22208143770694733,0.05683782696723938,-0.17800185084342957,0.12815026938915253,0.0
1.3686351776123047,-73.99020385742188,72.74382781982422,0.31725919246673584,0.0639425590634346,-0.18512192368507385,0.12815026938915253,0.0
6.843175888061523,-76.56018829345703,69.88864135742188,0.2538073658943176,0.07104728370904922,-0.19224199652671814,0.12103080749511719,0.007106075529009104
12.094915390014648,-78.87635040283203,66.77965545654297,0.09517775475978851,0.07815201580524445,-0.19224199652671814,0.1067918911576271,0.0
17.251169204711914,-80.84349822998047,63.448604583740234,-0.1269036829471588,0.08525674045085907,-0.19224199652671814,0.1067918911576271,0.007106075529009104
22.375593185424805,-82.55682373046875,59.95893096923828,-0.38071101903915405,0.09946619719266891,-0.19936206936836243,0.09255297482013702,0.007106075529009104
27.34087371826172,-83.88941192626953,56.310638427734375,-0.47588878870010376,0.10657092928886414,-0.19936206936836243,0.08543351292610168,0.0
32.11518478393555,-84.87298583984375,52.44027328491211,-0.5076147317886353,0.11367565393447876,-0.19936206936836243,0.07831405103206635,0.0
36.953147888183594,-85.53927612304688,48.25266647338867,-0.5076147317886353,0.1278851181268692,-0.19936206936836243,0.0711945965886116,0.0
41.82294464111328,-85.88829040527344,43.779537200927734,-0.41243696212768555,0.13498984277248383,-0.19936206936836243,0.05695567652583122,0.0
46.46993637084961,-85.8248291015625,39.116065979003906,-0.31725919246673584,0.13498984277248383,-0.19936206936836243,0.04983621463179588,0.0
51.08510208129883,-85.31717681884766,34.1036262512207,-0.19035550951957703,0.14919929206371307,-0.19224199652671814,0.04271675646305084,0.007106075529009104
55.47746658325195,-84.42878723144531,28.869115829467773,-0.09517775475978851,0.1563040316104889,-0.18512192368507385,0.0355972982943058,0.007106075529009104
59.71068572998047,-83.25484466552734,23.507707595825195,-0.0634518414735794,0.1563040316104889,-0.17800185084342957,0.014238919131457806,0.0
63.657447814941406,-81.70016479492188,18.051128387451172,-0.0317259207367897,0.16340875625610352,-0.163761705160141,0.007119459565728903,0.0
67.2222671508789,-79.82820129394531,12.594548225402832,-0.0317259207367897,0.17051348090171814,-0.17088177800178528,-0.007119459565728903,0.007106075529009104
70.50062561035156,-77.63895416259766,7.011070728302002,-0.15862959623336792,0.17051348090171814,-0.163761705160141,-0.014238919131457806,0.007106075529009104
73.39704132080078,-75.1324234008789,1.5544908046722412,-0.2538073658943176,0.17051348090171814,-0.14952155947685242,-0.02135837823152542,0.0
76.00699615478516,-72.3720703125,-3.7751920223236084,-0.22208143770694733,0.17051348090171814,-0.14240148663520813,-0.0355972982943058,0.0
78.26683044433594,-69.26270294189453,-9.073150634765625,-0.1269036829471588,0.17761820554733276,-0.14240148663520813,-0.04271675646305084,0.007106075529009104
80.33570098876953,-66.02642059326172,-14.24421215057373,0.1269036829471588,0.17051348090171814,-0.12816134095191956,-0.04271675646305084,0.0
82.05445098876953,-62.536319732666016,-19.320100784301758,0.28553327918052673,0.17761820554733276,-0.12104126065969467,-0.06407513469457626,0.0
83.45491790771484,-58.95103073120117,-24.205642700195312,0.47588878870010376,0.17761820554733276,-0.11392118781805038,-0.06407513469457626,0.007106075529009104
84.47343444824219,-55.14364242553711,-29.02773666381836,0.5710665583610535,0.17761820554733276,-0.09968103468418121,-0.07831405103206635,0.0
85.26914978027344,-51.177616119384766,-33.72293472290039,0.5710665583610535,0.17051348090171814,-0.08544088900089264,-0.07831405103206635,0.007106075529009104
85.71475219726562,-47.052947998046875,-38.41813278198242,0.44416287541389465,0.17761820554733276,-0.07832081615924835,-0.09255297482013702,0.0
85.84207153320312,-42.67445373535156,-42.954708099365234,0.34898510575294495,0.17051348090171814,-0.07120074331760406,-0.09967242926359177,0.007106075529009104
85.61927032470703,-37.94694900512695,-47.49128341674805,0.22208143770694733,0.16340875625610352,-0.05696059390902519,-0.1067918911576271,0.0
85.04634857177734,-32.99734878540039,-51.93268585205078,0.1269036829471588,0.16340875625610352,-0.03560037165880203,-0.11391135305166245,0.007106075529009104
84.12332153320312,-27.857376098632812,-56.183738708496094,0.0,0.14919929206371307,-0.028480296954512596,-0.12815026938915253,0.007106075529009104
82.88199615478516,-22.62221908569336,-60.27617645263672,-0.0634518414735794,0.14919929206371307,-0.007120074238628149,-0.13526973128318787,0.0
81.29056549072266,-17.164966583251953,-64.08309173583984,0.0317259207367897,0.14209456741809845,0.0,-0.1423891931772232,-0.007106075529009104
79.41266632080078,-11.644256591796875,-67.69966125488281,-0.0317259207367897,0.13498984277248383,0.014240148477256298,-0.14950864017009735,0.0
77.21648406982422,-6.155274391174316,-70.93553924560547,0.19035550951957703,0.1278851181268692,0.028480296954512596,-0.14950864017009735,0.0
