通红乙线电压_A相_5,通红乙线电压_B相_6,通红乙线电压_C相_7,通红乙线电压_3U0_8,通红乙线电流_A相_29,通红乙线电流_B相_30,通红乙线电流_C相_31,通红乙线电流_3I0_32
-82.71635437011719,67.4521484375,14.367151260375977,-0.9038596749305725,0.001899987692013383,-0.011413004249334335,0.005687350407242775,0.0018925368785858154
-87.44864654541016,50.786521911621094,36.01656723022461,-0.5766001343727112,0.003799975384026766,-0.011413004249334335,0.0037915667053312063,0.0
-87.07422637939453,30.61945152282715,55.74413299560547,-0.7324379682540894,0.001899987692013383,-0.0038043346721678972,-0.0018957833526656032,-0.0018925368785858154
-80.03298950195312,8.312032699584961,71.50332641601562,0.015583787113428116,0.005699963308870792,-0.005706502124667168,0.0018957833526656032,-0.0018925368785858154
-67.8330307006836,-14.504497528076172,82.51502990722656,0.6545190811157227,0.007599950768053532,-0.0019021673360839486,0.0,0.0018925368785858154
-50.96317672729492,-35.94954299926758,87.35601806640625,0.9817785620689392,0.007599950768053532,-0.0038043346721678972,-0.005687350407242775,-0.0018925368785858154
-30.640310287475586,-55.867252349853516,86.7950439453125,0.6389352679252625,0.007599950768053532,-0.0019021673360839486,-0.0037915667053312063,-0.0018925368785858154
-8.174909591674805,-71.8886947631836,80.10491943359375,0.24934059381484985,0.003799975384026766,-0.0019021673360839486,-0.007583133410662413,-0.003785073757171631
14.508904457092285,-82.99565124511719,68.07515716552734,-0.561016321182251,0.0,0.0,-0.005687350407242775,0.0
36.163055419921875,-87.71273040771484,51.23556900024414,-0.43634602427482605,0.001899987692013383,0.0019021673360839486,-0.0037915667053312063,0.0
55.96588897705078,-86.94386291503906,30.811981201171875,-0.1870054453611374,0.0,0.005706502124667168,-0.005687350407242775,0.0
71.66046905517578,-79.89942169189453,8.206832885742188,-0.03116757422685623,0.001899987692013383,0.0038043346721678972,-0.0018957833526656032,-0.0018925368785858154
82.67475128173828,-67.44175720214844,-14.782687187194824,0.8103569149971008,-0.003799975384026766,0.005706502124667168,-0.0018957833526656032,-0.0018925368785858154
87.09503173828125,-50.73457336425781,-36.28666687011719,0.23375681042671204,-0.003799975384026766,0.005706502124667168,0.005687350407242775,0.0
86.606201171875,-30.557111740112305,-55.733741760253906,0.6856866478919983,-0.005699963308870792,0.0,0.005687350407242775,-0.003785073757171631
79.67936706542969,-8.166572570800781,-71.679931640625,-0.015583787113428116,-0.003799975384026766,0.005706502124667168,0.009478917345404625,-0.0018925368785858154
67.57301330566406,14.556447982788086,-82.76435089111328,-0.7636055946350098,-0.007599950768053532,0.0,0.009478917345404625,0.0018925368785858154
50.8383674621582,35.99110412597656,-87.74038696289062,-1.1843677759170532,-0.009499938227236271,-0.005706502124667168,0.0132704833522439,-0.0018925368785858154
30.619508743286133,56.01271438598633,-87.3040771484375,-0.7480217814445496,-0.009499938227236271,-0.0038043346721678972,0.01137470081448555,0.0
8.029300689697266,71.90947723388672,-80.28152465820312,-0.14025408029556274,-0.005699963308870792,-0.005706502124667168,0.01137470081448555,-0.0018925368785858154
-14.85212516784668,82.81902313232422,-67.96088409423828,0.4986811876296997,-0.003799975384026766,-0.0038043346721678972,0.0132704833522439,0.0
-36.4334716796875,87.4529800415039,-51.131683349609375,0.26492437720298767,-0.001899987692013383,-0.0076086693443357944,0.0132704833522439,0.0
-56.16350173950195,86.63216400146484,-30.72887420654297,0.14025408029556274,-0.003799975384026766,-0.005706502124667168,0.01137470081448555,-0.0018925368785858154
-71.77487182617188,79.6084976196289,-8.092559814453125,0.15583786368370056,-0.001899987692013383,-0.0076086693443357944,0.009478917345404625,0.0
-82.8411636352539,67.27552032470703,14.668415069580078,-0.9194434285163879,-0.001899987692013383,-0.0076086693443357944,0.009478917345404625,0.0018925368785858154
-87.47985076904297,50.53716278076172,36.30744171142578,-0.5921838879585266,0.003799975384026766,-0.0076086693443357944,0.005687350407242775,0.0018925368785858154
-87.01182556152344,30.307750701904297,56.003841400146484,-0.7324379682540894,0.003799975384026766,-0.005706502124667168,0.0,-0.0018925368785858154
-79.8769760131836,7.9691619873046875,71.679931640625,0.04675136134028435,0.007599950768053532,-0.005706502124667168,-0.0018957833526656032,-0.0018925368785858154
-67.59381103515625,-14.82658863067627,82.63968658447266,0.6856866478919983,0.003799975384026766,-0.0038043346721678972,0.0018957833526656032,-0.0018925368785858154
-50.6927604675293,-36.26124572753906,87.407958984375,0.9661948084831238,0.005699963308870792,-0.005706502124667168,-0.0037915667053312063,-0.0018925368785858154
-30.349090576171875,-56.116615295410156,86.76387786865234,0.6856866478919983,0.009499938227236271,-0.0038043346721678972,-0.005687350407242775,-0.0018925368785858154
-7.873290538787842,-72.0653305053711,79.9698715209961,0.2025892287492752,0.005699963308870792,-0.0019021673360839486,-0.009478917345404625,-0.003785073757171631
14.820923805236816,-83.10993957519531,67.87777709960938,-0.5454325675964355,0.003799975384026766,0.0,-0.0037915667053312063,0.0
36.46467208862305,-87.7231216430664,50.955081939697266,-0.3895946741104126,0.001899987692013383,0.0019021673360839486,-0.007583133410662413,-0.003785073757171631
56.22590255737305,-86.87113952636719,30.500329971313477,-0.17142166197299957,0.003799975384026766,0.0019021673360839486,-0.005687350407242775,0.0
71.86847686767578,-79.76435089111328,7.874403953552246,0.0,-0.001899987692013383,0.005706502124667168,-0.0018957833526656032,-0.0018925368785858154
82.7891616821289,-67.24434661865234,-15.073562622070312,0.8726920485496521,0.0,0.0019021673360839486,-0.007583133410662413,-0.005677610635757446
