220kV II段母线电压_A相_5,220kV II段母线电压_B相_6,220kV II段母线电压_C相_7,220kV II段母线电压_3U0_8,220kV玉秀II回_A相_13,220kV玉秀II回_B相_14,220kV玉秀II回_C相_15,220kV玉秀II回_3I0_16
31.264144897460938,51.779022216796875,-84.07670593261719,-1.604942798614502,-0.3658740222454071,-0.4956343173980713,1.0731961727142334,0.14689213037490845
10.7986421585083,67.48283386230469,-78.96385955810547,-0.9349181652069092,-0.14634960889816284,-0.559883177280426,1.0181604623794556,0.2478804737329483
-11.41125774383545,79.0169448852539,-68.24037170410156,-0.8414263129234314,0.12805591523647308,-0.6241320967674255,0.8897438049316406,0.3396880626678467
-32.80087661743164,84.12016296386719,-51.812904357910156,-0.7011886239051819,0.38416773080825806,-0.6149536967277527,0.7154641151428223,0.3672303259372711
-52.63299560546875,84.00607299804688,-31.527467727661133,-0.17140166461467743,0.5853984355926514,-0.5782400369644165,0.5044938921928406,0.43149563670158386
-68.36370849609375,78.84061431884766,-10.609407424926758,-0.29605740308761597,0.7591885924339294,-0.4772774875164032,0.26600587368011475,0.44067639112472534
-79.46347045898438,68.64454650878906,11.36648178100586,0.9816640615463257,0.8872445225715637,-0.38549333810806274,-0.01834523305296898,0.3855918347835541
-84.91471099853516,52.52583694458008,32.54381561279297,0.38954922556877136,0.9787130355834961,-0.2569955587387085,-0.3026963472366333,0.27542275190353394
-83.95944213867188,31.988483428955078,52.52849578857422,0.9660820960998535,0.9970067143440247,-0.1193193718791008,-0.5595296025276184,0.18361516296863556
-78.99622344970703,11.451129913330078,67.99147033691406,1.0439919233322144,0.9421256184577942,0.04589206725358963,-0.7246366739273071,0.0826268196105957
-67.90684509277344,-10.745806694030762,79.1505355834961,1.1219017505645752,0.8232165575027466,0.2386387437582016,-0.880571186542511,0.027542274445295334
-51.65696716308594,-32.19593048095703,84.54339599609375,1.4647051095962524,0.6402795314788818,0.4130285978317261,-0.9539521336555481,-0.03672303259372711
-31.077245712280273,-52.059078216552734,84.06633758544922,1.698434591293335,0.4481956660747528,0.559883177280426,-0.9906426072120667,-0.10098833590745926
-10.435226440429688,-67.5658187866211,78.61125183105469,1.1686476469039917,0.2103775590658188,0.6424888968467712,-0.9447795152664185,-0.22951894998550415
11.691606521606445,-79.31774139404297,67.90850830078125,0.4986230134963989,-0.054881103336811066,0.6792025566101074,-0.8163628578186035,-0.27542275190353394
32.832027435302734,-84.45207977294922,51.564002990722656,0.031163938343524933,-0.31099292635917664,0.6975594162940979,-0.6420831680297852,-0.32132652401924133
52.86143112182617,-84.28612518310547,31.413387298583984,0.07790984958410263,-0.5030767917633057,0.6700241565704346,-0.4402855932712555,-0.3672303259372711
