1-110kVI母电压Ua_1,2-110kVI母电压Ub_2,3-110kVI母电压Uc_3,4-110kVI母电压3Uo_4,13-110kV166断路器木普线电流Ia_13,14-110kV166断路器木普线电流Ib_14,15-110kV166断路器木普线电流Ic_15,16-110kV166断路器木普线电流3Io_16
-84.87353515625,46.89643478393555,36.796142578125,-0.8080233931541443,-0.6906182765960693,-0.34530913829803467,1.0186619758605957,0.0
-84.31413269042969,34.6828498840332,48.667869567871094,-0.4661673307418823,-0.5524945855140686,-0.5352291464805603,1.0704582929611206,-0.017265455797314644
-81.89006042480469,21.785552978515625,59.358638763427734,-0.3418560326099396,-0.41437095403671265,-0.673352837562561,1.1049891710281372,0.0
-77.81886291503906,8.732868194580078,68.49552154541016,-0.37293386459350586,-0.3107782304286957,-0.7942110300064087,1.1049891710281372,-0.017265455797314644
-71.91407775878906,-4.133350372314453,75.70557403564453,-0.15538911521434784,-0.15538911521434784,-0.880538284778595,1.035927414894104,0.0
-64.1135482788086,-16.87525749206543,81.01988220214844,0.3107782304286957,0.03453091159462929,-0.9841310381889343,0.9323346614837646,0.0
-54.29295349121094,-29.5239315032959,84.06550598144531,0.5283229947090149,0.2417163997888565,-1.035927414894104,0.811476469039917,0.017265455797314644
-42.73200607299805,-41.923980712890625,84.90460968017578,0.3107782304286957,0.41437095403671265,-1.087723731994629,0.673352837562561,0.0
-30.176565170288086,-53.42277526855469,83.6614990234375,0.062155645340681076,0.58702552318573,-1.122254729270935,0.5524945855140686,0.0
-17.310346603393555,-63.49198913574219,80.89556884765625,0.062155645340681076,0.7078837156295776,-1.1395201683044434,0.43163642287254333,0.0
-4.568439960479736,-71.72761535644531,76.38928985595703,0.12431129068136215,0.811476469039917,-1.0704582929611206,0.3107782304286957,0.0
8.111311912536621,-78.03641510009766,69.86294555664062,-0.18646693229675293,0.8632728457450867,-1.0186619758605957,0.13812364637851715,0.0
20.79106330871582,-82.3873062133789,61.440853118896484,-0.4661673307418823,0.949600100517273,-0.8978037238121033,-0.06906182318925858,0.0
33.40865707397461,-84.62490844726562,51.18517303466797,-0.43508949875831604,1.0186619758605957,-0.7769455313682556,-0.258981853723526,0.0
45.62224197387695,-84.7181396484375,39.40667724609375,-0.062155645340681076,1.0704582929611206,-0.6215564608573914,-0.44890186190605164,-0.017265455797314644
56.77918243408203,-82.9156265258789,26.69584846496582,0.18646693229675293,1.1049891710281372,-0.517963707447052,-0.58702552318573,0.0
66.28899383544922,-79.46598815917969,13.798553466796875,0.12431129068136215,1.087723731994629,-0.39710551500320435,-0.673352837562561,0.0
73.93413543701172,-74.1827621459961,1.0566459894180298,0.21754474937915802,1.0531928539276123,-0.258981853723526,-0.7942110300064087,-0.017265455797314644
79.62138366699219,-66.97270965576172,-11.59202766418457,0.5904785990715027,0.966865599155426,-0.06906182318925858,-0.880538284778595,-0.017265455797314644
