220kV II母电压_Ua_5,220kV II母电压_Ub_6,220kV II母电压_Uc_7,220kV II母电压_3U0_8,220kV仁麦牵线265电流_Ia_29,220kV仁麦牵线265电流_Ib_30,220kV仁麦牵线265电流_Ic_31,220kV仁麦牵线265电流_3I0_32
29.629404067993164,-82.55638885498047,52.92597579956055,0.007792979944497347,0.001744591980241239,-0.017456749454140663,-0.02621408924460411,-0.015598788857460022
34.64168930053711,-83.43730163574219,48.84754943847656,0.08572281897068024,0.001744591980241239,-0.017456749454140663,-0.019223669543862343,-0.015598788857460022
39.22524642944336,-84.138916015625,44.823707580566406,-0.046757906675338745,-0.005233835894614458,-0.017456749454140663,-0.03320451080799103,-0.015598788857460022
43.50478744506836,-84.38058471679688,40.70629119873047,-0.10130879282951355,0.001744591980241239,-0.010474050417542458,-0.019223669543862343,-0.0017332129646092653
47.714176177978516,-84.13111877441406,36.230159759521484,-0.18703162670135498,0.001744591980241239,-0.010474050417542458,-0.019223669543862343,-0.008666001260280609
52.087257385253906,-83.57762145996094,31.4187068939209,-0.06234387680888176,0.001744591980241239,-0.00349134998396039,-0.019223669543862343,-0.0017332129646092653
62.13521957397461,-49.471466064453125,32.0113639831543,75.91925048828125,-0.026169119402766228,-1.246411919593811,-0.03320451080799103,-1.2773661613464355
58.51826477050781,-11.522034645080566,17.951318740844727,114.23735046386719,-0.05408283323049545,-1.6234776973724365,-0.07514702528715134,-1.7210646867752075
48.65739059448242,-44.02227783203125,-1.1853172779083252,6.6240363121032715,0.05059358850121498,-1.4558929204940796,0.015728430822491646,-1.3466941118240356
39.9501953125,-95.06068420410156,-10.16097640991211,-114.43217468261719,-0.03314754739403725,-0.2897820472717285,-0.012233248911798,-0.29984310269355774
70.00833129882812,-112.3827133178711,12.78115177154541,-52.08051300048828,0.07850729674100876,-1.5676161050796509,0.04369011148810387,-1.409089207649231
100.51079559326172,-35.1663703918457,32.79897689819336,171.289794921875,-0.06106125935912132,-2.140197515487671,-0.08912786841392517,-2.261821985244751
84.63984680175781,-14.125795364379883,-1.6688019037246704,120.39380645751953,-0.005233835894614458,-2.9432079792022705,-0.05417576804757118,-2.941235303878784
52.188594818115234,-28.274978637695312,-37.17373275756836,-23.223093032836914,-0.13782396912574768,-2.573124885559082,-0.11708954721689224,-2.7609827518463135
52.609535217285156,-23.184391021728516,-42.00078201293945,-22.44379425048828,0.09944258630275726,-3.2923431396484375,0.04369011148810387,-3.1076221466064453
59.523841857910156,-27.518796920776367,-41.61087417602539,-16.848430633544922,-0.005233835894614458,-3.501824140548706,0.0576709508895874,-3.3849337100982666
77.84246826171875,-15.583590507507324,-19.409570693969727,74.69575500488281,0.05059358850121498,-4.388627052307129,0.008738011121749878,-4.286196231842041
103.52751922607422,-18.195146560668945,-2.191277265548706,146.0093536376953,-0.06803968548774719,-4.667934894561768,-0.11708954721689224,-4.792289733886719
81.98949432373047,-27.206968307495117,-38.460426330566406,28.662595748901367,0.008723019622266293,-5.401118278503418,-0.05417576804757118,-5.374643802642822
64.83234405517578,-8.224455833435059,-67.93739318847656,-20.308515548706055,-0.005233835894614458,-5.310343265533447,-0.012233248911798,-5.2706522941589355
77.10972595214844,-13.82176399230957,-54.9612922668457,14.674188613891602,0.001744591980241239,-5.422066688537598,-0.012233248911798,-5.367711067199707
81.51398468017578,-1.7150524854660034,-53.00395584106445,47.03065872192383,-0.012212264351546764,-5.505858898162842,0.008738011121749878,-5.450904369354248
74.29566955566406,-23.901594161987305,-61.17640686035156,-19.11618995666504,-0.012212264351546764,-6.1761980056762695,0.008738011121749878,-6.116452217102051
79.92377471923828,-17.27525520324707,-46.188385009765625,28.94314193725586,0.001744591980241239,-6.413609981536865,-0.05417576804757118,-6.393763542175293
88.19444274902344,3.6327929496765137,-55.56174850463867,63.38813018798828,-0.012212264351546764,-6.273955821990967,-0.047185350209474564,-6.241242408752441
70.84241485595703,-11.958593368530273,-76.13323974609375,-30.579669952392578,-0.005233835894614458,-5.994647979736328,-0.012233248911798,-5.9500651359558105
77.99836730957031,-9.198917388916016,-61.62090301513672,12.476567268371582,-0.05408283323049545,-6.10637092590332,-0.012233248911798,-6.116452217102051
78.55182647705078,-9.565315246582031,-71.55573272705078,-4.527723789215088,0.001744591980241239,-6.3228349685668945,-0.019223669543862343,-6.268973350524902
54.051639556884766,-8.809133529663086,-90.021728515625,-78.28052520751953,-0.03314754739403725,-6.120336532592773,0.008738011121749878,-6.074855327606201
73.03285217285156,1.1537625789642334,-69.39564514160156,8.369665145874023,0.05059358850121498,-5.757236003875732,-0.012233248911798,-5.645022869110107
75.80013275146484,-7.655370712280273,-61.847049713134766,11.673890113830566,-0.040125977247953415,-5.477928161621094,-0.012233248911798,-5.4578375816345215
66.0250015258789,-7.7956929206848145,-74.69837951660156,-28.974313735961914,0.001744591980241239,-5.401118278503418,-0.03320451080799103,-5.353845596313477
65.44816589355469,-4.8645124435424805,-74.59700775146484,-24.8128604888916,-0.06106125935912132,-5.079914093017578,-0.0052428292110562325,-5.069601058959961
53.887939453125,0.7639778852462769,-78.64424133300781,-42.050941467285156,-0.005233835894614458,-4.6400041580200195,-0.03320451080799103,-4.618969917297363
47.098358154296875,-0.841934859752655,-91.7451171875,-79.52740478515625,-0.012212264351546764,-4.0604400634765625,-0.012233248911798,-4.022750377655029
46.72418975830078,-5.262092590332031,-83.98596954345703,-74.09569549560547,0.015701448544859886,-3.606564521789551,0.008738011121749878,-3.5097239017486572
