1-500kV大宝Ⅰ回线路电压Ua_1,2-500kV大宝Ⅰ回线路电压Ub_2,3-500kV大宝Ⅰ回线路电压Uc_3,4-500kV大宝Ⅰ回线路电压3Uo_4,9-500kV大宝Ⅰ回线路电流Ia_9,10-500kV大宝Ⅰ回线路电流Ib_10,11-500kV大宝Ⅰ回线路电流Ic_11,12-500kV大宝Ⅰ回线路电流3Io_12
78.66995239257812,-29.642671585083008,-48.260196685791016,1.3673042058944702,0.29022878408432007,-0.027592383325099945,-0.2554643750190735,0.0
78.32817840576172,-24.671154022216797,-52.856407165527344,1.4294544458389282,0.28331857919692993,-0.006898095831274986,-0.2692732512950897,0.0
77.58248901367188,-19.761781692504883,-57.20417022705078,1.1497786045074463,0.2764083743095398,0.013796191662549973,-0.28308212757110596,0.0
76.33967590332031,-14.665975570678711,-61.272438049316406,0.7768774032592773,0.2625879645347595,0.027592383325099945,-0.28998658061027527,0.0
74.84830474853516,-9.476954460144043,-65.06120300292969,0.6215019226074219,0.2556777596473694,0.048286668956279755,-0.2968910336494446,0.0
73.23265075683594,-4.443293571472168,-68.41519165039062,0.7458023428916931,0.24185733497142792,0.06898095458745956,-0.3037954568862915,0.0
71.4616470336914,0.2796478569507599,-71.21018981933594,0.9633280038833618,0.2211267054080963,0.08277714997529984,-0.3037954568862915,0.0
69.37993621826172,4.940445423126221,-73.72567749023438,1.0565532445907593,0.20730628073215485,0.10347143560647964,-0.3106999099254608,0.0
67.01859283447266,9.663386344909668,-76.24117279052734,0.8390276432037354,0.19348585605621338,0.12416572123765945,-0.3106999099254608,0.0
64.25334167480469,14.479543685913086,-78.5703353881836,0.34182605147361755,0.1796654462814331,0.13796190917491913,-0.3106999099254608,0.0
60.9288215637207,19.17141342163086,-80.24732971191406,-0.12430039048194885,0.1589348167181015,0.1517581045627594,-0.3106999099254608,-0.006901963148266077
57.04503631591797,23.77006721496582,-81.08582305908203,-0.31075096130371094,0.1382041871547699,0.1724523901939392,-0.3106999099254608,-0.006901963148266077
52.7573356628418,28.27550506591797,-81.24110412597656,-0.2175256758928299,0.1174735575914383,0.18624858558177948,-0.3106999099254608,-0.006901963148266077
48.2832145690918,32.62558364868164,-81.02371215820312,-0.062150195240974426,0.10365314036607742,0.2069428712129593,-0.3106999099254608,-0.006901963148266077
43.684814453125,36.78922653198242,-80.6199951171875,-0.12430039048194885,0.08292251080274582,0.22073906660079956,-0.3037954568862915,-0.006901963148266077
38.868919372558594,40.983943939208984,-80.27838134765625,-0.6215019226074219,0.062191884964704514,0.23453524708747864,-0.2968910336494446,-0.006901963148266077
33.74232482910156,45.52045440673828,-79.93677520751953,-1.0565532445907593,0.04146125540137291,0.2483314424753189,-0.28998658061027527,-0.006901963148266077
28.05646324157715,50.460899353027344,-79.40882873535156,-1.3983793258666992,0.02764083817601204,0.2621276378631592,-0.28308212757110596,-0.006901963148266077
22.122039794921875,55.24598693847656,-78.25978088378906,-1.4294544458389282,0.00691020954400301,0.2690257430076599,-0.27617770433425903,-0.006901963148266077
16.37403678894043,59.502845764160156,-76.61383819580078,-1.1808537244796753,-0.01382041908800602,0.27592381834983826,-0.2692732512950897,-0.006901963148266077
11.371722221374512,62.95183563232422,-74.84367370605469,-0.8390276432037354,-0.02764083817601204,0.2897200286388397,-0.2623687982559204,-0.006901963148266077
7.021883487701416,65.87260437011719,-73.41512298583984,-0.8390276432037354,-0.048371464014053345,0.29661810398101807,-0.24165548384189606,0.0
2.9827468395233154,68.54479217529297,-72.17290496826172,-1.0565532445907593,-0.062191884964704514,0.29661810398101807,-0.23475103080272675,0.0
-1.398162603378296,71.15483856201172,-70.52696990966797,-1.2430038452148438,-0.08292251080274582,0.3035162091255188,-0.2209421545267105,0.0
-6.400477886199951,73.9513168334961,-68.2288589477539,-1.2119287252426147,-0.10365314036607742,0.3035162091255188,-0.20022882521152496,0.0
-11.620285034179688,76.6235122680664,-65.40281677246094,-0.6215019226074219,-0.12438376992940903,0.31041431427001953,-0.18641994893550873,0.0
-16.342967987060547,78.70532989501953,-62.29726791381836,0.15537548065185547,-0.1382041871547699,0.31041431427001953,-0.16570661962032318,0.0
-20.382102966308594,79.9171371459961,-59.160667419433594,0.6215019226074219,-0.1589348167181015,0.3035162091255188,-0.15189772844314575,0.0
-24.20374870300293,80.29000091552734,-55.80667495727539,0.4661264419555664,-0.1796654462814331,0.3035162091255188,-0.1311843991279602,-0.006901963148266077
-28.460376739501953,80.32107543945312,-51.89368438720703,-0.12430039048194885,-0.19348585605621338,0.3035162091255188,-0.11047107726335526,-0.006901963148266077
-33.21413040161133,80.22785949707031,-47.39064407348633,-0.6836521029472351,-0.20730628073215485,0.29661810398101807,-0.08975774794816971,-0.006901963148266077
-38.15430450439453,80.19678497314453,-42.48387908935547,-0.7458023428916931,-0.22803691029548645,0.29661810398101807,-0.06904442608356476,-0.006901963148266077
-43.06340789794922,80.22785949707031,-37.328670501708984,-0.37290117144584656,-0.2349471151828766,0.2897200286388397,-0.05523553863167763,-0.006901963148266077
-47.84823226928711,80.07250213623047,-32.14241027832031,0.09322529286146164,-0.24876753985881805,0.282821923494339,-0.03452221304178238,-0.006901963148266077
-52.47770309448242,79.45105743408203,-26.925090789794922,0.09322529286146164,-0.2625879645347595,0.27592381834983826,-0.013808884657919407,-0.006901963148266077
-56.88968276977539,78.20818328857422,-21.552494049072266,-0.4661264419555664,-0.2764083743095398,0.2690257430076599,0.0069044423289597034,-0.006901963148266077
