220kVⅡ段母线电压_A相_5,220kVⅡ段母线电压_B相_6,220kVⅡ段母线电压_C相_7,220kVⅡ段母线电压_3U0_8,厂新Ⅰ回272断路器_A相_21,厂新Ⅰ回272断路器_B相_22,厂新Ⅰ回272断路器_C相_23,厂新Ⅰ回272断路器_3I0_24
57.31328201293945,25.15924644470215,-82.56698608398438,0.062384653836488724,-0.1301097422838211,0.0743328258395195,0.11123219132423401,0.046481095254421234
38.801963806152344,45.27622604370117,-84.42908477783203,-0.3119232654571533,-0.10222908854484558,0.0743328258395195,0.12050154060125351,0.046481095254421234
18.646587371826172,62.486610412597656,-81.13140106201172,0.14036546647548676,-0.09293553233146667,0.027874808758497238,0.1390402466058731,0.046481095254421234
-3.2256929874420166,75.50899505615234,-71.95613098144531,0.42109641432762146,-0.04646776616573334,0.009291603229939938,0.166848286986351,0.02788865752518177
-25.10837745666504,82.78069305419922,-57.506649017333984,0.35871174931526184,-0.018587106838822365,-0.03716641291975975,0.148309588432312,0.05577731505036354
-45.48227310180664,84.54132080078125,-39.0208854675293,0.12476930767297745,0.009293553419411182,-0.08362443000078201,0.148309588432312,0.02788865752518177
-62.796958923339844,81.66597747802734,-18.870670318603516,0.12476930767297745,0.027880659326910973,-0.0743328258395195,0.129770889878273,0.02788865752518177
-75.47080993652344,72.10234069824219,3.0584216117858887,-0.3275194466114044,0.06505487114191055,-0.09291603416204453,0.10196284204721451,0.03718487545847893
-82.47368621826172,57.63186264038086,24.46737289428711,-0.4834810793399811,0.1301097422838211,-0.09291603416204453,0.037077397108078,0.02788865752518177
-84.37788391113281,38.962974548339844,44.77362823486328,-0.8265966773033142,0.15799041092395782,-0.09291603416204453,0.037077397108078,0.046481095254421234
-81.38111114501953,19.023099899291992,62.19831085205078,-0.07798081636428833,0.15799041092395782,-0.0743328258395195,-0.0092693492770195,0.03718487545847893
-72.06822204589844,-3.4379093647003174,75.14978790283203,-0.5926542282104492,0.15799041092395782,-0.08362443000078201,-0.027808047831058502,0.046481095254421234
-57.39652633666992,-24.961305618286133,82.33811950683594,0.015596163459122181,0.16728396713733673,-0.03716641291975975,-0.046346746385097504,0.02788865752518177
-38.93723678588867,-45.297061920166016,84.49150085449219,0.43669256567955017,0.15799041092395782,0.0,-0.055616095662117004,0.046481095254421234
-18.80266761779785,-62.46577453613281,81.16260528564453,-0.09357698261737823,0.1301097422838211,0.009291603229939938,-0.0648854449391365,0.03718487545847893
3.267314910888672,-75.55066680908203,71.90412139892578,-0.3275194466114044,0.1301097422838211,0.04645801708102226,-0.0834241434931755,0.05577731505036354
25.014728546142578,-82.83277893066406,57.600276947021484,-0.20275013148784637,0.06505487114191055,0.11149923503398895,-0.0834241434931755,0.03718487545847893
45.24294662475586,-84.63507843017578,39.228939056396484,-0.09357698261737823,0.03717421367764473,0.1393740475177765,-0.0834241434931755,0.018592437729239464
62.56803894042969,-81.8326644897461,19.057920455932617,-0.18715396523475647,0.009293553419411182,0.13008244335651398,-0.055616095662117004,0.046481095254421234
75.36675262451172,-72.15442657470703,-2.9335882663726807,0.5770580768585205,-0.04646776616573334,0.148665651679039,-0.046346746385097504,0.018592437729239464
82.38003540039062,-57.49643325805664,-24.540193557739258,0.5926542282104492,-0.07434842735528946,0.148665651679039,-0.0092693492770195,0.02788865752518177
84.25302124023438,-39.077571868896484,-44.711212158203125,0.8110005259513855,-0.11152263730764389,0.17654046416282654,0.018538698554039,0.02788865752518177
81.32908630371094,-19.07518768310547,-62.115089416503906,0.3119232654571533,-0.1208161935210228,0.1393740475177765,0.0648854449391365,0.046481095254421234
71.91213989257812,3.323312520980835,-75.004150390625,0.7798081636428833,-0.10222908854484558,0.11149923503398895,0.0834241434931755,0.02788865752518177
57.30287551879883,24.930051803588867,-82.32772064208984,0.0,-0.1208161935210228,0.09291603416204453,0.129770889878273,0.046481095254421234
39.010074615478516,45.10953903198242,-84.44989013671875,-0.42109641432762146,-0.10222908854484558,0.06504122167825699,0.1575789451599121,0.02788865752518177
18.66739845275879,62.642879486083984,-81.27703857421875,0.15596163272857666,-0.07434842735528946,0.018583206459879875,0.1390402466058731,0.02788865752518177
-3.3505585193634033,75.61317443847656,-72.00814819335938,0.43669256567955017,-0.055761318653821945,0.009291603229939938,0.148309588432312,0.02788865752518177
-24.952295303344727,82.65567779541016,-57.54825973510742,0.2963271141052246,-0.027880659326910973,-0.03716641291975975,0.1575789451599121,0.02788865752518177
-45.24294662475586,84.46839141845703,-39.197731018066406,0.12476930767297745,0.018587106838822365,-0.06504122167825699,0.129770889878273,0.046481095254421234
-62.70330810546875,81.6763916015625,-18.94348907470703,0.18715396523475647,0.055761318653821945,-0.0743328258395195,0.11123219132423401,0.018592437729239464
-75.52283477783203,72.12317657470703,2.996004819869995,-0.5458657145500183,0.07434842735528946,-0.08362443000078201,0.10196284204721451,0.03718487545847893
-82.47368621826172,57.517269134521484,24.5297908782959,-0.5458657145500183,0.1301097422838211,-0.09291603416204453,0.0648854449391365,0.03718487545847893
-84.33626556396484,39.10882568359375,44.721614837646484,-0.6394426822662354,0.15799041092395782,-0.11149923503398895,0.037077397108078,0.046481095254421234
-81.61003112792969,19.262710571289062,62.115089416503906,-0.10917314141988754,0.17657750844955444,-0.06504122167825699,0.0,0.05577731505036354
-72.16187286376953,-3.2712230682373047,75.06656646728516,-0.6238465309143066,0.15799041092395782,-0.06504122167825699,-0.018538698554039,0.046481095254421234
