220kV I母电压_A相_1,220kV I母电压_B相_2,220kV I母电压_C相_3,220kV I母电压_3U0_4,220kV凤华Ⅱ回线_A相_9,220kV凤华Ⅱ回线_B相_10,220kV凤华Ⅱ回线_C相_11,220kV凤华Ⅱ回线_3I0_12
-82.64566040039062,17.79989242553711,64.88648986816406,0.18670654296875,0.06072763726115227,-0.0038018340710550547,-0.03793363645672798,0.0075974357314407825
-73.99012756347656,-3.3147494792938232,77.36905670166016,0.1400299072265625,0.05123894661664963,0.013306419365108013,-0.0455203615128994,0.0018993589328601956
-59.06248092651367,-25.01129150390625,84.30150604248047,0.4200897216796875,0.04364798963069916,0.026612838730216026,-0.0455203615128994,0.0075974357314407825
-39.65026092529297,-46.13632583618164,85.99564361572266,0.56011962890625,0.03415929526090622,0.03801833838224411,-0.0474170446395874,0.0037987178657203913
-17.23788070678711,-64.95454406738281,82.07730102539062,0.0622355155646801,0.01707964763045311,0.05512659251689911,-0.0474170446395874,0.0075974357314407825
4.223228454589844,-77.92259216308594,73.4922866821289,0.0622355155646801,-0.0018977386644110084,0.06273026019334793,-0.039830319583415985,0.0037987178657203913
24.409006118774414,-84.4793472290039,59.46109390258789,-0.7623850703239441,-0.005693215876817703,0.060829345136880875,-0.03224359080195427,0.0075974357314407825
46.13145446777344,-86.39130401611328,39.92135238647461,-0.4356486201286316,-0.026568342000246048,0.060829345136880875,-0.020863499492406845,0.005698076914995909
65.50186157226562,-82.97264862060547,17.492225646972656,0.2022654265165329,-0.04364798963069916,0.05892842635512352,-0.009483409114181995,0.005698076914995909
77.70113372802734,-74.12985229492188,-3.64811110496521,-0.0622355155646801,-0.04744346812367439,0.057027511298656464,0.01138009037822485,0.009496794082224369
84.7677230834961,-60.00839614868164,-24.42467498779297,0.6067962646484375,-0.04364798963069916,0.04562200978398323,0.02845022641122341,0.0037987178657203913
86.07441711425781,-39.828948974609375,-45.82484817504883,0.7001495361328125,-0.053136684000492096,0.026612838730216026,0.03603695333003998,0.005698076914995909
82.52021789550781,-17.70637321472168,-64.92806243896484,-0.03111775778234005,-0.04364798963069916,0.019009169191122055,0.0474170446395874,0.009496794082224369
73.96922302246094,3.4186601638793945,-77.45220184326172,0.015558878891170025,-0.03985251113772392,0.0019009170355275273,0.06069381907582283,0.011396153829991817
59.03112030029297,25.115201950073242,-84.45741271972656,-0.3111775815486908,-0.030363818630576134,-0.011405502445995808,0.06259050220251083,0.009496794082224369
39.43074035644531,46.27140808105469,-86.14115142822266,-0.3734130859375,-0.013284171000123024,-0.02471192181110382,0.06259050220251083,0.0
17.143798828125,64.97532653808594,-82.2020263671875,0.1555887907743454,-0.0018977386644110084,-0.03231558948755264,0.06069381907582283,0.0075974357314407825
-4.474113464355469,77.80828857421875,-73.47150421142578,0.0777943953871727,0.013284171000123024,-0.03801833838224411,0.05121040716767311,0.005698076914995909
-24.670345306396484,84.36505126953125,-59.38833999633789,0.8557383418083191,0.020875126123428345,-0.04562200978398323,0.039830319583415985,0.0075974357314407825
-46.026920318603516,86.13153076171875,-39.80702590942383,0.7001495361328125,0.03226155787706375,-0.04942384362220764,0.026553545147180557,0.0075974357314407825
-65.55412292480469,82.88951873779297,-17.419469833374023,0.0622355155646801,0.045545727014541626,-0.03801833838224411,0.017070136964321136,0.0075974357314407825
-77.91020202636719,73.94281005859375,3.970309019088745,0.1089121550321579,0.06072763726115227,-0.036117423325777054,-0.003793363692238927,0.005698076914995909
-84.69454956054688,59.88370132446289,24.507823944091797,-0.4200897216796875,0.06072763726115227,-0.028513755649328232,-0.01138009037822485,0.0075974357314407825
-85.99079132080078,39.787384033203125,45.84563446044922,-0.4200897216796875,0.06072763726115227,-0.013306419365108013,-0.0227601807564497,0.0018993589328601956
-82.75019073486328,17.654417037963867,65.03199768066406,0.1244710311293602,0.06072763726115227,-0.0019009170355275273,-0.039830319583415985,0.0018993589328601956
-73.8855972290039,-3.4913976192474365,77.44181060791016,0.18670654296875,0.05123894661664963,0.013306419365108013,-0.04172699898481369,0.0075974357314407825
-59.02066421508789,-25.115201950073242,84.34307861328125,0.466766357421875,0.04364798963069916,0.028513755649328232,-0.0455203615128994,0.0037987178657203913
-39.47255325317383,-46.3233642578125,86.00603485107422,0.4823252558708191,0.030363818630576134,0.036117423325777054,-0.0455203615128994,0.0037987178657203913
-17.018356323242188,-65.0896224975586,82.02533721923828,0.0622355155646801,0.009488693438470364,0.04562200978398323,-0.0455203615128994,0.0075974357314407825
4.380031585693359,-77.99532318115234,73.46110534667969,0.093353271484375,0.0,0.057027511298656464,-0.03793363645672798,0.005698076914995909
24.68079948425293,-84.5624771118164,59.30519104003906,-0.746826171875,-0.013284171000123024,0.06463117897510529,-0.03224359080195427,0.0075974357314407825
46.22553634643555,-86.42247772216797,39.796630859375,-0.4200897216796875,-0.03226155787706375,0.05892842635512352,-0.0227601807564497,0.005698076914995909
65.53321838378906,-82.9934310913086,17.481830596923828,0.1400299072265625,-0.036057036370038986,0.05512659251689911,-0.003793363692238927,0.0
77.79521942138672,-74.02593994140625,-3.8144068717956543,-0.015558878891170025,-0.04364798963069916,0.057027511298656464,0.013276772573590279,0.0037987178657203913
84.81999206542969,-59.89409255981445,-24.590970993041992,0.6379140615463257,-0.04744346812367439,0.04562200978398323,0.026553545147180557,0.0075974357314407825
86.0116958618164,-39.704254150390625,-45.97035598754883,0.653472900390625,-0.05123894661664963,0.03231558948755264,0.03793363645672798,0.0075974357314407825
