17-220kVⅡ母电压Ua_17,18-220kVⅡ母电压Ub_18,19-220kVⅡ母电压Uc_19,20-220kVⅡ母电压3Uo_20,29-220kV临南线电流Ia_29,30-220kV临南线电流Ib_30,31-220kV临南线电流Ic_31,32-220kV临南线电流3Io_32
8.204545021057129,-78.16072082519531,69.17922973632812,-0.2797003984451294,0.7078837156295776,-1.2431129217147827,0.5006982684135437,0.0
20.697830200195312,-83.38179779052734,61.56516647338867,-0.7147899270057678,0.8460074067115784,-1.2085819244384766,0.34530913829803467,0.0
32.50740051269531,-85.93017578125,52.27289581298828,-0.6215564608573914,0.966865599155426,-1.1395201683044434,0.12085819989442825,-0.017265455797314644
43.850807189941406,-85.80587005615234,40.99164581298828,-0.3418560326099396,1.087723731994629,-1.0186619758605957,-0.06906182318925858,-0.017265455797314644
54.63481140136719,-83.5682601928711,28.001117706298828,-0.2486225813627243,1.17405104637146,-0.9150692224502563,-0.258981853723526,-0.017265455797314644
64.6418685913086,-79.59030151367188,14.109331130981445,-0.15538911521434784,1.2085819244384766,-0.7769455313682556,-0.4661673307418823,-0.017265455797314644
73.37474060058594,-73.99629211425781,0.062155645340681076,0.18646693229675293,1.2431129217147827,-0.6215564608573914,-0.6215564608573914,-0.017265455797314644
80.11862182617188,-66.91055297851562,-13.301307678222656,0.7769455313682556,1.2085819244384766,-0.44890186190605164,-0.7769455313682556,-0.017265455797314644
84.22090148925781,-58.333072662353516,-25.794591903686523,0.8391011953353882,1.1567856073379517,-0.2762472927570343,-0.8978037238121033,-0.017265455797314644
85.55724334716797,-48.077392578125,-37.479854583740234,0.40401169657707214,1.0704582929611206,-0.06906182318925858,-1.0186619758605957,0.0
84.46952056884766,-36.174583435058594,-48.326011657714844,0.062155645340681076,0.966865599155426,0.12085819989442825,-1.1049891710281372,0.0
81.73467254638672,-23.090822219848633,-58.581695556640625,0.12431129068136215,0.8460074067115784,0.328043669462204,-1.17405104637146,0.0
77.63240051269531,-9.540891647338867,-68.06043243408203,0.15538911521434784,0.7251491546630859,0.517963707447052,-1.2258474826812744,0.0
71.97623443603516,4.040116786956787,-76.20281982421875,-0.37293386459350586,0.5524945855140686,0.673352837562561,-1.2258474826812744,0.0
64.70402526855469,17.092802047729492,-82.26299285888672,-0.9944903254508972,0.36257457733154297,0.8460074067115784,-1.2085819244384766,0.0
55.660377502441406,29.617164611816406,-85.65047454833984,-0.9323346614837646,0.17265456914901733,0.9841310381889343,-1.1567856073379517,0.0
44.720985412597656,41.644283294677734,-86.36526489257812,-0.4972451627254486,-0.03453091159462929,1.087723731994629,-1.0704582929611206,-0.017265455797314644
32.103389739990234,52.67690658569336,-84.59383392333984,-0.3418560326099396,-0.20718547701835632,1.1395201683044434,-0.9323346614837646,-0.017265455797314644
18.64669418334961,62.46642303466797,-80.83341217041016,-0.5283229947090149,-0.41437095403671265,1.2085819244384766,-0.7942110300064087,0.0
5.0035295486450195,70.88851165771484,-75.45695495605469,-0.4661673307418823,-0.5697600841522217,1.2258474826812744,-0.656087338924408,0.0
-8.142389297485352,77.94317626953125,-68.93061065673828,0.15538911521434784,-0.7251491546630859,1.2431129217147827,-0.5006982684135437,0.017265455797314644
-20.604595184326172,83.0399398803711,-61.22330856323242,0.7769455313682556,-0.880538284778595,1.2085819244384766,-0.36257457733154297,0.017265455797314644
-32.6317138671875,85.80587005615234,-51.89996337890625,0.7458677291870117,-1.0013965368270874,1.1395201683044434,-0.15538911521434784,0.0
-44.254817962646484,85.9923324584961,-40.6497917175293,0.3107782304286957,-1.122254729270935,1.0531928539276123,0.08632728457450867,-0.017265455797314644
-55.132057189941406,83.78580474853516,-27.690340042114258,0.12431129068136215,-1.17405104637146,0.9150692224502563,0.258981853723526,0.0
-64.98372650146484,79.5592269897461,-13.67424201965332,0.21754474937915802,-1.2258474826812744,0.7596800923347473,0.44890186190605164,0.0
-73.40581512451172,73.71659088134766,0.37293386459350586,-0.062155645340681076,-1.2431129217147827,0.58702552318573,0.6215564608573914,-0.017265455797314644
-79.99431610107422,66.4754638671875,13.643163681030273,-0.8391011953353882,-1.2258474826812744,0.44890186190605164,0.7596800923347473,-0.017265455797314644
-84.09658813476562,57.96013641357422,25.918903350830078,-1.1809571981430054,-1.1913164854049683,0.2762472927570343,0.8978037238121033,0.0
-85.4640121459961,47.7666130065918,37.604164123535156,-0.6837120652198792,-1.1049891710281372,0.08632728457450867,1.0186619758605957,0.0
-84.43844604492188,35.95703887939453,48.57463455200195,-0.031077822670340538,-0.9841310381889343,-0.13812364637851715,1.122254729270935,0.0
-81.67251586914062,22.87327766418457,58.954627990722656,0.062155645340681076,-0.8460074067115784,-0.34530913829803467,1.1913164854049683,0.0
-77.50808715820312,9.136879920959473,68.37120819091797,-0.12431129068136215,-0.7078837156295776,-0.517963707447052,1.2258474826812744,0.0
-71.7897720336914,-4.506284236907959,76.4514389038086,0.21754474937915802,-0.5524945855140686,-0.673352837562561,1.2085819244384766,-0.017265455797314644
-64.36216735839844,-17.621124267578125,82.41838073730469,0.8391011953353882,-0.39710551500320435,-0.811476469039917,1.2085819244384766,0.0
-55.16313552856445,-30.083332061767578,85.77478790283203,1.0566459894180298,-0.20718547701835632,-0.949600100517273,1.1395201683044434,-0.017265455797314644
-44.28589630126953,-41.89290237426758,86.45850372314453,0.8080233931541443,0.0,-1.0531928539276123,1.035927414894104,-0.017265455797314644
-31.948001861572266,-52.61475372314453,84.56275177001953,0.5594007968902588,0.22445093095302582,-1.1395201683044434,0.9150692224502563,-0.017265455797314644
