220kV线路电压量_A相_5,220kV线路电压量_B相_6,220kV线路电压量_C相_7,220kV线路电压量_3U0_8,220kV永天线电流_A相_29,220kV永天线电流_B相_30,220kV永天线电流_C相_31,220kV永天线电流_3I0_32
-81.86061096191406,27.18444061279297,54.37867736816406,-0.38975781202316284,-0.38467830419540405,0.10246589034795761,0.3082209527492523,0.007582062855362892
-75.68932342529297,5.901063442230225,69.69281005859375,-0.046770937740802765,-0.3467789590358734,-0.005692549515515566,0.37100669741630554,0.007582062855362892
-64.03360748291016,-15.455166816711426,79.44855499267578,-0.15590311586856842,-0.27287524938583374,-0.11005596071481705,0.4166690409183502,0.009477578103542328
-47.84048080444336,-35.905941009521484,83.73942565917969,0.0,-0.18570676445960999,-0.2106243371963501,0.4318898320198059,0.001895515713840723
-26.860187530517578,-54.764366149902344,81.80697631835938,0.40534812211990356,-0.0776936486363411,-0.29791009426116943,0.42427945137023926,0.003791031427681446
-5.515652656555176,-70.281982421875,75.70833587646484,0.046770937740802765,0.024634571745991707,-0.35863062739372253,0.38051968812942505,-0.001895515713840723
15.433420181274414,-80.4397201538086,64.18637084960938,-1.044550895690918,0.12885776162147522,-0.3946834206581116,0.3044157326221466,0.0
35.52912902832031,-84.62354278564453,48.21770095825195,-1.1848636865615845,0.22550107538700104,-0.4022735059261322,0.21499362587928772,-0.001895515713840723
54.93798065185547,-82.32347869873047,27.262065887451172,0.0,0.3126695454120636,-0.392785906791687,0.11415590345859528,-0.003791031427681446
70.61076354980469,-76.22467041015625,5.973966598510742,0.6392027735710144,0.3752034604549408,-0.3510405421257019,0.013318188488483429,-0.003791031427681446
80.1642837524414,-64.5162124633789,-15.314132690429688,0.4988899827003479,0.4055229425430298,-0.280832439661026,-0.10083771497011185,-0.001895515713840723
84.04605865478516,-48.384559631347656,-35.033416748046875,1.044550895690918,0.4225776493549347,-0.1878541260957718,-0.2016754299402237,0.003791031427681446
81.91264343261719,-27.142810821533203,-54.129329681396484,1.0757315158843994,0.407417893409729,-0.0891832783818245,-0.29300016164779663,0.003791031427681446
75.68932342529297,-5.7553582191467285,-69.74475860595703,0.436528742313385,0.36572861671447754,0.0151801323518157,-0.353883296251297,0.005686547141522169
63.95035171508789,15.340683937072754,-79.51089477539062,-0.10913218557834625,0.2937198877334595,0.12523609399795532,-0.39954566955566406,0.007582062855362892
42.66825485229492,-7.79523229598999,-89.64066314697266,-93.76013946533203,0.22929100692272186,0.26565229892730713,-0.38622748851776123,-0.08529820293188095
25.517698287963867,55.95082473754883,-84.07189178466797,-4.1470232009887695,0.15349233150482178,0.42883872985839844,-0.35198071599006653,-0.20282018184661865
3.2261364459991455,60.946434020996094,-75.49015808105469,-20.236225128173828,0.12317285686731339,0.6091027855873108,-0.23782479763031006,-0.4587148129940033
-16.453296661376953,53.67157745361328,-66.39933776855469,-51.08945083618164,0.12885776162147522,0.8538824319839478,-0.04566236212849617,-0.9117430448532104
-33.11473083496094,46.146942138671875,-45.277469635009766,-56.00040054321289,0.1894966959953308,1.1707676649093628,0.20928582549095154,-1.5505318641662598
-51.99283218383789,51.29866409301758,-25.36078643798828,-45.28985595703125,0.28803497552871704,1.5009355545043945,0.504188597202301,-2.278409957885742
-68.4253158569336,48.55107879638672,-5.205142974853516,-43.5125617980957,0.39983803033828735,1.7931530475616455,0.7914809584617615,-2.975959539413452
-77.53134155273438,37.62318420410156,15.771271705627441,-41.76644515991211,0.5154310464859009,1.9810072183609009,1.0407212972640991,-3.5351366996765137
-81.93345642089844,33.36650848388672,36.58145523071289,-20.48567008972168,0.587439775466919,2.051215410232544,1.221468210220337,-3.8611655235290527
-80.43486785888672,32.03434371948242,55.92671585083008,13.314126014709473,0.6158642768859863,1.9772121906280518,1.3051824569702148,-3.899075746536255
-75.98072052001953,23.63547706604004,69.40190887451172,29.746315002441406,0.5836498141288757,1.757100224494934,1.288059115409851,-3.6374945640563965
-65.68830108642578,12.218427658081055,78.7524642944336,43.98027038574219,0.5002712607383728,1.3908796310424805,1.1758058071136475,-3.0726308822631836
-50.161216735839844,6.192473888397217,83.10566711425781,67.95816802978516,0.35246387124061584,0.8861402273178101,0.9589095711708069,-2.20827579498291
-29.670047760009766,-0.6036361455917358,81.2874984741211,88.53738403320312,0.16107219457626343,0.28842249512672424,0.665909469127655,-1.1221452951431274
-8.627313613891602,-20.627702713012695,74.0667953491211,77.59297943115234,-0.032214440405368805,-0.3092951774597168,0.3291495144367218,0.009477578103542328
12.883731842041016,-44.231956481933594,62.285091400146484,53.70862579345703,-0.15159736573696136,-0.7609041333198547,0.02853897586464882,0.8776237964630127
33.36449432373047,-49.196346282958984,46.9709587097168,54.207515716552734,-0.26150545477867126,-1.1764602661132812,-0.2834871709346771,1.724919319152832
52.41951370239258,-38.768009185791016,26.939990997314453,70.40584564208984,-0.40173301100730896,-1.5825287103652954,-0.6164419054985046,2.598752021789551
67.3846206665039,-34.4801139831543,4.924626350402832,65.47930908203125,-0.5533303618431091,-1.929774284362793,-0.9436888098716736,3.4384655952453613
77.33361053466797,-38.778419494628906,-16.238800048828125,38.539249420166016,-0.6916629672050476,-2.174553871154785,-1.2271759510040283,4.105687141418457
82.17282104492188,-35.552085876464844,-35.168479919433594,19.768516540527344,-0.8072559237480164,-2.2903025150299072,-1.4402669668197632,4.5492377281188965
81.50677490234375,-23.770774841308594,-53.67219161987305,7.031230926513672,-0.8641049265861511,-2.258044719696045,-1.5563254356384277,4.6857147216796875
