220KV I母线_A_1,220KV I母线_B_2,220KV I母线_C_3,220KV I母线_N_4,220KV 黄施II回电流_A_9,220KV 黄施II回电流_B_10,220KV 黄施II回电流_C_11,220KV 黄施II回电流_N_12
3.733180046081543,70.77037048339844,-75.05644989013672,-0.2681579887866974,-0.017199000343680382,-0.03824000060558319,0.06507600098848343,0.003834000090137124
-21.252836227416992,81.72870635986328,-60.33124923706055,0.7729259729385376,0.0,-0.05162400007247925,0.05933399870991707,0.003834000090137124
-46.796199798583984,84.82952117919922,-37.78065490722656,0.8833439946174622,0.021020999178290367,-0.05927199870347977,0.04593599960207939,0.003834000090137124
-66.17718505859375,77.85795593261719,-12.11673641204834,-0.4258979856967926,0.03821999952197075,-0.05927199870347977,0.028710000216960907,0.001917000045068562
-78.55451965332031,65.76054382324219,12.947657585144043,0.5205420255661011,0.05541900172829628,-0.057360000908374786,0.007656000088900328,0.0
-85.21115112304688,45.82671356201172,38.4222526550293,-1.151502013206482,0.06306300312280655,-0.04971199855208397,-0.011483999900519848,0.0
-81.45693969726562,20.735401153564453,60.82559585571289,0.7729259729385376,0.06688500195741653,-0.03441600129008293,-0.03062400035560131,0.003834000090137124
-70.69906616210938,-4.630133152008057,74.7829818725586,-0.31547999382019043,0.06306300312280655,-0.013384000398218632,-0.04593599960207939,0.001917000045068562
-53.64211654663086,-29.426130294799805,83.64965057373047,1.5458519458770752,0.05350799858570099,0.009560000151395798,-0.05550599843263626,0.003834000090137124
-29.076740264892578,-54.327598571777344,83.14479064941406,0.03154800087213516,0.042041998356580734,0.022943999618291855,-0.06316199898719788,0.001917000045068562
-3.6595680713653564,-70.82310485839844,74.54106903076172,0.45744600892066956,0.02293200045824051,0.04206399992108345,-0.06124800071120262,0.003834000090137124
21.147676467895508,-81.62322998046875,60.005191802978516,-0.29970601201057434,0.0,0.057360000908374786,-0.05550599843263626,0.001917000045068562
46.84878158569336,-85.20921325683594,37.63340377807617,-0.5678640007972717,-0.017199000343680382,0.06309600174427032,-0.04402200132608414,0.005750999785959721
