110kV I 母电压_A相_1,110kV I 母电压_B相_2,110kV I 母电压_C相_3,110kV I 母电压_3U0_4,大中II回线133_A相_9,大中II回线133_B相_10,大中II回线133_C相_11,大中II回线133_3I0_12
-84.94486236572266,36.819480895996094,47.99353790283203,-0.526820957660675,-0.7214966416358948,0.813805103302002,0.009235839359462261,0.027698101475834846
-79.68621826171875,15.522546768188477,64.03966522216797,-0.4803367555141449,-0.8139962553977966,0.7028316855430603,0.24013182520866394,0.05539620295166969
-70.35265350341797,-6.54016637802124,77.1683120727539,0.23242101073265076,-0.8417460918426514,0.4993804097175598,0.4156127870082855,0.04616350308060646
-55.43571090698242,-27.433515548706055,83.32398223876953,0.3873683512210846,-0.8232461810112,0.31442469358444214,0.5818578600883484,0.05539620295166969
-36.30766677856445,-48.17163848876953,84.64823150634766,0.0,-0.7122467160224915,0.06473449617624283,0.7296313047409058,0.04616350308060646
-15.545464515686035,-63.96324157714844,79.71334838867188,0.0,-0.554997444152832,-0.17570792138576508,0.8127538561820984,0.04616350308060646
7.028980255126953,-77.13671112060547,70.0711898803711,-0.44934728741645813,-0.3884982168674469,-0.36991140246391296,0.8496972322463989,0.018465401604771614
27.916889190673828,-83.5940933227539,55.525184631347656,-0.6042945981025696,-0.14799931645393372,-0.5456193089485168,0.8404613733291626,0.05539620295166969
48.0715217590332,-84.67031860351562,36.582271575927734,-0.23242101073265076,0.05549974367022514,-0.6935839056968689,0.7758104801177979,0.04616350308060646
64.50739288330078,-79.98251342773438,15.332275390625,-0.2634104788303375,0.277498722076416,-0.7953095436096191,0.6465087532997131,0.03693080320954323
76.88928985595703,-70.57584381103516,-6.166016101837158,0.402863085269928,0.46249786019325256,-0.813805103302002,0.4802636504173279,0.027698101475834846
83.83446502685547,-55.78803253173828,-27.767765045166016,0.5887998938560486,0.6474969983100891,-0.813805103302002,0.2863110303878784,0.04616350308060646
84.92390441894531,-36.943660736083984,-47.75558853149414,0.5113261938095093,0.7769964337348938,-0.7398228049278259,0.07388671487569809,0.03693080320954323
79.7595443725586,-15.626030921936035,-63.84309768676758,0.5887998938560486,0.8602460026741028,-0.6288493871688843,-0.1570092737674713,0.018465401604771614
70.5307388305664,6.384941101074219,-77.03382110595703,-0.15494734048843384,0.878745973110199,-0.443893700838089,-0.32325437664985657,0.03693080320954323
55.71854782104492,27.247243881225586,-83.13776397705078,-0.2789052128791809,0.8509960770606995,-0.2219468504190445,-0.5079711675643921,0.03693080320954323
36.58002853393555,48.037109375,-84.59650421142578,0.07747367024421692,0.7584965229034424,0.0,-0.6280370950698853,0.018465401604771614
15.734021186828613,63.92184829711914,-79.68231201171875,0.04648420214653015,0.6197471618652344,0.2219468504190445,-0.7296313047409058,0.018465401604771614
-6.683292865753174,77.07462310791016,-70.13326263427734,0.5578104257583618,0.43474799394607544,0.4161503314971924,-0.75733882188797,0.04616350308060646
-27.675954818725586,83.65618133544922,-55.65967559814453,0.5887998938560486,0.22199897468090057,0.6288493871688843,-0.7758104801177979,0.018465401604771614
-47.95629119873047,84.78414916992188,-36.67538070678711,0.2789052128791809,0.0,0.7583184242248535,-0.6834521293640137,0.018465401604771614
-64.29788208007812,80.07564544677734,-15.518497467041016,0.3718736171722412,-0.22199897468090057,0.8507962822914124,-0.5541503429412842,0.027698101475834846
-76.8473892211914,70.75177001953125,6.000485420227051,-0.3563788831233978,-0.43474799394607544,0.8970351815223694,-0.42484861612319946,0.018465401604771614
-83.78208923339844,55.99500274658203,27.60223388671875,-0.526820957660675,-0.6104971766471863,0.887787401676178,-0.2031884640455246,0.027698101475834846
-84.99723815917969,37.150630950927734,47.69351577758789,-0.4803367555141449,-0.739996612071991,0.8045573234558105,0.009235839359462261,0.027698101475834846
-79.79096984863281,15.812301635742188,63.7913703918457,-0.542315661907196,-0.8139962553977966,0.6935839056968689,0.2308959811925888,0.03693080320954323
-70.33170318603516,-5.6812520027160645,77.23038482666016,1.7973891496658325,-0.8139962553977966,0.5363715291023254,0.42484861612319946,0.10155970603227615
-55.66617202758789,-26.89539909362793,83.40674591064453,1.1775997877120972,-0.8232461810112,0.2959291338920593,0.5633862018585205,0.0
