220kVⅠ段母线电压_A相_1,220kVⅠ段母线电压_B相_2,220kVⅠ段母线电压_C相_3,220kVⅠ段母线电压_3U0_4,耿沾Ⅰ回273_A相_29,耿沾Ⅰ回273_B相_30,耿沾Ⅰ回273_C相_31,耿沾Ⅰ回273_3I0_32
-0.30243855714797974,72.52340698242188,-72.44327545166016,0.2329614758491516,-0.04674315080046654,-0.43053072690963745,0.4863201379776001,0.009343036450445652
-22.39088249206543,80.84764099121094,-59.33686447143555,0.0,0.09348630160093307,-0.48668691515922546,0.4115016758441925,0.009343036450445652
-42.00767135620117,83.30448150634766,-42.08994674682617,-0.24849224090576172,0.22436712682247162,-0.5334837436676025,0.2899216413497925,0.009343036450445652
-58.95466232299805,80.59884643554688,-21.470439910888672,0.17083841562271118,0.36459657549858093,-0.5334837436676025,0.15898928046226501,0.018686072900891304
-72.67911529541016,71.8599624633789,0.04150882363319397,-0.32614606618881226,0.4580828845500946,-0.47732752561569214,0.0,0.018686072900891304
-81.38726043701172,58.45619201660156,21.5949649810791,-0.9473766684532166,0.5328719019889832,-0.4118120074272156,-0.12158003449440002,0.0
-83.1810302734375,41.89066696166992,41.29090118408203,-0.3727383613586426,0.5983123183250427,-0.3088589906692505,-0.26186469197273254,0.0
-80.49037170410156,21.230409622192383,58.766117095947266,-0.07765382528305054,0.5609177947044373,-0.1310310959815979,-0.3740924298763275,0.02802911028265953
-72.35581970214844,-0.9433434009552002,71.76875305175781,-0.5280460119247437,0.5235232710838318,-0.018718726933002472,-0.47696784138679504,-0.009343036450445652
-58.4332160949707,-21.73836326599121,80.50636291503906,0.574638307094574,0.4580828845500946,0.1029530018568039,-0.5330817103385925,0.009343036450445652
-41.17335891723633,-41.911399841308594,83.34971618652344,0.7610074877738953,0.35524794459342957,0.2059060037136078,-0.5611386299133301,0.0
-21.546140670776367,-59.87638854980469,80.1535415649414,-0.2174307107925415,0.19632123410701752,0.3930932581424713,-0.5237293839454651,0.0
0.30243855714797974,-72.74110412597656,72.16309356689453,-0.04659229516983032,0.03739451989531517,0.4492494463920593,-0.4863201379776001,0.0
22.411739349365234,-81.54219055175781,59.16044998168945,-0.2329614758491516,-0.07478903979063034,0.5428431034088135,-0.430206298828125,-0.009343036450445652
41.25679016113281,-84.45514678955078,41.78900909423828,-0.4193306565284729,-0.21501849591732025,0.5522024631500244,-0.2899216413497925,-0.009343036450445652
58.94423294067383,-80.78543853759766,21.221385955810547,-0.09318459033966064,-0.3739452064037323,0.5428431034088135,-0.11222773045301437,-0.018686072900891304
72.48096466064453,-71.99472045898438,-0.17641249299049377,-0.04659229516983032,-0.4674314856529236,0.5147649645805359,0.03740924224257469,0.009343036450445652
80.57379913330078,-59.337337493896484,-22.051563262939453,0.34167683124542236,-0.5609177947044373,0.4398900866508484,0.15898928046226501,0.0
84.55764770507812,-34.758575439453125,-40.82392883300781,8.805943489074707,-0.4580828845500946,-1.21671724319458,0.3460354804992676,1.3921124935150146
80.3235092163086,-15.933173179626465,-58.921775817871094,9.101028442382812,-0.30850479006767273,-2.5363874435424805,0.6079002022743225,2.298387050628662
70.6559066772461,0.7878472208976746,-72.80648040771484,-1.863691806793213,-0.30850479006767273,-2.9949963092803955,0.5985478758811951,2.7468526363372803
57.77619171142578,17.32227325439453,-81.47144317626953,-9.660136222839355,-0.35524794459342957,-1.4226232767105103,0.6266047954559326,1.1585365533828735
40.328617095947266,35.67081832885742,-84.43932342529297,-14.878473281860352,-0.36459657549858093,1.1979985237121582,0.5517863035202026,-1.3827693462371826
18.907623291015625,46.66958236694336,-82.20822143554688,-29.151247024536133,-0.4580828845500946,4.951103210449219,0.43955859541893005,-4.92378044128418
-1.63733971118927,57.740909576416016,-72.54704284667969,-28.141746520996094,-0.5609177947044373,9.574628829956055,0.2525123953819275,-9.184205055236816
-21.859006881713867,65.7230453491211,-58.20574951171875,-25.84319305419922,-0.7478904128074646,14.619325637817383,0.03740924224257469,-13.865066528320312
-42.216251373291016,65.8578109741211,-41.529579162597656,-32.319522857666016,-0.8320280909538269,19.720178604125977,-0.19639852643013,-18.545927047729492
-59.68468475341797,64.69676971435547,-21.615720748901367,-30.222867965698242,-0.9442116022109985,24.390501022338867,-0.47696784138679504,-22.862409591674805
-71.76136779785156,58.798282623291016,0.22829852998256683,-24.026094436645508,-1.0283492803573608,28.321434020996094,-0.7294802069664001,-26.39407730102539
-80.13578796386719,48.39040756225586,21.771377563476562,-19.13390350341797,-1.0750924348831177,31.15732192993164,-0.9165264368057251,-28.982099533081055
-82.53443908691406,35.546424865722656,41.67485809326172,-10.048404693603516,-1.1124869585037231,32.70161437988281,-1.1129249334335327,-30.290124893188477
-79.1450424194336,19.157127380371094,59.53403091430664,-2.2208993434906006,-1.1031383275985718,32.75777053833008,-1.2532095909118652,-30.234066009521484
-70.69761657714844,3.06845760345459,72.24610900878906,6.150183200836182,-1.0190006494522095,31.288352966308594,-1.2999712228775024,-28.75786590576172
-57.390323638916016,-13.880623817443848,81.36766815185547,16.416019439697266,-0.860073983669281,28.37759017944336,-1.2625619173049927,-25.98298454284668
-38.868568420410156,-30.218088150024414,84.11763000488281,24.305646896362305,-0.7011472582817078,24.072282791137695,-1.1690387725830078,-21.98416519165039
-18.813764572143555,-43.196834564208984,80.5374984741211,30.331584930419922,-0.5515691637992859,18.86847686767578,-0.9913449287414551,-17.051042556762695
2.0440673828125,-53.998634338378906,71.9659194946289,34.30746078491211,-0.33655068278312683,12.7661714553833,-0.7388325333595276,-11.45456314086914
