17-源安一线线路电压UA_17,18-源安一线线路电压UB_18,19-源安一线线路电压UC_19,20-源安一线线路电压3U0_20,5-源安一线线路电流IA_5,6-源安一线线路电流IB_6,7-源安一线线路电流IC_7,8-源安一线线路电流3I0_8
4.972451686859131,-77.16622924804688,72.50456237792969,-0.15538911521434784,-0.05870255082845688,0.2555287480354309,-0.20027929544448853,0.0034530912525951862
10.007059097290039,-79.52814483642578,69.3346176147461,-0.4661673307418823,-0.07942110300064087,0.2555287480354309,-0.18992002308368683,-0.0034530912525951862
15.103821754455566,-81.51712799072266,66.10252380371094,-0.5594007968902588,-0.09323346614837646,0.2555287480354309,-0.17956075072288513,0.0
20.169506072998047,-82.977783203125,62.62181091308594,-0.5594007968902588,-0.10704582929611206,0.258981853723526,-0.15538911521434784,0.0034530912525951862
25.141958236694336,-84.15874481201172,58.76816177368164,-0.5904785990715027,-0.12431128323078156,0.2624349296092987,-0.13812364637851715,0.0034530912525951862
29.99009895324707,-84.84245300292969,54.572654724121094,-0.5904785990715027,-0.14157673716545105,0.258981853723526,-0.13121746480464935,-0.0034530912525951862
34.651771545410156,-85.15322875976562,50.06637191772461,-0.6526342630386353,-0.15538911521434784,0.258981853723526,-0.11049892008304596,-0.0034530912525951862
39.4377555847168,-85.09107971191406,45.28038787841797,-0.6526342630386353,-0.16920147836208344,0.2624349296092987,-0.08978037536144257,0.0034530912525951862
44.16158676147461,-84.7181396484375,40.30793380737305,-0.5594007968902588,-0.17956075072288513,0.2624349296092987,-0.06906182318925858,0.0034530912525951862
48.63679122924805,-84.34520721435547,35.24224853515625,-0.6215564608573914,-0.19682620465755463,0.2555287480354309,-0.06215564161539078,0.0034530912525951862
53.0809211730957,-83.78580474853516,30.207643508911133,-0.6526342630386353,-0.21409165859222412,0.2486225664615631,-0.04834327846765518,-0.0034530912525951862
57.462894439697266,-82.9156265258789,25.141958236694336,-0.4661673307418823,-0.21754474937915802,0.2486225664615631,-0.03453091159462929,0.0034530912525951862
61.81378936767578,-81.921142578125,20.169506072998047,-0.2797003984451294,-0.21754474937915802,0.2486225664615631,-0.010359274223446846,0.0069061825051903725
65.60528564453125,-80.7091064453125,15.010587692260742,-0.2797003984451294,-0.23481020331382751,0.23481020331382751,0.0,0.0034530912525951862
69.11707305908203,-79.15521240234375,9.696280479431152,-0.2486225813627243,-0.2451694756746292,0.21409165859222412,0.0069061825051903725,-0.0034530912525951862
72.3802490234375,-77.10408020019531,4.444128513336182,-0.18646693229675293,-0.2486225664615631,0.21063856780529022,0.02762473002076149,0.0
75.36371612548828,-74.46246337890625,-0.8080233931541443,0.031077822670340538,-0.2417163848876953,0.20718547701835632,0.04834327846765518,0.0069061825051903725
77.84994506835938,-71.60330200195312,-6.122331142425537,0.18646693229675293,-0.2451694756746292,0.18992002308368683,0.06906182318925858,0.0034530912525951862
79.99431610107422,-68.58875274658203,-11.374483108520508,0.3107782304286957,-0.2555287480354309,0.16229529678821564,0.07596801221370697,-0.0034530912525951862
81.73467254638672,-65.2012710571289,-16.440168380737305,0.5283229947090149,-0.258981853723526,0.15193602442741394,0.09668655693531036,-0.0034530912525951862
83.35071563720703,-61.59624481201172,-21.288307189941406,0.8701789975166321,-0.2520756721496582,0.13812364637851715,0.11740510165691376,0.0034530912525951862
84.37628936767578,-57.618282318115234,-26.13644790649414,1.0255681276321411,-0.2486225664615631,0.12776437401771545,0.13121746480464935,0.010359274223446846
84.93568420410156,-53.453853607177734,-30.984588623046875,0.9634124636650085,-0.2520756721496582,0.10359273850917816,0.14502982795238495,0.0
85.02892303466797,-49.040802001953125,-35.770572662353516,0.7458677291870117,-0.258981853723526,0.07942110300064087,0.15538911521434784,-0.0034530912525951862
84.93568420410156,-44.254817962646484,-40.49440383911133,0.5594007968902588,-0.2520756721496582,0.06906182318925858,0.17265456914901733,0.0
84.68706512451172,-39.25128936767578,-45.15607452392578,0.40401169657707214,-0.2451694756746292,0.05524946004152298,0.18992002308368683,0.0034530912525951862
84.22090148925781,-34.15452575683594,-49.91098403930664,0.2797003984451294,-0.2451694756746292,0.041437096893787384,0.20027929544448853,0.0034530912525951862
83.5682601928711,-29.088842391967773,-54.510501861572266,0.21754474937915802,-0.2486225664615631,0.020718548446893692,0.20373238623142242,-0.0069061825051903725
82.82239532470703,-23.898845672607422,-58.830318450927734,0.3418560326099396,-0.2451694756746292,0.0069061825051903725,0.21409165859222412,-0.0069061825051903725
81.8279037475586,-18.677770614624023,-62.87043380737305,0.4661673307418823,-0.23481020331382751,0.0,0.22790402173995972,0.0034530912525951862
80.52263641357422,-13.518852233886719,-66.59976959228516,0.5283229947090149,-0.22790402173995972,-0.013812365010380745,0.23481020331382751,0.0034530912525951862
78.56473541259766,-8.453167915344238,-70.0183334350586,0.3418560326099396,-0.22445093095302582,-0.03107782080769539,0.2382632941007614,-0.0034530912525951862
76.38928985595703,-3.1699378490448,-73.06395721435547,0.2797003984451294,-0.21063856780529022,-0.04834327846765518,0.2417163848876953,-0.0034530912525951862
73.71659088134766,2.175447463989258,-75.76773071289062,0.09323346614837646,-0.19682620465755463,-0.05524946004152298,0.2486225664615631,0.0034530912525951862
70.70204162597656,7.458677291870117,-78.2850341796875,-0.2797003984451294,-0.18301384150981903,-0.07596801221370697,0.2555287480354309,0.0034530912525951862
67.34564208984375,12.71082878112793,-80.49156188964844,-0.6526342630386353,-0.17610765993595123,-0.09323346614837646,0.2555287480354309,-0.0034530912525951862
