220kVⅠ段母线电压_A相_1,220kVⅠ段母线电压_B相_2,220kVⅠ段母线电压_C相_3,220kVⅠ段母线电压_3U0_4,耿沾Ⅱ回274_A相_33,耿沾Ⅱ回274_B相_34,耿沾Ⅱ回274_C相_35,耿沾Ⅱ回274_3I0_36
61.70789337158203,18.815034866333008,-80.74504089355469,-0.3882691264152527,-1.1599394083023071,-0.06548570841550827,1.3189952373504639,0.046867191791534424
43.718013763427734,38.65634536743164,-82.6336898803711,-0.434861421585083,-0.9241793751716614,-0.4116244614124298,1.4125410318374634,0.028120314702391624
23.13133430480957,57.22258758544922,-81.03559875488281,-0.04659229516983032,-0.5941153168678284,-0.7296979427337646,1.4312502145767212,0.0374937541782856
3.6084048748016357,70.84405517578125,-74.09324645996094,0.2174307107925415,-0.27348166704177856,-0.9822856783866882,1.3283498287200928,0.06561406701803207
-18.605186462402344,81.8635482788086,-62.11795425415039,0.6988844275474548,0.13202562928199768,-1.17874276638031,1.1599675416946411,0.046867191791534424
-38.95199966430664,82.98311614990234,-43.85407257080078,0.34167683124542236,0.43379849195480347,-1.2910040616989136,0.954166829586029,0.0749875083565712
-56.71244430541992,81.47998809814453,-24.26190757751465,0.574638307094574,0.7638625502586365,-1.3284244537353516,0.6080474853515625,0.05624062940478325
-70.11360168457031,75.00098419189453,-3.351837396621704,0.6367613673210144,1.0279138088226318,-1.2535836696624756,0.2993464469909668,0.0749875083565712
-80.39651489257812,62.65458679199219,18.627084732055664,-0.2018999457359314,1.2165218591690063,-1.0758366584777832,-0.09354576468467712,0.08436094969511032
-82.53443908691406,44.4615364074707,38.34377670288086,-0.15530765056610107,1.3391170501708984,-0.8606693744659424,-0.3928922116756439,0.09373438358306885
-80.42779541015625,25.2733097076416,56.80482482910156,1.0716228485107422,1.3485474586486816,-0.5238856673240662,-0.748366117477417,0.08436094969511032
-73.65943145751953,3.9392361640930176,70.43009948730469,-0.24849224090576172,1.2825347185134888,-0.2058122307062149,-0.982230544090271,0.0749875083565712
-61.38459777832031,-18.172317504882812,80.5478744506836,0.869722843170166,1.1316481828689575,0.1871020346879959,-1.216094970703125,0.08436094969511032
-43.394718170166016,-37.50567626953125,82.74784088134766,1.2113996744155884,0.8958882093429565,0.5051754713058472,-1.3002861738204956,0.08436094969511032
-23.371200561523438,-56.27924346923828,81.08748626708984,0.3727383613586426,0.5658240914344788,0.8419591784477234,-1.3283498287200928,0.05624062940478325
-3.462399959564209,-70.58489227294922,74.10363006591797,0.031061530113220215,0.22632965445518494,1.094546914100647,-1.2348041534423828,0.046867191791534424
19.41864013671875,-81.29339599609375,62.42927169799805,0.04659229516983032,-0.1414560228586197,1.3190693855285645,-1.0757763385772705,0.05624062940478325
38.9311408996582,-82.1745376586914,44.38330841064453,0.15530765056610107,-0.4715200960636139,1.4032652378082275,-0.8512664437294006,0.05624062940478325
56.76458740234375,-81.63548278808594,24.61473274230957,-0.4503921866416931,-0.8110145926475525,1.4219754934310913,-0.5051471590995789,0.046867191791534424
70.9166259765625,-74.6070556640625,3.8188116550445557,-0.015530765056610107,-1.0656354427337646,1.3564897775650024,-0.1590277999639511,0.028120314702391624
81.24125671386719,-62.15700149536133,-18.305391311645508,0.8075997829437256,-1.2636739015579224,1.17874276638031,0.18709152936935425,0.0374937541782856
82.59701538085938,-44.49263381958008,-38.167362213134766,0.17083841562271118,-1.3485474586486816,0.9916408061981201,0.48643797636032104,0.0093734385445714
81.33511352539062,-24.858654022216797,-56.5869026184082,-0.5280460119247437,-1.3768386840820312,0.6267918348312378,0.8419119119644165,0.028120314702391624
74.5667495727539,-3.182488203048706,-70.22254943847656,0.9007843732833862,-1.320256233215332,0.31807345151901245,1.0851309299468994,0.046867191791534424
61.82261276245117,17.88205909729004,-81.07711029052734,-0.8852536082267761,-1.150508999824524,-0.07484081387519836,1.3189952373504639,0.046867191791534424
44.33332061767578,37.79593276977539,-82.95538330078125,-0.7610074877738953,-0.9430401921272278,-0.3742040693759918,1.4031864404678345,0.0374937541782856
24.236799240112305,57.11892318725586,-81.2016372680664,0.12424612045288086,-0.5658240914344788,-0.7296979427337646,1.44060480594635,0.0374937541782856
3.7544095516204834,70.20133209228516,-74.62248992919922,-0.09318459033966064,-0.25462085008621216,-0.9635754823684692,1.3377044200897217,0.05624062940478325
-18.344463348388672,80.68177795410156,-62.833980560302734,0.10871535539627075,0.11316482722759247,-1.1974530220031738,1.1786766052246094,0.046867191791534424
-38.1176872253418,82.51663208007812,-44.331424713134766,0.09318459033966064,0.42436808347702026,-1.281648874282837,0.9635213613510132,0.05624062940478325
-56.816734313964844,81.08606719970703,-24.697750091552734,0.27955377101898193,0.7732929587364197,-1.3190693855285645,0.6174020767211914,0.046867191791534424
-70.35346221923828,73.95397186279297,-4.296163082122803,-0.15530765056610107,1.0279138088226318,-1.2535836696624756,0.2993464469909668,0.08436094969511032
-80.21922302246094,62.208831787109375,18.09784698486328,-0.6988844275474548,1.2259522676467896,-1.0851918458938599,-0.0748366117477417,0.08436094969511032
-82.79515838623047,44.160911560058594,37.98057174682617,-0.5280460119247437,1.320256233215332,-0.8887346386909485,-0.35547390580177307,0.06561406701803207
-81.0118179321289,24.350698471069336,56.119930267333984,0.2329614758491516,1.367408275604248,-0.533240795135498,-0.7390115261077881,0.06561406701803207
-74.0140151977539,3.1306560039520264,69.98387908935547,-1.025030493736267,1.3013955354690552,-0.2058122307062149,-1.0009397268295288,0.0749875083565712
