220kVI母电压_A相_1,220kVI母电压_B相_2,220kVI母电压_C相_3,220kVI母电压_3U0_4,吾青线（284）_A相_29,吾青线（284）_B相_30,吾青线（284）_C相_31,吾青线（284）_3I0_32
2.2180516719818115,72.6097412109375,-75.16815185546875,0.06270402669906616,-0.027980901300907135,-1.1826214790344238,1.1628464460372925,-0.09335054457187653
-20.247642517089844,83.73771667480469,-63.968223571777344,-0.3135201334953308,0.3357708156108856,-1.3036773204803467,0.9116716384887695,-0.08401548862457275
-41.2135124206543,85.63607788085938,-44.28730392456055,0.7838003635406494,0.6715416312217712,-1.3409252166748047,0.6046801805496216,-0.09335054457187653
-58.841739654541016,81.55616760253906,-22.473060607910156,0.7367722988128662,0.9233697652816772,-1.3036773204803467,0.27908316254615784,-0.11202064901590347
-72.69927978515625,74.69689178466797,-2.9490010738372803,-0.8465043902397156,1.1285630464553833,-1.1639975309371948,-0.08372494578361511,-0.08401548862457275
-83.6944808959961,63.390625,19.189422607421875,-1.2854325771331787,1.2777944803237915,-0.9498220086097717,-0.44653305411338806,-0.06534537672996521
-85.19430541992188,43.67282485961914,41.003662109375,-0.5329842567443848,1.315102458000183,-0.6704626083374023,-0.8093411326408386,-0.06534537672996521
-81.44474029541016,22.318870544433594,58.614009857177734,-0.5486602187156677,1.2591406106948853,-0.3445432782173157,-1.1163326501846313,-0.056010324507951736
-74.97014617919922,2.2549610137939453,71.86360168457031,-0.6270402669906616,1.1285630464553833,0.0,-1.2930852174758911,-0.04667527228593826
-62.84479522705078,-20.021955490112305,83.26222229003906,1.3011085987091064,0.9140428304672241,0.32591933012008667,-1.4047185182571411,-0.03734021633863449
-43.09357452392578,-41.38640213012695,85.51057434082031,2.1476128101348877,0.606252908706665,0.6425266861915588,-1.4698379039764404,-0.028005162253975868
-22.539628982543945,-58.933143615722656,81.26484680175781,-0.06270402669906616,0.27048206329345703,0.8939501643180847,-1.4047185182571411,-0.018670108169317245
-2.1124300956726074,-72.95585632324219,74.82305908203125,-0.17243607342243195,-0.05596180260181427,1.0801897048950195,-1.2651768922805786,-0.028005162253975868
20.458885192871094,-84.1991958618164,63.66495895385742,0.14108406007289886,-0.4197135269641876,1.1826214790344238,-1.0140020847320557,-0.018670108169317245
41.34025955200195,-86.03462982177734,43.9631233215332,-0.8778563737869263,-0.7834652662277222,1.2291814088821411,-0.7349189519882202,0.009335054084658623
58.947364807128906,-81.9652099609375,22.347572326660156,-0.8621803522109985,-1.0539473295211792,1.1826214790344238,-0.38141363859176636,0.018670108169317245
72.87883758544922,-75.1059341430664,2.8339691162109375,0.7210963368415833,-1.2404866218566895,1.0522538423538208,-0.027908315882086754,0.009335054084658623
83.88459777832031,-63.62136459350586,-19.471773147583008,1.1443485021591187,-1.3710641860961914,0.8380782604217529,0.34420254826545715,0.0
85.25768280029297,-43.76721954345703,-41.265098571777344,0.43892818689346313,-1.4176990985870361,0.5494068264961243,0.6977078914642334,-0.009335054084658623
81.5186767578125,-22.518144607543945,-58.8963623046875,0.3605481684207916,-1.3990451097488403,0.2514234781265259,0.9860938191413879,-0.03734021633863449
75.0018310546875,-2.3074018955230713,-72.2296142578125,0.5016322135925293,-1.2311596870422363,-0.10243178904056549,1.1814520359039307,-0.018670108169317245
62.728614807128906,20.07439613342285,-83.65960693359375,-1.4735445976257324,-1.007312536239624,-0.45628705620765686,1.3116908073425293,-0.03734021633863449
43.09357452392578,41.29200744628906,-85.94978332519531,-2.2259929180145264,-0.7088495492935181,-0.7915183305740356,1.3768101930618286,-0.04667527228593826
22.465694427490234,58.76533126831055,-81.64131927490234,-0.06270402669906616,-0.37307870388031006,-1.0150058269500732,1.3116908073425293,-0.04667527228593826
1.9962464570999146,72.74609375,-75.07403564453125,0.03135201334953308,-0.04663483798503876,-1.1826214790344238,1.1535437107086182,-0.056010324507951736
-20.427200317382812,83.82161712646484,-63.895023345947266,-0.2351401001214981,0.3357708156108856,-1.3036773204803467,0.9116716384887695,-0.09335054457187653
-41.371944427490234,85.66754150390625,-44.13043975830078,0.7681243419647217,0.6808686256408691,-1.3502371311187744,0.5953773856163025,-0.09335054457187653
-58.93680191040039,81.51422119140625,-22.316200256347656,0.7210963368415833,0.9420236945152283,-1.2850533723831177,0.25117483735084534,-0.1026855930685997
-72.85771179199219,74.63396453857422,-2.739851951599121,-0.8151523470878601,1.1378899812698364,-1.154685616493225,-0.11163326352834702,-0.09335054457187653
-83.82122802734375,63.285743713378906,19.356740951538086,-1.269756555557251,1.2684675455093384,-0.9591339826583862,-0.45583581924438477,-0.08401548862457275
-85.19430541992188,43.473548889160156,41.21281051635742,-0.5329842567443848,1.3057754039764404,-0.6425266861915588,-0.8372494578361511,-0.07468043267726898
-81.37081146240234,22.151058197021484,58.760414123535156,-0.5329842567443848,1.2777944803237915,-0.3538552522659302,-1.0884243249893188,-0.07468043267726898
-74.97014617919922,2.1395909786224365,71.97863006591797,-0.6427162885665894,1.1285630464553833,0.009311980567872524,-1.3116908073425293,-0.056010324507951736
-62.728614807128906,-20.22123146057129,83.34587860107422,1.3011085987091064,0.9047158360481262,0.33523130416870117,-1.441929578781128,-0.03734021633863449
-42.88233184814453,-41.57518768310547,85.47920227050781,2.1632888317108154,0.5969259142875671,0.6518386602401733,-1.4698379039764404,-0.04667527228593826
-22.370635986328125,-59.03802490234375,81.23347473144531,-0.06270402669906616,0.27980902791023254,0.9032621383666992,-1.4047185182571411,0.0
