5-玉溪墨江II回线电压Ua_5,6-玉溪墨江II回线电压Ub_6,7-玉溪墨江II回线电压Uc_7,8-玉溪墨江II回线电压3Uo_8,13-玉溪墨江II回线路电流Ia_13,14-玉溪墨江II回线路电流Ib_14,15-玉溪墨江II回线路电流Ic_15,16-玉溪墨江II回线路电流3Io_16
80.83341217041016,-71.82084655761719,-8.23562240600586,0.7147899270057678,-0.20373238623142242,0.14502982795238495,0.05870255082845688,0.0034530912525951862
85.49508666992188,-63.274444580078125,-21.3504638671875,1.212035059928894,-0.20718547701835632,0.11740510165691376,0.08632728457450867,0.0034530912525951862
87.39083862304688,-52.67690658569336,-34.12344741821289,0.9634124636650085,-0.20718547701835632,0.08978037536144257,0.11395201086997986,-0.0034530912525951862
87.35975646972656,-40.77410125732422,-46.39918899536133,0.4972451627254486,-0.20027929544448853,0.05179636925458908,0.14157673716545105,-0.0034530912525951862
85.43292999267578,-27.97003936767578,-57.33858108520508,0.4972451627254486,-0.18992002308368683,0.013812365010380745,0.16920147836208344,0.0
81.48604583740234,-14.575498580932617,-67.15917205810547,0.40401169657707214,-0.18301384150981903,-0.013812365010380745,0.18992002308368683,0.0034530912525951862
75.98527526855469,-0.9944903254508972,-75.64341735839844,-0.21754474937915802,-0.16229529678821564,-0.04489018768072128,0.20373238623142242,0.0
68.93061065673828,12.244662284851074,-82.29407501220703,-0.8080233931541443,-0.13467055559158325,-0.07596801221370697,0.20718547701835632,0.0
59.66941833496094,25.3595027923584,-86.33419036865234,-0.8391011953353882,-0.10704582929611206,-0.10359273850917816,0.20373238623142242,0.0
48.29493713378906,38.28787612915039,-87.85700225830078,-0.6837120652198792,-0.07251491397619247,-0.12776437401771545,0.20373238623142242,-0.0034530912525951862
35.2733268737793,48.23278045654297,-87.91915893554688,-6.153409004211426,-0.037984006106853485,-0.11740510165691376,0.19682620465755463,0.037984006106853485
12.12035083770752,28.96453094482422,-95.37783813476562,-88.10562896728516,-0.010359274223446846,0.43508949875831604,0.19682620465755463,0.6181033253669739
-13.549930572509766,12.804062843322754,-102.6500473022461,-169.40521240234375,0.041437096893787384,1.339799404144287,0.20373238623142242,1.574609637260437
-31.699378967285156,6.774965286254883,-101.03399658203125,-211.1116485595703,0.11049892008304596,2.5000381469726562,0.22790402173995972,2.807363271713257
-43.16709518432617,3.6361052989959717,-92.20790100097656,-224.785888671875,0.16920147836208344,3.7569632530212402,0.22445093095302582,4.136803150177002
-54.97666549682617,3.853649854660034,-78.44042205810547,-223.13876342773438,0.22445093095302582,5.041513442993164,0.22445093095302582,5.480055809020996
-66.04037475585938,5.656163692474365,-52.86337661743164,-195.82135009765625,0.2900596559047699,6.270813941955566,0.22445093095302582,6.785324573516846
-75.17725372314453,5.345385551452637,-35.21117401123047,-180.96615600585938,0.3349498510360718,7.472489356994629,0.22099784016609192,8.028437614440918
-82.63592529296875,4.444128513336182,-23.898845672607422,-175.93154907226562,0.36948075890541077,8.61201000213623,0.20373238623142242,9.209394454956055
