阿太甲线_1,阿太甲线_2,阿太甲线_3,阿太甲线_4,阿太甲线_21,阿太甲线_22,阿太甲线_23,阿太甲线_24
-82.46805572509766,15.8911771774292,66.32869720458984,-0.5682219862937927,0.26495298743247986,-0.05628399923443794,-0.21400000154972076,-0.006087000016123056
-80.67668151855469,10.613945007324219,69.8791275024414,-0.4419499933719635,0.2632269859313965,-0.04675799980759621,-0.22694499790668488,-0.006087000016123056
-78.53353118896484,5.315084934234619,73.02965545654297,-0.38670599460601807,0.25200799107551575,-0.03030399978160858,-0.23384900391101837,-0.0034860000014305115
-75.95201110839844,-0.14598500728607178,75.80191040039062,-0.42616599798202515,0.24424099922180176,-0.012984000146389008,-0.24161599576473236,-0.006087000016123056
-72.8509292602539,-5.552985191345215,78.2066879272461,-0.4182739853858948,0.23561100661754608,0.00520200002938509,-0.24938300251960754,-0.0052200001664459705
-69.52796173095703,-10.916728973388672,80.2439956665039,-0.3156780004501343,0.2278439998626709,0.026852000504732132,-0.26146501302719116,-0.008688000030815601
-66.09675598144531,-16.042564392089844,82.1083755493164,-0.18940599262714386,0.21231000125408173,0.04070800170302391,-0.26836898922920227,-0.007821000181138515
-62.12434768676758,-21.298168182373047,83.42154693603516,-0.03945799916982651,0.20281699299812317,0.058028001338243484,-0.2735469937324524,-0.004352999851107597
-57.95710754394531,-26.40778350830078,84.50775146484375,0.023677999153733253,0.18814599514007568,0.07448200136423111,-0.2804509997367859,-0.0034860000014305115
-53.63833236694336,-31.447107315063477,85.31835174560547,0.07892200350761414,0.17088599503040314,0.09093599766492844,-0.28908100724220276,-0.006953999865800142
-49.18425750732422,-36.6161994934082,85.84794616699219,0.2525460124015808,0.15535199642181396,0.1117200031876564,-0.28217700123786926,-0.0034860000014305115
-44.546173095703125,-41.30406951904297,86.12355041503906,0.31568199396133423,0.1467220038175583,0.12644200026988983,-0.285629004240036,-0.004352999851107597
-39.669960021972656,-46.24606704711914,86.18299102783203,0.3314659893512726,0.1251469999551773,0.1454939991235733,-0.28994399309158325,-0.008688000030815601
-34.84245681762695,-50.99882125854492,86.05870056152344,0.30779001116752625,0.11392799764871597,0.15934999287128448,-0.28476598858833313,-0.007821000181138515
-29.85259246826172,-55.69750213623047,85.72905731201172,0.2841140031814575,0.09494200348854065,0.17147399485111237,-0.28390300273895264,-0.0052200001664459705
-24.554243087768555,-59.67164611816406,84.58341217041016,0.14994999766349792,0.08113399893045425,0.1844639927148819,-0.27527299523353577,-0.006953999865800142
-19.429079055786133,-63.80800247192383,83.2540283203125,-0.04735000059008598,0.06387399882078171,0.19658799469470978,-0.2735469937324524,-0.006953999865800142
-14.163204193115234,-67.54424285888672,81.69766998291016,-0.22097399830818176,0.04920300096273422,0.2130420058965683,-0.2744100093841553,-0.006953999865800142
-8.902739524841309,-71.05338287353516,79.86571502685547,-0.22886599600315094,0.028490999713540077,0.22256800532341003,-0.26319101452827454,-0.009554999880492687
-3.626039981842041,-73.99478912353516,77.56361389160156,-0.2051900029182434,0.013819999992847443,0.22949600219726562,-0.2597390115261078,-0.006953999865800142
1.5586559772491455,-76.81183624267578,74.93727111816406,-0.23675799369812012,-0.011207000352442265,0.2468159943819046,-0.25542399287223816,-0.0034860000014305115
6.9273600578308105,-79.03952026367188,71.87319946289062,-0.2998940050601959,-0.019836999475955963,0.25461000204086304,-0.239889994263649,-0.008688000030815601
12.263591766357422,-81.26720428466797,68.6848373413086,-0.3077859878540039,-0.04054899886250496,0.2554759979248047,-0.2312600016593933,-0.0034860000014305115
17.68100357055664,-82.8082046508789,65.01012420654297,-0.3077859878540039,-0.048315998166799545,0.2701979875564575,-0.22090399265289307,-0.004352999851107597
22.876523971557617,-84.19779968261719,61.05979537963867,-0.29200199246406555,-0.07506900280714035,0.26759999990463257,-0.2053699940443039,-0.0034860000014305115
28.099103927612305,-84.91693115234375,56.7528076171875,-0.36302998661994934,-0.09146600216627121,0.2753939926624298,-0.1906989961862564,-0.0034860000014305115
33.25674057006836,-85.96047973632812,52.49986267089844,-0.4419499933719635,-0.10958900302648544,0.2788580060005188,-0.1768909990787506,-0.0052200001664459705
38.4035530090332,-86.42548370361328,47.79297637939453,-0.42616599798202515,-0.12512299418449402,0.2805899977684021,-0.16480900347232819,-0.006087000016123056
43.14987564086914,-86.62013244628906,43.19417190551758,-0.29200199246406555,-0.1397940069437027,0.27972400188446045,-0.15186400711536407,-0.002618999918922782
47.982791900634766,-86.55525207519531,38.34138107299805,-0.2998940050601959,-0.1536020040512085,0.2805899977684021,-0.1371929943561554,-0.004352999851107597
52.74535369873047,-86.57147216796875,33.47237777709961,-0.23675799369812012,-0.1665470004081726,0.2840540111064911,-0.12079600244760513,-0.0052200001664459705
57.44837951660156,-86.0145492553711,28.322364807128906,-0.22097399830818176,-0.17949199676513672,0.2823219895362854,-0.10353600233793259,-0.006087000016123056
61.51279067993164,-84.77094268798828,23.04265785217285,-0.19729800522327423,-0.1941629946231842,0.2771260142326355,-0.08455000072717667,-0.0034860000014305115
65.33907318115234,-83.11640167236328,17.687292098999023,-0.28411000967025757,-0.20624500513076782,0.26933199167251587,-0.0681530013680458,-0.006087000016123056
68.97593688964844,-81.67813873291016,12.477836608886719,-0.21308200061321259,-0.22264200448989868,0.2684659957885742,-0.046578001230955124,-0.0034860000014305115
72.30973052978516,-79.52074432373047,7.176513195037842,-0.15783800184726715,-0.2278199940919876,0.2537440061569214,-0.039673998951911926,-0.006087000016123056
