220kVⅠ母_1,220kVⅠ母_2,220kVⅠ母_3,220kVⅠ母_4,220kV苏崇II线_17,220kV苏崇II线_18,220kV苏崇II线_19,220kV苏崇II线_20
80.07732391357422,-18.74991226196289,-61.22064208984375,0.038763001561164856,0.7779150009155273,0.11834599822759628,-0.8531299829483032,0.008816000074148178
78.36846923828125,-13.452422142028809,-64.78096771240234,0.09304100275039673,0.7691249847412109,0.17970800399780273,-0.8837550282478333,0.022036999464035034
76.8453598022461,-7.972998142242432,-68.74455261230469,0.09304100275039673,0.7031999826431274,0.23230400681495667,-0.9143800139427185,0.022036999464035034
75.29041290283203,-2.5631370544433594,-72.60201263427734,0.06202499940991402,0.6636450290679932,0.31558099389076233,-0.9275050163269043,0.022036999464035034
73.3215103149414,2.407942056655884,-75.64765930175781,-7.000000096013537e-06,0.6152999997138977,0.3550280034542084,-0.9012550115585327,0.022036999464035034
70.73169708251953,7.320159912109375,-78.12555694580078,-0.17834900319576263,0.5625600218772888,0.41639000177383423,-0.931879997253418,0.008816000074148178
67.80223083496094,12.2377290725708,-80.18428802490234,-0.2016109973192215,0.527400016784668,0.4646030068397522,-0.931879997253418,0.01322299987077713
64.86746215820312,17.471006393432617,-82.43933868408203,-0.2636429965496063,0.4878450036048889,0.49090099334716797,-0.9187549948692322,0.01322299987077713
61.311771392822266,22.319013595581055,-83.89848327636719,-0.511771023273468,0.4263150095939636,0.5347309708595276,-0.931879997253418,0.01322299987077713
56.95472717285156,27.01719093322754,-84.280517578125,-0.6125730276107788,0.3515999913215637,0.6136249899864197,-0.9143800139427185,-0.008812000043690205
52.27395248413086,31.736772537231445,-84.42378234863281,-0.6901130080223083,0.2900699973106384,0.6223909854888916,-0.8925049901008606,0.017629999667406082
47.49234390258789,36.55267333984375,-84.42378234863281,-0.682358980178833,0.25051501393318176,0.6749870181083679,-0.8925049901008606,0.022036999464035034
42.747886657714844,41.18128967285156,-84.38133239746094,-0.7598990201950073,0.17140500247478485,0.7319660186767578,-0.8925049901008606,-0.004404999781399965
37.5788688659668,45.64402389526367,-83.57482147216797,-0.6901130080223083,0.10987500101327896,0.7757959961891174,-0.8925049901008606,0.017629999667406082
32.17634201049805,50.14956283569336,-82.52423095703125,-0.37219899892807007,0.0659250020980835,0.819625973701477,-0.8487550020217896,0.03966499865055084
26.81096649169922,54.730018615722656,-81.62751770019531,-0.13182500004768372,0.0,0.8371580243110657,-0.8268799781799316,0.017629999667406082
21.63133430480957,58.97871398925781,-80.45489501953125,0.1628270000219345,-0.03516000136733055,0.8985199928283691,-0.7875049710273743,-0.008812000043690205
16.377403259277344,62.87959289550781,-79.1443099975586,0.22485899925231934,-0.09668999910354614,0.9029030203819275,-0.756879985332489,-0.008812000043690205
11.091631889343262,66.68950653076172,-77.62679290771484,0.19384300708770752,-0.131850004196167,0.9029030203819275,-0.7306299805641174,0.008816000074148178
5.609500885009766,70.60643768310547,-76.11458587646484,0.15507300198078156,-0.2065649926662445,0.9379670023918152,-0.6737549901008606,0.022036999464035034
0.5200880169868469,74.08458709716797,-74.5174789428711,0.17058099806308746,-0.272489994764328,0.964264988899231,-0.6343799829483032,-0.004404999781399965
-4.537483215332031,76.92596435546875,-72.17752838134766,0.3256610035896301,-0.31204500794410706,0.9774140119552612,-0.5950049757957458,0.01322299987077713
-9.446457862854004,79.46234130859375,-69.7845230102539,0.348922997713089,-0.38675999641418457,0.9861800074577332,-0.5468800067901611,0.008816000074148178
-22.703344345092773,41.91972732543945,-74.87297821044922,-95.04853820800781,-0.43070998787879944,2.28354811668396,-0.4550049901008606,1.2471829652786255
-33.0413818359375,28.258623123168945,-76.857421875,-138.78884887695312,-0.4834499955177307,3.0681049823760986,-0.41125500202178955,2.124176025390625
-44.743316650390625,13.580829620361328,-80.12592315673828,-193.18316650390625,-0.4175249934196472,3.0724880695343018,-0.21875500679016113,2.393002986907959
-42.38169860839844,39.47431945800781,-67.94864654541016,-122.98619842529297,-0.44828999042510986,3.8570449352264404,-0.18813000619411469,3.1377859115600586
-44.85476303100586,10.07592487335205,-61.294925689697266,-164.9663543701172,-0.38675999641418457,4.514494895935059,-0.004379999823868275,4.133768081665039
-50.6181640625,18.594717025756836,-57.52766418457031,-152.95541381835938,-0.3428100049495697,5.022922992706299,0.07436999678611755,4.755155086517334
-56.084373474121094,6.742251873016357,-55.01262283325195,-180.67596435546875,-0.3515999913215637,5.588329792022705,0.20562000572681427,5.376542091369629
-50.87820816040039,22.495595932006836,-40.914581298828125,-120.47390747070312,-0.2768850028514862,6.2019500732421875,0.3849950134754181,6.293198108673096
-53.97749328613281,10.696640968322754,-34.648193359375,-135.2917938232422,-0.45268499851226807,6.8988471031188965,0.31937000155448914,6.720676898956299
-53.39903259277344,24.619943618774414,-22.407251358032227,-88.0234146118164,-0.413129985332489,7.328381061553955,0.4724949896335602,7.320028781890869
-59.024452209472656,29.47330093383789,-17.32410430908203,-80.15310668945312,-0.395550012588501,7.937617778778076,0.5687450170516968,8.091254234313965
-60.218528747558594,32.45915985107422,-9.741829872131348,-64.40473175048828,-0.45268499851226807,8.595067977905273,0.5731199979782104,8.633315086364746
-67.80223083496094,32.03107833862305,-6.89781379699707,-73.55445098876953,-0.43950000405311584,9.015835762023926,0.6956200003623962,9.25029468536377
-73.14107513427734,35.44501495361328,-1.7509939670562744,-68.08788299560547,-0.30764999985694885,9.445369720458984,0.8968700170516968,9.977450370788574
-80.77253723144531,32.91934585571289,-3.326875925064087,-88.1009521484375,-0.3515999913215637,10.006394386291504,0.927495002746582,10.537138938903809
