220kVI母_1,220kVI母_2,220kVI母_3,220kVI母_4,220kV骑洱线_29,220kV骑洱线_30,220kV骑洱线_31,220kV骑洱线_32
-81.25196075439453,62.57114028930664,18.312868118286133,-0.5785390138626099,-0.030559999868273735,-0.08728499710559845,0.04781699925661087,-0.04371500015258789
-82.8272476196289,58.679954528808594,23.596649169921875,-0.7739890217781067,-0.030559999868273735,-0.10474500060081482,0.04781699925661087,-0.02623100019991398
-83.76605224609375,54.5681037902832,28.5515193939209,-0.8756229877471924,-0.030559999868273735,-0.10474500060081482,0.013032999821007252,-0.008747000247240067
-84.29645538330078,50.39167404174805,33.294189453125,-0.8599870204925537,-0.01309600006788969,-0.10474500060081482,-0.004358999896794558,-0.02623100019991398
-84.68894958496094,45.90308380126953,38.28619384765625,-0.6801729798316956,-0.030559999868273735,-0.10474500060081482,0.013032999821007252,-0.02623100019991398
-84.6783447265625,41.01084518432617,43.23045349121094,-0.453451007604599,-0.030559999868273735,-0.13966499269008636,0.013032999821007252,-0.02623100019991398
-84.05777740478516,36.091697692871094,47.62299346923828,-0.32836300134658813,-0.030559999868273735,-0.10474500060081482,0.04781699925661087,-0.02623100019991398
-83.22504425048828,31.382448196411133,51.638877868652344,-0.06255099922418594,-0.01309600006788969,-0.10474500060081482,0.013032999821007252,-0.04371500015258789
-82.60978698730469,26.51173973083496,55.920013427734375,0.007811000104993582,0.0043680001981556416,-0.10474500060081482,0.04781699925661087,-0.02623100019991398
-81.77705383300781,21.178176879882812,60.37621307373047,-0.015643000602722168,0.0043680001981556416,-0.10474500060081482,-0.004358999896794558,-0.02623100019991398
-80.37149810791016,15.871524810791016,64.19050598144531,-0.16418500244617462,0.0043680001981556416,-0.12220499664545059,-0.004358999896794558,-0.02623100019991398
-78.57874298095703,10.84473705291748,67.26210021972656,-0.3205449879169464,0.021832000464200974,-0.10474500060081482,-0.021750999614596367,-0.02623100019991398
-76.53670501708984,5.7695112228393555,70.3283920288086,-0.22672900557518005,0.03929600119590759,-0.10474500060081482,-0.039142999798059464,-0.02623100019991398
-74.1286849975586,0.3498370051383972,73.41590118408203,-0.12509499490261078,0.021832000464200974,-0.12220499664545059,-0.039142999798059464,-0.02623100019991398
-70.93567657470703,-5.1290388107299805,75.74479675292969,-0.015643000602722168,0.03929600119590759,-0.08728499710559845,-0.004358999896794558,-0.02623100019991398
-67.76919555664062,-10.037423133850098,77.53258514404297,0.039083000272512436,0.03929600119590759,-0.10474500060081482,-0.039142999798059464,-0.008747000247240067
-64.65574645996094,-14.88122272491455,79.36280822753906,0.2892589867115021,0.021832000464200974,-0.10474500060081482,-0.05653500184416771,-0.02623100019991398
-61.07554244995117,-20.236312866210938,81.38932037353516,0.6410689949989319,0.03929600119590759,-0.10474500060081482,-0.05653500184416771,-0.02623100019991398
-57.0975456237793,-25.64522361755371,82.85350036621094,0.8052470088005066,0.03929600119590759,-0.10474500060081482,-0.05653500184416771,-0.02623100019991398
-52.94451141357422,-30.52131462097168,83.61741638183594,0.8130649924278259,0.03929600119590759,-0.10474500060081482,-0.05653500184416771,-0.008747000247240067
-48.77556610107422,-35.25209426879883,84.14261627197266,0.758338987827301,0.03929600119590759,-0.10474500060081482,-0.05653500184416771,-0.02623100019991398
-44.13987350463867,-40.18738555908203,84.48744201660156,0.7739750146865845,0.03929600119590759,-0.08728499710559845,-0.05653500184416771,-0.04371500015258789
-39.148807525634766,-45.09577178955078,84.21157836914062,0.4925270080566406,0.03929600119590759,-0.08728499710559845,-0.07392700016498566,-0.02623100019991398
-34.39112091064453,-49.379844665527344,83.52723693847656,0.08599100261926651,0.03929600119590759,-0.08728499710559845,-0.07392700016498566,-0.02623100019991398
-29.744815826416016,-53.42172622680664,82.82697296142578,-0.023460999131202698,0.03929600119590759,-0.10474500060081482,-0.07392700016498566,-0.008747000247240067
-24.700712203979492,-57.82958221435547,82.20098114013672,-0.078186996281147,0.03929600119590759,-0.08728499710559845,-0.07392700016498566,-0.04371500015258789
-19.481576919555664,-62.016780853271484,81.24077606201172,0.046900998800992966,0.03929600119590759,-0.06982500106096268,-0.07392700016498566,-0.02623100019991398
-14.288960456848145,-65.65501403808594,79.638671875,0.0156289990991354,0.03929600119590759,-0.034905001521110535,-0.0913190022110939,-0.008747000247240067
-9.31380844116211,-68.71199035644531,77.77130889892578,-0.015643000602722168,0.03929600119590759,-0.06982500106096268,-0.0913190022110939,-0.04371500015258789
-4.052239894866943,-71.72590637207031,75.62808990478516,0.15635299682617188,0.03929600119590759,-0.052365001291036606,-0.07392700016498566,-0.02623100019991398
1.4427039623260498,-74.64295196533203,72.98089599609375,0.06253699958324432,0.021832000464200974,-0.034905001521110535,-0.0913190022110939,-0.04371500015258789
6.582280158996582,-76.95721435546875,70.03662109375,-0.19545699656009674,0.03929600119590759,-0.034905001521110535,-0.0913190022110939,-0.02623100019991398
