220kVⅡ段母线电压_17,220kVⅡ段母线电压_18,220kVⅡ段母线电压_19,220kVⅡ段母线电压_20,和谢Ⅰ回224断路器_13,和谢Ⅰ回224断路器_14,和谢Ⅰ回224断路器_15,和谢Ⅰ回224断路器_16
32.914798736572266,52.05986785888672,-84.70199584960938,0.06539899855852127,-0.47012999653816223,-0.57949298620224,0.4176799952983856,-0.10884600132703781
27.830400466918945,56.43164825439453,-83.76581573486328,-0.26159098744392395,-0.4339660108089447,-0.6519290208816528,0.4176799952983856,-0.10884600132703781
22.701400756835938,60.580379486083984,-82.7850570678711,-0.2288919985294342,-0.3978019952774048,-0.7062559723854065,0.4176799952983856,-0.10884600132703781
17.617000579833984,64.10456848144531,-81.31391143798828,9.999999974752427e-07,-0.32547399401664734,-0.7243649959564209,0.39952000975608826,-0.12698699533939362
12.398799896240234,67.18265533447266,-79.48613739013672,0.5231850147247314,-0.3073920011520386,-0.7243649959564209,0.3450399935245514,-0.12698699533939362
7.024499893188477,70.30535888671875,-77.43545532226562,0.9809709787368774,-0.2531459927558899,-0.7605829834938049,0.32688000798225403,-0.14512799680233002
1.6055999994277954,73.29422760009766,-75.18416595458984,1.242563009262085,-0.21698200702667236,-0.7786920070648193,0.3087199926376343,-0.14512799680233002
-3.478800058364868,75.88160705566406,-72.62081146240234,1.1444660425186157,-0.16273599863052368,-0.8149099946022034,0.27239999175071716,-0.10884600132703781
-6.533899784088135,80.78871154785156,-47.678306579589844,-52.77618408203125,-0.14465400576591492,-0.7605829834938049,-1.3438400030136108,1.4331389665603638
-7.738100051879883,85.42814636230469,-36.75620651245117,-70.56443786621094,-0.2893100082874298,-0.9416729807853699,-2.5787200927734375,3.0476880073547363
-14.272000312805176,87.10102081298828,-24.474414825439453,-84.82120513916016,-0.1084899976849556,-0.796800971031189,-3.3777599334716797,3.464931011199951
-21.631000518798828,86.43186950683594,-23.87258529663086,-71.28382110595703,-0.1084899976849556,-0.8149099946022034,-3.9770400524139404,4.099865913391113
-26.826900482177734,86.8110580444336,-18.188634872436523,-72.65718078613281,-0.1084899976849556,-0.8692370057106018,-4.667119979858398,4.825506210327148
-34.60960006713867,85.13818359375,-14.622235298156738,-61.86650848388672,-0.16273599863052368,-0.9054549932479858,-5.175600051879883,5.4604411125183105
-41.1880989074707,86.27574157714844,-18.45611572265625,-45.61510467529297,-0.1988999992609024,-0.9597820043563843,-5.992800235748291,6.367490768432617
-50.063499450683594,80.4095230102539,-10.476295471191406,-34.20315170288086,-0.36163800954818726,-1.1951990127563477,-6.6102399826049805,7.437809944152832
-52.09280014038086,81.01175689697266,-13.440864562988281,-26.878576278686523,-0.2893100082874298,-1.0684360265731812,-7.245840072631836,7.80063009262085
-54.211299896240234,83.19764709472656,-11.679954528808594,-29.788787841796875,-0.379720002412796,-1.1589809656143188,-7.391119956970215,8.163450241088867
-58.87200164794922,82.1493148803711,-12.058884620666504,-19.03081703186035,-0.2893100082874298,-1.0865449905395508,-7.645359992980957,8.272295951843262
-62.46229934692383,82.52849578857422,-10.788354873657227,-15.826314926147461,-0.2893100082874298,-1.1408720016479492,-7.7179999351501465,8.417424201965332
-67.47979736328125,80.25338745117188,-9.005154609680176,-5.951217174530029,-0.27122798562049866,-1.1408720016479492,-7.7179999351501465,8.381141662597656
-69.86589813232422,79.18274688720703,-13.151095390319824,7.25917911529541,-0.3073920011520386,-1.1408720016479492,-7.790639877319336,8.435564994812012
-71.89520263671875,78.37976837158203,-11.23415470123291,8.828730583190918,-0.2893100082874298,-1.1227630376815796,-7.863279819488525,8.453705787658691
-75.19560241699219,75.48011779785156,-4.012195110321045,7.161081790924072,-0.21698200702667236,-1.1589809656143188,-7.736159801483154,8.399283409118652
-76.73429870605469,73.47267150878906,-0.7578549981117249,7.651566982269287,-0.16273599863052368,-1.0141090154647827,-7.572720050811768,8.018321990966797
-80.1239013671875,68.69939422607422,6.909904956817627,8.632536888122559,-0.18081800639629364,-1.0684360265731812,-7.136879920959473,7.6373610496521
-82.71070098876953,62.76626968383789,10.654624938964844,16.774587631225586,-0.09040799736976624,-0.9959999918937683,-6.646560192108154,6.9842848777771
-84.8738021850586,58.305267333984375,9.98592472076416,29.36370277404785,-0.07232599705457687,-0.9959999918937683,-6.010960102081299,6.3493499755859375
-87.50520324707031,52.34983444213867,11.211874961853027,42.31250762939453,1.9999999949504854e-06,-0.9778910279273987,-5.556960105895996,5.750697135925293
-89.19999694824219,47.331207275390625,11.523935317993164,53.20127487182617,1.9999999949504854e-06,-0.9054549932479858,-5.048480033874512,5.170185089111328
-89.11080169677734,45.925994873046875,13.151104927062988,52.776187896728516,0.07232999801635742,-0.8511279821395874,-4.44920015335083,4.426403999328613
-87.54979705810547,43.91854476928711,15.35781478881836,49.767879486083984,0.1265760064125061,-0.8330190181732178,-3.6683199405670166,3.5919179916381836
-85.74349975585938,40.99658966064453,15.803614616394043,50.814247131347656,0.25314998626708984,-0.6881470084190369,-2.778480052947998,2.4671759605407715
-84.73999786376953,37.18243408203125,16.494604110717773,54.54193115234375,0.25314998626708984,-0.6700379848480225,-1.7978399991989136,1.4149980545043945
-84.8292007446289,32.43146896362305,15.714454650878906,64.41703033447266,0.3616420030593872,-0.5070570111274719,-0.9806399941444397,0.39910200238227844
-85.00759887695312,26.98904800415039,18.61215591430664,69.12568664550781,0.39780598878860474,-0.4889479875564575,-0.16344000399112701,-0.5079479813575745
-84.3386001586914,19.918363571166992,22.891834259033203,72.82067108154297,0.4158880114555359,-0.39840298891067505,0.7445600032806396,-1.5238440036773682
-82.62149810791016,13.516827583312988,26.07930564880371,75.27310180664062,0.43397000432014465,-0.27164000272750854,1.6888799667358398,-2.6123039722442627
-80.03469848632812,8.966608047485352,29.24448585510254,73.27845764160156,0.5062980055809021,-0.1992039978504181,2.7058401107788086,-3.7733280658721924
-77.24720001220703,3.6357131004333496,32.03073501586914,72.78797149658203,0.5786259770393372,-0.14487700164318085,3.759119987487793,-4.9706339836120605
-74.3927993774414,-1.8959269523620605,33.83622360229492,74.29212951660156,0.6871179938316345,-4.999999873689376e-06,4.848720073699951,-6.240503787994385
-71.47149658203125,-7.003771781921387,34.19286346435547,77.49662780761719,0.7052000164985657,0.07243099808692932,5.938320159912109,-7.510374069213867
-68.4832992553711,-11.777042388916016,33.479583740234375,81.94369506835938,0.7775279879570007,0.181085005402565,7.009759902954102,-8.780243873596191
-64.40239715576172,-16.081907272338867,33.12294387817383,82.92466735839844,0.8498560190200806,0.2897390127182007,8.081199645996094,-9.9594087600708
-59.49639892578125,-20.47599220275879,31.562644958496094,84.55961608886719,0.9041020274162292,0.39839300513267517,9.11631965637207,-11.192996978759766
-54.947200775146484,-25.07082176208496,31.27287483215332,85.21359252929688,0.9764299988746643,0.5070469975471497,10.187760353088379,-12.44472599029541
-50.9109001159668,-29.442602157592773,31.785545349121094,84.9520034790039,1.030676007270813,0.6157010197639465,11.313679695129395,-13.76901912689209
-46.6515998840332,-34.26048278808594,31.295164108276367,86.68505096435547,1.1210860013961792,0.7243549823760986,12.49407958984375,-15.09331226348877
-42.1693000793457,-39.74751281738281,31.206005096435547,88.71238708496094,1.2295780181884766,0.8692269921302795,13.601840019226074,-16.435745239257812
-37.86539840698242,-44.8553581237793,31.317455291748047,89.75875854492188,1.2838239669799805,0.959771990776062,14.655119895935059,-17.669334411621094
-33.739898681640625,-49.6063232421875,31.986154556274414,89.79145812988281,1.338070034980774,1.1227530241012573,15.672080039978027,-18.848499298095703
-29.012300491333008,-54.22345733642578,33.83622360229492,86.39076232910156,1.410398006439209,1.2314070463180542,16.652719497680664,-19.95509910583496
-23.794099807739258,-58.41679763793945,35.12904357910156,82.23798370361328,1.4465620517730713,1.3400609493255615,17.633359909057617,-21.152406692504883
-18.285999298095703,-61.69563293457031,35.97606658935547,76.94075012207031,1.5188900232315063,1.4487149715423584,18.632160186767578,-22.38599395751953
-12.711000442504883,-64.10456848144531,35.262786865234375,72.55908203125,1.555053949356079,1.593587040901184,19.63096046447754,-23.5107364654541
-7.046800136566162,-66.78117370605469,33.72477340698242,69.94316101074219,1.5912179946899414,1.6841319799423218,20.538959503173828,-24.56291389465332
-1.4940999746322632,-69.92617797851562,32.05302429199219,68.7332992553711,1.6454639434814453,1.774677038192749,21.410640716552734,-25.57880973815918
3.478800058364868,-72.89273834228516,30.024635314941406,68.60250091552734,1.6997100114822388,1.8833309412002563,22.227840423583984,-26.52214241027832
8.273300170898438,-75.4801254272461,28.04082489013672,68.40631103515625,1.6997100114822388,1.9919849634170532,22.972400665283203,-27.42919158935547
13.602999687194824,-78.0675048828125,26.525104522705078,66.18277740478516,1.735874056816101,2.0644209384918213,23.69879913330078,-28.2636775970459
