220kV I母电压_A相_1,220kV I母电压_B相_2,220kV I母电压_C相_3,220kV I母电压_3U0_4,220kV凤华Ⅰ回线_A相_17,220kV凤华Ⅰ回线_B相_18,220kV凤华Ⅰ回线_C相_19,220kV凤华Ⅰ回线_3I0_20
-25.06757926940918,84.26113891601562,-58.858272552490234,0.9024149775505066,0.022856634110212326,-0.060673948377370834,0.04547037184238434,0.005680500529706478
-46.121002197265625,85.840576171875,-39.46403884887695,0.5912374258041382,0.03809439018368721,-0.058777887374162674,0.03220817819237709,0.0037870004307478666
-64.40423583984375,82.141357421875,-17.710487365722656,0.1400299072265625,0.053332146257162094,-0.05498576536774635,0.00947299413383007,0.0018935002153739333
-77.0843734741211,73.67264556884766,3.3674871921539307,0.1400299072265625,0.06476046144962311,-0.05119364336133003,-0.011367592960596085,0.0037870004307478666
-84.79908752441406,59.64470672607422,24.69490623474121,-0.5445607900619507,0.06856989860534668,-0.03981727734208107,-0.02273518592119217,0.0037870004307478666
-85.92807006835938,39.787384033203125,45.86642074584961,-0.4356486201286316,0.06856989860534668,-0.020856669172644615,-0.03599737584590912,0.0018935002153739333
-81.7571029663086,17.94536781311035,63.8575325012207,0.2333831787109375,0.05904630571603775,-0.003792121773585677,-0.0473649688065052,0.0037870004307478666
-73.5406265258789,-3.2420120239257812,76.74544525146484,0.0466766357421875,0.053332146257162094,0.015168487094342709,-0.05683796480298042,0.0018935002153739333
-58.592071533203125,-25.42693328857422,84.19757080078125,0.4512074887752533,0.04571326822042465,0.030336974188685417,-0.06062716245651245,0.0037870004307478666
-38.97078323364258,-46.31297302246094,85.57990264892578,0.6379140615463257,0.028570791706442833,0.04360939934849739,-0.06062716245651245,0.005680500529706478
-17.541032791137695,-63.96738815307617,81.41211700439453,0.0,0.009523597545921803,0.056881826370954514,-0.05115416646003723,0.0018935002153739333
3.9200761318206787,-77.3302993774414,73.2012710571289,0.015558878891170025,-0.009523597545921803,0.07015424966812134,-0.04547037184238434,0.0037870004307478666
25.172115325927734,-84.5624771118164,58.8686637878418,-0.7001495361328125,-0.022856634110212326,0.07394637167453766,-0.03220817819237709,0.0037870004307478666
46.36143493652344,-86.04840087890625,39.339317321777344,-0.3734130859375,-0.04571326822042465,0.07584243267774582,-0.020840587094426155,0.0037870004307478666
64.58194732666016,-82.2244873046875,17.62734031677246,0.093353271484375,-0.05523686483502388,0.06825819611549377,-0.001894598826766014,0.005680500529706478
77.0321044921875,-73.61029815673828,-3.492208957672119,-0.093353271484375,-0.06476046144962311,0.0625700131058693,0.017051389440894127,0.0037870004307478666
84.78863525390625,-59.3641471862793,-24.99631690979004,0.8090617060661316,-0.07237934321165085,0.05308970436453819,0.030313581228256226,0.0018935002153739333
85.84443664550781,-39.371742248535156,-46.14704513549805,0.5756785273551941,-0.07047462463378906,0.03792121633887291,0.04547037184238434,0.007574000861495733
81.76756286621094,-17.716764450073242,-64.03422546386719,-0.0466766357421875,-0.06285574287176132,0.017064549028873444,0.05873256176710129,0.0
73.5301742553711,3.3459227085113525,-76.90135192871094,0.093353271484375,-0.05523686483502388,-0.0018960608867928386,0.06820555776357651,0.0037870004307478666
58.56071090698242,25.5620174407959,-84.4366226196289,-0.280059814453125,-0.04571326822042465,-0.015168487094342709,0.0738893523812294,0.0037870004307478666
38.866249084472656,46.56235885620117,-85.81895446777344,-0.4356486201286316,-0.026666073128581047,-0.030336974188685417,0.06820555776357651,0.0018935002153739333
17.279695510864258,64.04013061523438,-81.40172576904297,0.1555887907743454,-0.011428317055106163,-0.04550546035170555,0.06252176314592361,0.0018935002153739333
-4.306857109069824,77.30951690673828,-73.0557632446289,0.0777943953871727,0.009523597545921803,-0.056881826370954514,0.05494336411356926,0.0018935002153739333
-25.443906784057617,84.50012969970703,-58.66079330444336,0.8712972402572632,0.024761352688074112,-0.058777887374162674,0.04925956949591637,0.0037870004307478666
-46.56005096435547,85.83018493652344,-39.0794792175293,0.56011962890625,0.039999108761548996,-0.058777887374162674,0.026524383574724197,0.0018935002153739333
-64.68648529052734,82.01667022705078,-17.409076690673828,0.0466766357421875,0.053332146257162094,-0.056881826370954514,0.00947299413383007,0.005680500529706478
-77.22026824951172,73.48560333251953,3.8144068717956543,0.2956187129020691,0.06285574287176132,-0.04929758235812187,-0.007578395307064056,0.0018935002153739333
-84.8304443359375,59.14593505859375,25.19379234313965,-0.7001495361328125,0.06856989860534668,-0.03792121633887291,-0.020840587094426155,0.005680500529706478
-85.76081085205078,39.26782989501953,46.230194091796875,-0.3734130859375,0.0666651800274849,-0.024648791179060936,-0.034102778881788254,0.005680500529706478
-81.81982421875,17.633636474609375,64.19012451171875,0.1711476743221283,0.060951024293899536,-0.0018960608867928386,-0.04547037184238434,0.0018935002153739333
-73.3001937866211,-3.69921875,77.02606964111328,0.0777943953871727,0.053332146257162094,0.011376365087926388,-0.06062716245651245,0.0037870004307478666
-58.3098258972168,-25.84257698059082,84.31189727783203,0.3889719843864441,0.04761798679828644,0.028440913185477257,-0.06252176314592361,0.0018935002153739333
-38.636268615722656,-46.66626739501953,85.59030151367188,0.6223551630973816,0.024761352688074112,0.04360939934849739,-0.06252176314592361,0.0037870004307478666
-17.060171127319336,-64.31029510498047,81.29779052734375,0.0777943953871727,0.013333036564290524,0.060673948377370834,-0.05683796480298042,0.005680500529706478
4.380031585693359,-77.53811645507812,72.97261810302734,-0.015558878891170025,-0.009523597545921803,0.06825819611549377,-0.0473649688065052,0.0037870004307478666
