220kV IV段电压_A相_5,220kV IV段电压_B相_6,220kV IV段电压_C相_7,220kV IV段电压_3U0_8,220kV虹花II回_A相_13,220kV虹花II回_B相_14,220kV虹花II回_C相_15,220kV虹花II回_3I0_16
-71.4410400390625,75.8880386352539,-4.125321388244629,0.280077189207077,-0.473969429731369,0.45542651414871216,0.12962856888771057,0.0558239109814167
-81.74454498291016,63.30556869506836,17.952404022216797,-1.151428461074829,-0.49255645275115967,0.3531879186630249,0.24999795854091644,0.0372159406542778
-83.40138244628906,44.96992492675781,38.00893020629883,-0.6690732836723328,-0.455382376909256,0.2416548877954483,0.3611081838607788,0.0465199276804924
-82.36585998535156,24.93730354309082,57.4020881652832,-0.09335906058549881,-0.44608885049819946,0.055766511708498,0.4814775586128235,0.00930398516356945
-75.0343246459961,3.5698628425598145,71.26026153564453,-0.31119686365127563,-0.3438601791858673,-0.06506092846393585,0.5185142755508423,0.0372159406542778
-62.587284088134766,-18.449464797973633,81.26261138916016,0.560154378414154,-0.23233795166015625,-0.2044772058725357,0.5925877690315247,0.0558239109814167
-44.72443389892578,-38.42000198364258,83.56367492675781,0.7001929879188538,-0.11152221262454987,-0.34389349818229675,0.5370326638221741,0.02791195549070835
-24.365962982177734,-57.49031448364258,81.91561889648438,0.12447874993085861,0.009293518029153347,-0.43683767318725586,0.5370326638221741,0.02791195549070835
-3.593280553817749,-71.69733428955078,75.61361694335938,0.35787639021873474,0.18587036430835724,-0.49260419607162476,0.4537000060081482,0.0372159406542778
18.598073959350586,-82.1275405883789,63.35166931152344,-0.40455594658851624,0.2973925769329071,-0.5204874277114868,0.3981449007987976,0.0558239109814167
38.977256774902344,-84.43502044677734,45.00539016723633,-0.40455594658851624,0.35315367579460144,-0.5483707189559937,0.20370204746723175,0.00930398516356945
57.52355194091797,-82.16893005371094,24.928136825561523,0.7468724846839905,0.5018499493598938,-0.5018985867500305,0.09259183704853058,0.02791195549070835
71.33749389648438,-75.8880386352539,4.446640491485596,0.10891890525817871,0.5111435055732727,-0.38107115030288696,-0.03703673556447029,0.00930398516356945
81.53743743896484,-63.40904235839844,-17.558528900146484,1.151428461074829,0.5576111078262329,-0.3160102367401123,-0.14814694225788116,0.02791195549070835
83.16321563720703,-44.9492301940918,-37.70833969116211,0.8713512420654297,0.5111435055732727,-0.13941627740859985,-0.26851633191108704,0.0186079703271389
82.51083374023438,-25.351200103759766,-57.5057373046875,0.6379535794258118,0.5204370021820068,0.17659395933151245,-0.26851633191108704,0.1395597755908966
72.43515014648438,-0.24833828210830688,-54.178531646728516,27.6342830657959,0.3252731263637543,-0.511193037033081,-5.648102283477783,-5.8801188468933105
70.36409759521484,23.685264587402344,-52.28171157836914,71.73088073730469,0.8364166021347046,0.12082744389772415,-9.9258451461792,-9.006258010864258
47.14756774902344,40.98616409301758,-55.6503791809082,56.76231002807617,0.6412527561187744,0.8736753463745117,-16.536903381347656,-15.1561918258667
22.450237274169922,54.944847106933594,-54.676055908203125,39.4130859375,1.087341547012329,1.4127516746520996,-21.249826431274414,-18.87778663635254
0.7352245450019836,67.341064453125,-58.676998138427734,16.244476318359375,1.27321195602417,1.9146502017974854,-26.370155334472656,-23.287874221801758
-19.385074615478516,78.68184661865234,-50.45745086669922,15.435364723205566,1.310386061668396,2.3607823848724365,-30.25901222229004,-26.77686882019043
-40.04384994506836,82.84151458740234,-34.00798797607422,15.513164520263672,1.4033212661743164,2.686086893081665,-32.518253326416016,-28.656274795532227
-56.89188003540039,80.62716674804688,-22.82401466369629,1.5404245853424072,1.5055499076843262,2.779031276702881,-33.68490982055664,-29.53084945678711
-70.91292572021484,75.55692291259766,-7.089748382568359,-4.387876033782959,1.5334304571151733,2.8069143295288086,-33.10158157348633,-28.907482147216797
-80.32586669921875,63.04688262939453,11.816247940063477,-9.802701950073242,1.4219082593917847,2.6953814029693604,-31.036785125732422,-27.074596405029297
-83.17356872558594,44.88714599609375,24.48243522644043,-24.50675392150879,1.3289730548858643,2.416548728942871,-27.55533218383789,-23.957761764526367
-82.251953125,26.830883026123047,39.33566665649414,-28.16331672668457,1.2267444133758545,2.072655439376831,-22.953516006469727,-19.77096939086914
-73.3360595703125,4.780511856079102,49.90809631347656,-32.89350891113281,1.0780481100082397,1.6915842294692993,-17.546154022216797,-14.849160194396973
-60.27805709838867,-16.711097717285156,56.375938415527344,-36.05215835571289,0.9200583100318909,1.2175688743591309,-11.573980331420898,-9.471456527709961
-43.63713073730469,-36.20565414428711,60.70856475830078,-33.57814407348633,0.743481457233429,0.7063758373260498,-5.5925469398498535,-4.130969524383545
-22.408815383911133,-55.46221923828125,58.635536193847656,-33.624820709228516,0.5576111078262329,0.17659395933151245,0.06481428444385529,0.874574601650238
-1.8846601247787476,-69.08978271484375,55.04920196533203,-27.992158889770508,0.43679535388946533,-0.2788325548171997,5.046255111694336,5.256751537322998
19.3540096282959,-78.54733276367188,47.22352981567383,-21.208066940307617,0.2973925769329071,-0.594842791557312,8.999926567077637,8.72713851928711
39.8678092956543,-83.28645324707031,34.204925537109375,-16.135557174682617,0.15798979997634888,-0.8736753463745117,11.685090065002441,11.025222778320312
56.95401382446289,-79.48894500732422,19.838857650756836,-4.278956890106201,0.06505462527275085,-1.0781525373458862,12.842488288879395,11.899797439575195
72.41443634033203,-75.38101959228516,5.493518352508545,4.8079915046691895,0.0,-1.1153302192687988,12.555453300476074,11.499725341796875
80.53297424316406,-63.89537048339844,-10.292573928833008,11.452044486999512,0.03717407211661339,-1.022386074066162,10.694357872009277,9.741272926330566
