500kV 红宁乙线线路电压_5,500kV 红宁乙线线路电压_6,500kV 红宁乙线线路电压_7,500kV 红宁乙线线路电压_8,500kV 红宁乙线电流_37,500kV 红宁乙线电流_38,500kV 红宁乙线电流_39,500kV 红宁乙线电流_40
-33.51585006713867,87.29106903076172,-53.191184997558594,0.9562360048294067,0.061563000082969666,-0.16465599834918976,0.0917079970240593,-0.009494000114500523
-38.40009689331055,87.77626037597656,-48.800289154052734,0.9954259991645813,0.07543499767780304,-0.16465599834918976,0.08132799714803696,-0.006041999906301498
-43.36520767211914,87.96495056152344,-44.18877029418945,0.7054200172424316,0.08237099647521973,-0.16465599834918976,0.06748799979686737,-0.006041999906301498
-48.31953430175781,87.78704071044922,-39.20596694946289,0.4702799916267395,0.0962430015206337,-0.16465599834918976,0.05710799992084503,-0.006041999906301498
-52.961185455322266,87.08621215820312,-33.95410919189453,0.24297800660133362,0.09971100091934204,-0.16465599834918976,0.04672800004482269,-0.009494000114500523
-57.24163818359375,86.03496551513672,-28.745302200317383,0.1097320020198822,0.11358299851417542,-0.16465599834918976,0.036348000168800354,-0.006041999906301498
-61.31184387207031,84.7896499633789,-23.40196990966797,0.0548660010099411,0.1274549961090088,-0.16465599834918976,0.025968000292778015,-0.006041999906301498
-65.04241943359375,83.23165130615234,-18.107065200805664,0.1097320020198822,0.1274549961090088,-0.15775999426841736,0.015588000416755676,-0.006041999906301498
-68.62203979492188,81.33940887451172,-12.661493301391602,0.023514000698924065,0.13785900175571442,-0.15431199967861176,0.008667999878525734,-0.006041999906301498
-71.91055297851562,79.15066528320312,-7.210539817810059,-0.015675999224185944,0.14132699370384216,-0.15086400508880615,-0.008631999604403973,-0.009494000114500523
-74.91873168945312,76.71932220458984,-1.7649680376052856,0.11756999790668488,0.14826300740242004,-0.14396800100803375,-0.012091999873518944,-0.006041999906301498
-77.64118194580078,73.986083984375,3.745176076889038,0.15676000714302063,0.14826300740242004,-0.13707199692726135,-0.02593199908733368,-0.006041999906301498
-79.92697143554688,70.85391235351562,9.104652404785156,0.023514000698924065,0.15519900619983673,-0.13017599284648895,-0.03285200148820877,-0.006041999906301498
-81.90546417236328,67.45219421386719,14.302698135375977,-0.2194640040397644,0.16213500499725342,-0.12672799825668335,-0.04323200136423111,-0.006041999906301498
-83.90013122558594,63.921085357666016,19.678316116333008,-0.47811800241470337,0.16213500499725342,-0.11638399958610535,-0.0501520000398159,-0.006041999906301498
-85.490478515625,60.012611389160156,24.95707893371582,-0.7838000059127808,0.15519900619983673,-0.11293599754571915,-0.05361200124025345,-0.006041999906301498
-86.59563446044922,55.942405700683594,30.090551376342773,-0.854341983795166,0.15866699814796448,-0.09914399683475494,-0.06745199859142303,-0.006041999906301498
-87.31263732910156,51.597259521484375,35.13254928588867,-0.7994760274887085,0.16560299694538116,-0.08879999816417694,-0.08129200339317322,-0.006041999906301498
-87.59835815429688,47.06882095336914,40.104591369628906,-0.5251460075378418,0.16560299694538116,-0.08190400153398514,-0.08821199834346771,-0.006041999906301498
-87.85173797607422,42.281612396240234,45.15196990966797,-0.4467659890651703,0.1690710037946701,-0.07500799745321274,-0.09859199821949005,-0.006041999906301498
-87.63610076904297,37.0954704284668,49.908775329589844,-0.8778560161590576,0.16560299694538116,-0.061216000467538834,-0.1020520031452179,-0.002589999930933118
-87.0053482055664,31.75299072265625,53.93376159667969,-2.2965340614318848,0.1274549961090088,-0.057767998427152634,0.26816800236701965,0.3460620045661926
-92.61737823486328,19.49385643005371,37.462520599365234,-63.85618591308594,0.14826300740242004,-0.019840000197291374,0.20588800311088562,0.3460620045661926
-98.55287170410156,7.542008876800537,28.530061721801758,-110.13957977294922,0.1933470070362091,-0.026736000552773476,0.3166080117225647,0.484142005443573
-94.2562484741211,4.285844802856445,35.25631332397461,-95.1454849243164,0.09971100091934204,-0.019840000197291374,0.38926801085472107,0.47378599643707275
-90.80061340332031,0.10781999677419662,41.756561279296875,-85.02662658691406,0.14132699370384216,-0.006047999951988459,0.4584679901599884,0.6015099883079529
-83.23165130615234,-0.6253560185432434,47.4819450378418,-63.315364837646484,0.08930700272321701,0.0008479999960400164,0.5726479887962341,0.6705499887466431
-78.92424011230469,-4.167243003845215,44.689205169677734,-66.31732177734375,0.08930700272321701,0.014639999717473984,0.6591479778289795,0.7672060132026672
-81.27471923828125,-14.792903900146484,47.14832305908203,-84.89337921142578,0.08237099647521973,0.014639999717473984,0.7318080067634583,0.8327940106391907
-77.42554473876953,-18.98171043395996,47.30975341796875,-85.51258087158203,0.08583900332450867,0.024984000250697136,0.8113880157470703,0.9259979724884033
-74.49284362792969,-24.782426834106445,56.27988052368164,-74.85289764404297,0.05809500068426132,0.024984000250697136,0.9290279746055603,1.0295579433441162
-70.99947357177734,-29.149137496948242,55.752540588378906,-77.1494369506836,0.03381900116801262,0.04912000149488449,1.0639679431915283,1.1538300514221191
-65.36587524414062,-33.13847732543945,53.21809005737305,-78.56027221679688,0.05115899816155434,0.0767040029168129,1.1746879816055298,1.2953619956970215
-57.43571472167969,-36.40542221069336,51.802886962890625,-72.9717788696289,-0.011265000328421593,0.0835999995470047,1.3027080297470093,1.3782099485397339
-55.85615158081055,-44.33019256591797,51.286312103271484,-84.7601318359375,-0.011265000328421593,0.05601600185036659,1.4514880180358887,1.4990299940109253
-54.044776916503906,-52.57303237915039,46.85774612426758,-103.8143081665039,-0.04247700050473213,0.0767040029168129,1.5864280462265015,1.6198500394821167
