17-220kV--Ⅱ母电压Ua_17,18-220kV--Ⅱ母电压Ub_18,19-220kV--Ⅱ母电压Uc_19,20-220kV--Ⅱ母电压3Uo_20,13-220kV羊丽Ⅱ回电流Ia_13,14-220kV羊丽Ⅱ回电流Ib_14,15-220kV羊丽Ⅱ回电流Ic_15,16-220kV羊丽Ⅱ回电流3Io_16
-76.29605102539062,73.03288269042969,2.7348482608795166,-0.3107782304286957,0.15538911521434784,0.13812364637851715,-0.293512761592865,0.0
-81.33065795898438,64.85941314697266,15.849689483642578,-0.6215564608573914,0.12085819989442825,0.17265456914901733,-0.293512761592865,0.017265455797314644
-84.34520721435547,54.75912094116211,28.871295928955078,-0.8701789975166321,0.08632728457450867,0.18992002308368683,-0.2762472927570343,0.017265455797314644
-85.24646759033203,43.229251861572266,41.395660400390625,-0.8391011953353882,0.05179636925458908,0.22445093095302582,-0.2762472927570343,0.017265455797314644
-84.28305053710938,31.015666961669922,52.92552947998047,-0.4972451627254486,0.017265455797314644,0.258981853723526,-0.258981853723526,0.017265455797314644
-81.39281463623047,18.522382736206055,62.87043380737305,-0.12431129068136215,-0.03453091159462929,0.258981853723526,-0.22445093095302582,0.017265455797314644
-76.544677734375,5.81155252456665,71.07498168945312,0.031077822670340538,-0.08632728457450867,0.2762472927570343,-0.20718547701835632,0.0
-69.67647552490234,-7.272210597991943,77.50808715820312,0.2797003984451294,-0.13812364637851715,0.2762472927570343,-0.15538911521434784,0.017265455797314644
-60.912532806396484,-20.604595184326172,81.33065795898438,-1.709280252456665,-0.17265456914901733,0.293512761592865,-0.05179636925458908,0.06906182318925858
-55.1942138671875,-37.728477478027344,67.99827575683594,-48.29493713378906,-0.13812364637851715,0.293512761592865,1.2949092388153076,1.5020947456359863
-46.5545768737793,-52.956607818603516,48.761104583740234,-91.9281997680664,-0.03453091159462929,0.2762472927570343,4.160974979400635,4.48901891708374
-35.36656188964844,-65.10803985595703,33.50189208984375,-117.47416687011719,0.08632728457450867,0.293512761592865,7.406880855560303,7.803986549377441
-19.01962661743164,-71.13713836669922,28.46728515625,-106.1307601928711,0.2762472927570343,0.34530913829803467,10.290212631225586,10.94629955291748
-1.6471245288848877,-74.43138122558594,31.481834411621094,-75.67449951171875,0.43163642287254333,0.39710551500320435,12.793703079223633,13.639710426330566
12.6797513961792,-78.19180297851562,33.65727996826172,-54.261878967285156,0.5524945855140686,0.44890186190605164,14.796496391296387,15.763361930847168
25.173036575317383,-82.10760498046875,29.02668571472168,-48.69894790649414,0.6042909622192383,0.43163642287254333,16.350387573242188,17.42084503173828
36.982608795166016,-85.21538543701172,20.697830200195312,-48.20170211791992,0.6906182765960693,0.44890186190605164,17.507173538208008,18.698490142822266
