500kV红宁甲线_1,500kV红宁甲线_2,500kV红宁甲线_3,500kV红宁甲线_4,500kV红宁甲线_13,500kV红宁甲线_14,500kV红宁甲线_15,500kV红宁甲线_16
75.23600769042969,3.218885898590088,-77.69219970703125,0.23342999815940857,0.014705000445246696,0.05536000058054924,0.0025949999690055847,0.02249000035226345
72.12779998779297,8.45905876159668,-80.04405212402344,-0.031123999506235123,0.02162499912083149,0.05536000058054924,0.0025949999690055847,0.02249000035226345
68.66761779785156,13.79135513305664,-82.18997192382812,-0.31123998761177063,0.01384000014513731,0.057955000549554825,0.007784999907016754,0.023354999721050262
65.11537170410156,19.20493507385254,-84.04869079589844,-0.47464099526405334,0.011245000176131725,0.05536000058054924,0.009514999575912952,0.02249000035226345
61.2274055480957,24.455947875976562,-85.58226776123047,-0.7314140200614929,0.006054999772459269,0.06141500174999237,0.012974999845027924,0.02162499912083149
57.101173400878906,29.60941505432129,-86.60646057128906,-0.7469760179519653,0.009514999575912952,0.05968499928712845,0.010379999876022339,0.02162499912083149
52.704193115234375,34.69243621826172,-87.33260345458984,-0.7236329913139343,0.0017300000181421638,0.057089999318122864,0.01384000014513731,0.02249000035226345
48.12852096557617,39.7537841796875,-87.71735382080078,-0.5524510145187378,0.0034600000362843275,0.057955000549554825,0.02249000035226345,0.020759999752044678
43.3145866394043,44.74468231201172,-87.73902893066406,-0.23342999815940857,0.00432500010356307,0.057089999318122864,0.01643499918282032,0.02249000035226345
38.25156021118164,49.53507995605469,-87.34344482421875,-0.10893400013446808,0.0025949999690055847,0.06227999925613403,0.012974999845027924,0.020759999752044678
33.004425048828125,54.11955261230469,-86.60103607177734,-0.07780999690294266,0.0008650000090710819,0.05968499928712845,0.014705000445246696,0.019895000383257866
27.648990631103516,58.61732482910156,-85.75025939941406,0.023343000560998917,0.0017300000181421638,0.057089999318122864,0.02249000035226345,0.019029999151825905
22.223159790039062,63.05006408691406,-84.6556167602539,0.21008700132369995,0.0025949999690055847,0.05449499934911728,0.023354999721050262,0.020759999752044678
16.8623104095459,67.01676940917969,-83.20332336425781,0.2645539939403534,0.0008650000090710819,0.057089999318122864,0.020759999752044678,0.023354999721050262
11.496045112609863,70.587890625,-81.31751251220703,0.38126900792121887,0.005189999938011169,0.051899999380111694,0.02162499912083149,0.023354999721050262
6.064799785614014,73.8880615234375,-79.11198425292969,0.521327018737793,0.005189999938011169,0.04930499941110611,0.02162499912083149,0.018164999783039093
0.6552150249481201,77.00940704345703,-76.635498046875,0.8403480052947998,0.0017300000181421638,0.05449499934911728,0.02768000029027462,0.02249000035226345
-4.66772985458374,79.58885192871094,-73.73633575439453,0.9648439884185791,0.0025949999690055847,0.053630001842975616,0.025085000321269035,0.025949999690055847
-9.904034614562988,81.77271270751953,-70.62040710449219,1.143807053565979,0.0008650000090710819,0.05017000064253807,0.02768000029027462,0.023354999721050262
-15.335280418395996,83.71813201904297,-67.11973571777344,1.19827401638031,0.005189999938011169,0.04930499941110611,0.03460000082850456,0.02249000035226345
-20.755695343017578,85.49014282226562,-63.5052604675293,1.1204639673233032,0.0034600000362843275,0.04411499947309494,0.041519999504089355,0.020759999752044678
-26.019075393676758,86.84489440917969,-59.56564712524414,1.0193109512329102,0.0008650000090710819,0.042385000735521317,0.04324999824166298,0.02249000035226345
-31.120004653930664,87.64148712158203,-55.38759994506836,0.8948150277137756,0.0025949999690055847,0.040654998272657394,0.042385000735521317,0.024219999089837074
-36.12346649169922,88.15087127685547,-50.92776107788086,0.7158520221710205,0.0008650000090710819,0.03719500079751015,0.041519999504089355,0.026815000921487808
-41.09443664550781,88.46517181396484,-46.28909683227539,0.7469760179519653,0.0008650000090710819,0.029410000890493393,0.04843999817967415,0.02162499912083149
-45.9029541015625,88.44892120361328,-41.482444763183594,0.7469760179519653,-0.0008650000090710819,0.030275000259280205,0.042385000735521317,0.023354999721050262
-50.45697021484375,87.92327880859375,-36.339813232421875,0.7314140200614929,0.005189999938011169,0.03286999836564064,0.05103499814867973,0.02249000035226345
-55.02181625366211,87.1321029663086,-31.056289672851562,0.7236329913139343,0.0017300000181421638,0.029410000890493393,0.042385000735521317,0.02249000035226345
-59.467529296875,86.17293548583984,-25.604774475097656,0.7391949892044067,0.0017300000181421638,0.024219999089837074,0.04930499941110611,0.023354999721050262
-63.685813903808594,84.95366668701172,-20.191194534301758,0.7703189849853516,0.0017300000181421638,0.029410000890493393,0.05449499934911728,0.02162499912083149
-67.54670715332031,83.30628967285156,-14.783032417297363,0.6224799752235413,0.006920000072568655,0.024219999089837074,0.04930499941110611,0.024219999089837074
-71.0447998046875,81.31209564208984,-9.34777545928955,0.5835750102996826,0.006920000072568655,0.02768000029027462,0.04411499947309494,0.02249000035226345
-74.31546020507812,79.0794677734375,-3.939613103866577,0.4357360005378723,0.011245000176131725,0.026815000921487808,0.04930499941110611,0.025085000321269035
-77.21248626708984,76.55963134765625,1.5010629892349243,0.37348800897598267,0.011245000176131725,0.020759999752044678,0.05449499934911728,0.02162499912083149
-79.611328125,73.5033187866211,6.855034828186035,0.2567729949951172,0.012974999845027924,0.020759999752044678,0.04843999817967415,0.020759999752044678
-81.70152282714844,70.1868896484375,12.13856029510498,0.09337200224399567,0.014705000445246696,0.020759999752044678,0.04843999817967415,0.02162499912083149
-83.56427764892578,66.65370178222656,17.43834114074707,-0.062247999012470245,0.018164999783039093,0.012109999544918537,0.05103499814867973,0.02249000035226345
-85.18878173828125,62.92000961303711,22.74354362487793,-0.16340099275112152,0.020759999752044678,0.011245000176131725,0.05103499814867973,0.024219999089837074
