1-110kVⅠ段母线电压Ua_1,2-110kVⅠ段母线电压Ub_2,3-110kVⅠ段母线电压Uc_3,4-110kVⅠ段母线电压3Uo_4,61-110kV尖白线161电流Ia_61,62-110kV尖白线161电流Ib_62,63-110kV尖白线161电流Ic_63,64-110kV尖白线161电流3Io_64
32.21894836425781,-82.87776947021484,50.22031021118164,-0.6027883291244507,0.0,0.0,0.0,0.0
37.53046417236328,-83.51187896728516,45.46159362792969,-0.793142557144165,0.0,0.0,0.0,0.03535754978656769
42.682952880859375,-84.30451202392578,41.33737564086914,-0.34898272156715393,0.0,0.0,0.0,0.0
46.94488525390625,-83.60699462890625,36.48348617553711,-0.25380560755729675,0.0,0.0,0.0,0.03535754978656769
51.07959747314453,-83.16312408447266,31.819944381713867,-0.31725701689720154,0.0,0.0,0.0,0.0
55.53236389160156,-83.35335540771484,27.663999557495117,-0.15862850844860077,0.0,0.0,0.035305995494127274,0.03535754978656769
59.9215202331543,-82.52901458740234,22.619760513305664,-0.031725700944662094,0.0,0.0,0.0,0.0
63.73817825317383,-80.7535171508789,17.03620147705078,0.09517710655927658,-0.03532236069440842,0.0,0.035305995494127274,0.0
66.82331085205078,-78.78778076171875,11.896788597106934,-0.12690280377864838,0.0,0.0,0.0,0.0
69.2087173461914,-76.50499725341797,7.0746235847473145,-0.34898272156715393,-0.03532236069440842,0.03531922027468681,0.0,-0.03535754978656769
72.10301971435547,-73.9368667602539,1.7448623180389404,-0.19035421311855316,0.03532236069440842,0.0,0.035305995494127274,0.03535754978656769
75.53800964355469,-71.68578338623047,-3.870421886444092,0.0,0.0,0.0,0.035305995494127274,0.0
78.52772521972656,-69.40299987792969,-9.041559219360352,0.25380560755729675,0.0,0.0,-0.035305995494127274,0.0
80.37244415283203,-66.07393646240234,-13.927173614501953,0.6662397384643555,-0.03532236069440842,0.03531922027468681,-0.035305995494127274,0.03535754978656769
81.86730194091797,-62.11077117919922,-19.256935119628906,0.8883196711540222,0.03532236069440842,0.0,0.0,0.0
83.20313262939453,-58.24272155761719,-24.52324676513672,0.793142557144165,0.0,0.0,0.0,0.03535754978656769
83.4893798828125,-54.12102508544922,-29.02816390991211,0.6345140337944031,0.0,0.0,0.0,0.0
82.91688537597656,-49.30181121826172,-33.43790817260742,0.3807084262371063,0.0,0.0,0.0,0.0
83.17132568359375,-44.5460090637207,-38.60904312133789,0.06345140188932419,0.0,-0.03531922027468681,0.035305995494127274,0.03535754978656769
83.58480072021484,-40.04384994506836,-43.5898323059082,-0.06345140188932419,-0.03532236069440842,0.03531922027468681,0.0,0.03535754978656769
83.42576599121094,-35.541690826416016,-47.8409538269043,0.09517710655927658,0.0,-0.03531922027468681,0.0,0.0
83.20313262939453,-30.595659255981445,-52.536216735839844,0.22207991778850555,0.0,0.0,0.035305995494127274,0.0
82.63063049316406,-25.42768669128418,-57.13631057739258,0.22207991778850555,0.0,0.0,0.0,0.03535754978656769
81.67646789550781,-20.640180587768555,-60.87983322143555,0.31725701689720154,0.0,0.0,0.0,0.03535754978656769
79.95896911621094,-15.820967674255371,-63.925411224365234,0.4124341309070587,0.0,0.0,0.0,0.0
77.16008758544922,-10.431058883666992,-66.68546295166016,0.12690280377864838,-0.03532236069440842,0.03531922027468681,0.0,0.0
74.58384704589844,-4.787507057189941,-69.92139434814453,-0.19035421311855316,0.03532236069440842,0.0,0.035305995494127274,0.0
72.83454895019531,0.1585267335176468,-73.0304183959961,-0.15862850844860077,-0.03532236069440842,0.03531922027468681,0.0,0.0
70.41732788085938,4.882623195648193,-75.56839752197266,-0.4441598355770111,-0.03532236069440842,0.0,-0.035305995494127274,0.0
67.26858520507812,10.240826606750488,-78.0112075805664,-0.793142557144165,0.0,0.0,0.0,0.0
64.31067657470703,15.5673246383667,-80.42228698730469,-0.8565939664840698,0.0,0.0,0.035305995494127274,0.03535754978656769
60.97110366821289,20.893823623657227,-82.32577514648438,-0.7614168524742126,0.0,0.0,0.0,-0.03535754978656769
56.3275032043457,26.569080352783203,-83.37269592285156,-0.6979654431343079,0.0,0.0,0.035305995494127274,0.0
51.58848571777344,31.83216667175293,-83.84856414794922,-0.6662397384643555,-0.03532236069440842,-0.03531922027468681,0.0,0.03535754978656769
47.29474639892578,36.17580032348633,-83.72166442871094,-0.4441598355770111,-0.03532236069440842,-0.03531922027468681,0.035305995494127274,0.0
42.93739700317383,40.13896560668945,-83.27751922607422,-0.3807084262371063,0.0,0.0,0.0,0.0
38.16657257080078,45.180118560791016,-83.65821838378906,-0.4441598355770111,-0.03532236069440842,0.0,0.0,0.0
33.268531799316406,50.348087310791016,-83.9754638671875,-0.5393369197845459,0.0,0.0,0.0,0.0
28.370487213134766,53.99420166015625,-82.73819732666016,-0.5710626244544983,-0.03532236069440842,0.03531922027468681,0.0,0.03535754978656769
23.59966468811035,58.020782470703125,-81.94507598876953,-0.5076112151145935,0.0,0.0,0.0,0.0
18.638010025024414,62.459529876708984,-81.37403106689453,-0.3807084262371063,0.0,0.0,0.035305995494127274,0.0
13.580939292907715,65.59835815429688,-79.3436508178711,-0.34898272156715393,-0.03532236069440842,0.0,0.035305995494127274,0.0
8.651089668273926,68.19819641113281,-76.93256378173828,-0.19035421311855316,0.0,0.0,0.0,0.03535754978656769
3.1169369220733643,71.9394302368164,-75.0290756225586,0.0,-0.03532236069440842,0.0,0.0,0.0
-2.449021816253662,75.33190155029297,-72.84007263183594,0.031725700944662094,-0.03532236069440842,0.0,0.035305995494127274,0.03535754978656769
