漫昆I回电压_A相_13,漫昆I回电压_B相_14,漫昆I回电压_C相_15,漫昆I回电压_3U0_16,漫昆I回电流_A相_45,漫昆I回电流_B相_46,漫昆I回电流_C相_47,漫昆I回电流_3I0_48
86.6241455078125,-53.790260314941406,-32.6640625,0.5291459560394287,-0.21033911406993866,0.16067083179950714,0.05676387995481491,-0.005684094503521919
85.64932250976562,-32.909915924072266,-52.61103057861328,0.435767263174057,-0.2141290158033371,0.11908543854951859,0.10217498242855072,-0.005684094503521919
80.4226303100586,-11.073854446411133,-69.3839111328125,0.2490098625421524,-0.19707448780536652,0.051036614924669266,0.14569395780563354,-0.003789396258071065
69.37812805175781,11.14657211303711,-81.01185607910156,-0.3112623393535614,-0.18191491067409515,-0.009451225399971008,0.19110505282878876,-0.003789396258071065
53.24175262451172,32.81642150878906,-86.91400146484375,-0.949350118637085,-0.1667553335428238,-0.05481710657477379,0.22705551981925964,-0.005684094503521919
32.64609146118164,52.88648223876953,-85.9908218383789,-0.23344674706459045,-0.1212766095995903,-0.10018298774957657,0.22516338527202606,-0.005684094503521919
10.640053749084473,69.47648620605469,-80.76290893554688,-0.560272216796875,-0.05495346337556839,-0.14554886519908905,0.2081342190504074,-0.003789396258071065
-11.324501991271973,81.17363739013672,-69.72621154785156,0.7314664721488953,0.007579788099974394,-0.18902449309825897,0.1854286640882492,0.0
-33.0297966003418,86.94949340820312,-53.68980407714844,0.9182238578796387,0.04926862195134163,-0.217378169298172,0.16650737822055817,0.0
-53.283233642578125,86.0768814086914,-32.95450210571289,0.26457297801971436,0.09853724390268326,-0.21926842629909515,0.12488053739070892,0.005684094503521919
-69.46109771728516,80.68538665771484,-11.17154598236084,0.6847771406173706,0.1497008204460144,-0.20414645969867706,0.05676387995481491,0.0
-81.29374694824219,69.42454528808594,11.17154598236084,-0.560272216796875,0.18380986154079437,-0.18902449309825897,-0.005676387809216976,0.005684094503521919
-86.91451263427734,53.56171798706055,32.71592712402344,-0.5291459560394287,0.21602395176887512,-0.168231800198555,-0.05487174913287163,0.00757879251614213
-85.81525421142578,32.72292709350586,52.66289520263672,-0.23344674706459045,0.2236037403345108,-0.12286592274904251,-0.10785137116909027,0.00757879251614213
-80.54707336425781,10.938807487487793,69.28018188476562,-0.17119428515434265,0.20275932550430298,-0.05859759449958801,-0.14758609235286713,0.005684094503521919
-69.38850402832031,-11.30239486694336,80.80439758300781,0.48245659470558167,0.1857048124074936,0.0018902450101450086,-0.19299718737602234,0.003789396258071065
-53.17953109741211,-33.013797760009766,86.56132507324219,0.8559713959693909,0.17054523527622223,0.04725612327456474,-0.22705551981925964,0.00947349052876234
-32.53201675415039,-53.12541198730469,85.65888977050781,0.10894181579351425,0.12506650388240814,0.09451224654912949,-0.22705551981925964,0.005684094503521919
-10.42227554321289,-69.73619079589844,80.39985656738281,0.5447090864181519,0.06253325194120407,0.13798788189888,-0.210026353597641,0.005684094503521919
11.594133377075195,-81.40217590332031,69.3631591796875,-0.5758352875709534,0.0018949470249935985,0.18146352469921112,-0.19110505282878876,0.0018946981290355325
33.21646499633789,-87.12609100341797,53.38899230957031,-0.7314664721488953,-0.04168883338570595,0.20981720089912415,-0.16839951276779175,0.0
53.30397415161133,-86.27425384521484,32.69518280029297,-0.3112623393535614,-0.09095745533704758,0.21548792719841003,-0.12298840284347534,0.0
69.46109771728516,-80.77888488769531,10.912224769592285,-0.6225246787071228,-0.1402260810136795,0.19847571849822998,-0.05297962203621864,-0.0018946981290355325
81.16930389404297,-69.46610260009766,-11.461984634399414,0.45133036375045776,-0.18001995980739594,0.18146352469921112,0.0018921293085440993,-0.0018946981290355325
86.6656265258789,-53.45783615112305,-33.0374870300293,0.4980197250843048,-0.21223406493663788,0.15878057479858398,0.05487174913287163,-0.003789396258071065
85.60784149169922,-32.53593826293945,-52.95333480834961,0.45133036375045776,-0.21602395176887512,0.1134146973490715,0.10217498242855072,-0.0018946981290355325
80.2878189086914,-10.689489364624023,-69.65360260009766,0.2490098625421524,-0.19896943867206573,0.05292686074972153,0.14380182325839996,-0.005684094503521919
69.14997863769531,11.541324615478516,-81.18819427490234,-0.32682543992996216,-0.18191491067409515,-0.011341470293700695,0.19110505282878876,-0.003789396258071065
52.92026901245117,33.15923309326172,-86.93474578857422,-0.9026607275009155,-0.1667553335428238,-0.05670734867453575,0.22327125072479248,-0.003789396258071065
32.25201416015625,53.208518981933594,-85.97007751464844,-0.26457297801971436,-0.12317155301570892,-0.10018298774957657,0.22516338527202606,-0.003789396258071065
10.266718864440918,69.7258071899414,-80.62805938720703,-0.560272216796875,-0.05495346337556839,-0.14554886519908905,0.2081342190504074,-0.003789396258071065
-11.728948593139648,81.36062622070312,-69.47726440429688,0.7314664721488953,0.0056848409585654736,-0.18902449309825897,0.18921293318271637,-0.003789396258071065
-33.39276123046875,86.97026824951172,-53.34749984741211,0.9337869882583618,0.05116356909275055,-0.21548792719841003,0.17029163241386414,-0.0018946981290355325
-53.60471725463867,86.02494049072266,-32.591453552246094,0.26457297801971436,0.09853724390268326,-0.22304891049861908,0.12109627574682236,0.005684094503521919
-69.66850280761719,80.53995513916016,-10.818868637084961,0.6536508798599243,0.14780586957931519,-0.20603670179843903,0.05487174913287163,0.0018946981290355325
-81.45967102050781,69.2063980102539,11.555340766906738,-0.5758352875709534,0.18759974837303162,-0.19091475009918213,-0.005676387809216976,0.005684094503521919
-86.93525695800781,53.22929382324219,33.089351654052734,-0.5447090864181519,0.21791890263557434,-0.168231800198555,-0.05487174913287163,0.00757879251614213
