5-110kVⅠ段母线电压Ua_5,6-110kVⅠ段母线电压Ub_6,7-110kVⅠ段母线电压Uc_7,8-110kVⅠ段母线电压3Uo_8,45-110kV云拉T线187线路电流Ia_45,46-110kV云拉T线187线路电流Ib_46,47-110kV云拉T线187线路电流Ic_47,48-110kV云拉T线187线路电流3Io_48
-15.158483505249023,-64.3702392578125,79.28861236572266,0.44384264945983887,0.14152315258979797,-0.0352686308324337,-0.07061385363340378,0.0
-9.355131149291992,-67.82656860351562,76.87824249267578,0.5706548094749451,0.07076157629489899,-0.0705372616648674,-0.03530692681670189,0.0
-3.5834908485412598,-71.12435913085938,74.46786499023438,0.4121395945549011,0.14152315258979797,-0.0705372616648674,0.0,0.0
1.3953415155410767,-74.00991821289062,72.69180297851562,0.03170304745435715,0.07076157629489899,0.0,-0.07061385363340378,0.0
6.849858283996582,-77.59309387207031,70.56686401367188,0.4121395945549011,0.07076157629489899,-0.0705372616648674,-0.03530692681670189,-0.03534708544611931
12.39951229095459,-79.84446716308594,67.23674774169922,0.4121395945549011,0.10614235699176788,-0.0705372616648674,-0.07061385363340378,0.0
17.8857421875,-82.31780242919922,64.2237777709961,0.4755456745624542,0.03538078814744949,0.0,-0.07061385363340378,0.03534708544611931
22.674299240112305,-83.26908874511719,60.25934600830078,0.5072487592697144,0.10614235699176788,-0.0705372616648674,-0.03530692681670189,0.0
27.177448272705078,-84.34720611572266,56.89751052856445,0.5072487592697144,0.10614235699176788,0.0,-0.07061385363340378,0.0
32.378265380859375,-85.23507690429688,52.552494049072266,0.5389517545700073,0.10614235699176788,0.0,-0.03530692681670189,0.03534708544611931
37.29367446899414,-84.72772216796875,47.160865783691406,0.4755456745624542,0.14152315258979797,0.0,-0.07061385363340378,0.03534708544611931
42.33592987060547,-83.4276351928711,41.483802795410156,2.1241040229797363,-0.38918864727020264,-0.4232235848903656,1.9771878719329834,1.095759630203247
45.88771057128906,-81.42993927001953,4.408446788787842,52.56364822387695,-0.21228471398353577,-0.3526863157749176,4.378058910369873,3.8174853324890137
51.65934753417969,-86.82054901123047,31.937454223632812,4.248208045959473,-0.03538078814744949,-0.2468804121017456,4.060296535491943,3.6760969161987305
60.665645599365234,-75.91249084472656,18.49010467529297,-3.9311776161193848,0.07076157629489899,-0.2116117924451828,4.342751979827881,4.206303119659424
62.219547271728516,-82.19096374511719,11.290699005126953,11.476502418518066,-0.07076157629489899,0.2468804121017456,4.731128215789795,4.948592185974121
59.87283706665039,-82.63489532470703,20.361316680908203,5.643142223358154,0.10614235699176788,-0.1410745233297348,5.437266826629639,5.443451404571533
70.27447509765625,-76.13445281982422,12.908185958862305,-10.588817596435547,-0.14152315258979797,0.0705372616648674,6.0021772384643555,5.938310146331787
69.35482025146484,-77.21257781982422,-0.03171544522047043,9.574319839477539,0.07076157629489899,0.2116117924451828,5.578494071960449,5.867616176605225
70.43303680419922,-73.43914794921875,6.977397918701172,-7.735543251037598,-0.24766550958156586,-0.0705372616648674,4.97827672958374,4.701162338256836
73.4774169921875,-73.28060150146484,6.596812725067139,-10.462004661560059,-0.14152315258979797,-0.1410745233297348,4.872355937957764,4.665815353393555
77.85371398925781,-72.55128479003906,-8.150869369506836,2.472837448120117,0.31842708587646484,0.2468804121017456,4.236831188201904,4.842550754547119
82.76911926269531,-63.355533599853516,-9.3243408203125,-17.81711196899414,-0.03538078814744949,0.0705372616648674,3.8837618827819824,3.888179302215576
86.25747680664062,-58.250308990478516,-10.466096878051758,-27.581649780273438,-0.10614235699176788,0.0,3.248237133026123,3.0751965045928955
81.81775665283203,-60.24800491333008,-22.26424217224121,-1.1096066236495972,0.21228471398353577,-0.0705372616648674,2.3655641078948975,2.4389488697052
82.35686492919922,-56.53799819946289,-22.70825958251953,-5.865063667297363,0.0,0.1058058962225914,1.3063563108444214,1.4138834476470947
85.9720687866211,-48.99114227294922,-20.90047836303711,-23.80898666381836,-0.03538078814744949,0.0705372616648674,0.45899003744125366,0.5655533671379089
83.14967346191406,-45.725067138671875,-31.556867599487305,-11.032659530639648,0.21228471398353577,0.0,-0.45899003744125366,-0.3181237578392029
83.30823516845703,-43.44198226928711,-36.7899169921875,-6.657639503479004,-0.10614235699176788,0.0705372616648674,-1.4122769832611084,-1.4492305517196655
85.68665313720703,-34.49991226196289,-35.013851165771484,-23.713878631591797,0.03538078814744949,0.0705372616648674,-2.5420987606048584,-2.403601884841919
81.976318359375,-30.599645614624023,-37.329078674316406,-22.445756912231445,-0.03538078814744949,0.0705372616648674,-3.5659995079040527,-3.499361515045166
80.3589859008789,-28.09459686279297,-43.19643783569336,-16.67580223083496,-0.17690393328666687,0.0,-4.731128215789795,-4.8778977394104
81.59576416015625,-21.56244468688965,-45.00421905517578,-22.762786865234375,0.07076157629489899,0.0705372616648674,-6.108098030090332,-5.973657608032227
80.67610931396484,-17.02798843383789,-48.55634689331055,-22.604270935058594,0.0,0.2116117924451828,-7.449761390686035,-7.281499862670898
79.4076156616211,-12.334986686706543,-52.647640228271484,-23.99920654296875,-0.10614235699176788,0.0,-8.756117820739746,-8.836771011352539
75.9826889038086,-5.89796257019043,-56.00947570800781,-22.287240982055664,-0.03538078814744949,0.1410745233297348,-10.239008903503418,-10.179960250854492
72.20892333984375,-1.997697114944458,-55.53374481201172,-21.748289108276367,-0.07076157629489899,0.1410745233297348,-11.757205963134766,-11.73523235321045
70.14762115478516,4.724711894989014,-59.561607360839844,-23.872392654418945,0.0,0.0,-13.169483184814453,-13.255157470703125
