220KV I母线_A_1,220KV I母线_B_2,220KV I母线_C_3,220KV I母线_N_4,220KV 黄施I回电流_A_13,220KV 黄施I回电流_B_14,220KV 黄施I回电流_C_15,220KV 黄施I回电流_N_16
59.24714279174805,-83.05762481689453,23.960004806518555,0.7729259729385376,-0.06520800292491913,0.1370600014925003,-0.06704799830913544,0.0019920000340789557
75.23146057128906,-73.73407745361328,-2.20878005027771,-0.7729259729385376,-0.09484799951314926,0.12922799587249756,-0.02563600055873394,0.0
84.04386901855469,-56.14168167114258,-26.999706268310547,1.8455580472946167,-0.11263199895620346,0.10964799672365189,0.015776000916957855,0.0019920000340789557
83.86509704589844,-33.033203125,-51.043853759765625,-0.29970601201057434,-0.12053599953651428,0.08027800172567368,0.055215999484062195,0.0019920000340789557
77.35569763183594,-6.623516082763672,-69.95521545410156,1.3250160217285156,-0.11856000125408173,0.04111799970269203,0.0867680013179779,0.0019920000340789557
61.63427734375,18.931865692138672,-81.56709289550781,-1.372338056564331,-0.10275200009346008,-0.0019580000080168247,0.114376001060009,0.003984000068157911
40.2552490234375,43.717315673828125,-84.34384155273438,-0.09464400261640549,-0.07311200350522995,-0.04503399878740311,0.13212400674819946,0.005975999869406223
14.774979591369629,65.18045806884766,-80.41011047363281,-0.22083599865436554,-0.041496001183986664,-0.07831999659538269,0.13409599661827087,0.005975999869406223
-11.125927925109863,78.88101196289062,-67.91472625732422,0.1735139936208725,-0.0019759999122470617,-0.1076899990439415,0.12423600256443024,0.005975999869406223
-35.84904479980469,84.75569152832031,-48.39331817626953,1.2145979404449463,0.03951999917626381,-0.12531200051307678,0.10254400223493576,0.003984000068157911
-59.34178924560547,82.79395294189453,-24.044147491455078,-0.7256039977073669,0.0750880017876625,-0.13314400613307953,0.07099200040102005,0.007968000136315823
-75.61003875732422,73.62860870361328,2.419140100479126,0.8360220193862915,0.10275200009346008,-0.12531200051307678,0.035496000200510025,0.0019920000340789557
-84.13851928710938,56.00457000732422,26.95763397216797,-1.6878180503845215,0.12251199781894684,-0.10573200136423111,-0.007888000458478928,0.003984000068157911
-84.46451568603516,33.20195770263672,51.35939407348633,0.6151859760284424,0.1323920041322708,-0.0763619989156723,-0.04535600170493126,0.0
-77.59756469726562,6.760626792907715,69.9447021484375,-1.0726319551467896,0.12646399438381195,-0.03720200061798096,-0.08282399922609329,0.0019920000340789557
-61.71840286254883,-19.090070724487305,81.25154876708984,1.2145979404449463,0.1106560006737709,0.009789999574422836,-0.10451599955558777,0.0019920000340789557
-40.22370147705078,-43.83333206176758,83.83898162841797,0.047322001308202744,0.08299200236797333,0.05090799927711487,-0.12226399779319763,0.0
-14.70136833190918,-65.41249084472656,80.11560821533203,0.28393200039863586,0.049400001764297485,0.08419399708509445,-0.12423600256443024,-0.0019920000340789557
11.472955703735352,-79.11304473876953,67.52555847167969,0.01577400043606758,0.009879999794065952,0.11552199721336365,-0.11634799838066101,0.0
36.04884719848633,-84.96662902832031,47.972599029541016,-1.0726319551467896,-0.03161599859595299,0.13118599355220795,-0.09860000014305115,0.0
59.33127212524414,-83.00489044189453,23.781198501586914,0.69405597448349,-0.06520800292491913,0.13510200381278992,-0.06310400366783142,0.0
75.35765838623047,-73.71298217773438,-2.334995985031128,-0.7571520209312439,-0.09484799951314926,0.12922799587249756,-0.02563600055873394,0.0019920000340789557
84.0859375,-55.97292709350586,-27.13644027709961,1.9559760093688965,-0.11460799723863602,0.10964799672365189,0.013803999871015549,0.0019920000340789557
83.84407043457031,-32.89609146118164,-51.254215240478516,-0.4416719973087311,-0.12251199781894684,0.07831999659538269,0.055215999484062195,0.0019920000340789557
77.35569763183594,-6.444217205047607,-70.15505981445312,1.2934679985046387,-0.11658400297164917,0.039159998297691345,0.0867680013179779,0.0019920000340789557
61.51860046386719,19.153352737426758,-81.70382690429688,-1.4038859605789185,-0.10275200009346008,-0.0019580000080168247,0.1124039962887764,0.005975999869406223
40.16060256958008,43.81223678588867,-84.32280731201172,-0.047322001308202744,-0.07311200350522995,-0.04503399878740311,0.13212400674819946,0.003984000068157911
14.648788452148438,65.22264862060547,-80.33648681640625,-0.29970601201057434,-0.041496001183986664,-0.0763619989156723,0.13409599661827087,0.003984000068157911
-11.125927925109863,78.82827758789062,-67.83058166503906,0.23660999536514282,0.0019759999122470617,-0.10964799672365189,0.12423600256443024,0.005975999869406223
-36.08039474487305,84.75569152832031,-48.277618408203125,1.056857943534851,0.03951999917626381,-0.12726999819278717,0.10057199746370316,0.003984000068157911
-59.457462310791016,82.78340148925781,-23.85482406616211,-0.6467339992523193,0.0750880017876625,-0.13510200381278992,0.07296399772167206,0.005975999869406223
-75.7782974243164,73.50204467773438,2.5979459285736084,0.6625080108642578,0.10077600181102753,-0.12531200051307678,0.03352399915456772,0.003984000068157911
-84.23316192626953,56.00457000732422,27.041778564453125,-1.7193659543991089,0.12251199781894684,-0.10377400368452072,-0.005915999878197908,0.003984000068157911
-84.5276107788086,33.11758041381836,51.35939407348633,0.347027987241745,0.1284399926662445,-0.07440400123596191,-0.04732799902558327,0.0019920000340789557
-103.87704467773438,-14.57595443725586,15.145919799804688,-106.94772338867188,0.11856000125408173,-0.03524399921298027,0.6566759943962097,0.7350479960441589
-62.9277458190918,-20.208051681518555,22.887168884277344,-109.67662048339844,0.17586399614810944,0.12922799587249756,0.8814839720726013,1.1832480430603027
-46.53329849243164,-40.41610336303711,31.46985626220703,-98.20892333984375,0.15807999670505524,0.17817799746990204,1.7215559482574463,2.0756640434265137
