500kV红宁乙线_5,500kV红宁乙线_6,500kV红宁乙线_7,500kV红宁乙线_8,500kV红宁乙线_29,500kV红宁乙线_30,500kV红宁乙线_31,500kV红宁乙线_32
77.58452606201172,-2.1563639640808105,-74.84722900390625,0.5680130124092102,0.2854500114917755,-0.009514999575912952,-0.18943500518798828,0.02249000035226345
74.84014129638672,3.218291997909546,-77.68678283691406,0.3034589886665344,0.2785300016403198,0.0008650000090710819,-0.19635500013828278,0.02249000035226345
71.90087890625,8.701308250427246,-80.27706909179688,0.10893400013446808,0.2750700116157532,0.018164999783039093,-0.20673500001430511,0.025949999690055847
68.44197082519531,14.205995559692383,-82.62891387939453,-0.24899199604988098,0.26469001173973083,0.03200500085949898,-0.2136549949645996,0.02249000035226345
64.78820037841797,19.602323532104492,-84.45511627197266,-0.36570701003074646,0.25084999203681946,0.052765000611543655,-0.22403499484062195,0.025949999690055847
60.75551223754883,25.047414779663086,-85.86947631835938,-0.48242199420928955,0.24392999708652496,0.07006499916315079,-0.22403499484062195,0.025949999690055847
56.48465347290039,30.373308181762695,-87.00746154785156,-0.47464099526405334,0.23009000718593597,0.08390499651432037,-0.2274949997663498,0.029410000890493393
52.13801574707031,35.645023345947266,-87.76070404052734,-0.22564899921417236,0.2093300074338913,0.10466500371694565,-0.2274949997663498,0.025949999690055847
47.60733413696289,40.748779296875,-88.29176330566406,-0.10115300118923187,0.1954900026321411,0.11850500106811523,-0.2344149947166443,0.025949999690055847
42.990047454833984,45.652069091796875,-88.46517181396484,0.007780999876558781,0.18856999278068542,0.13580499589443207,-0.24133500456809998,0.025949999690055847
38.188716888427734,50.365726470947266,-88.31344604492188,0.062247999012470245,0.16780999302864075,0.1600250005722046,-0.23787499964237213,0.025949999690055847
33.07884216308594,54.94935607910156,-87.77696228027344,0.03890499845147133,0.15397000312805176,0.16694499552249908,-0.2344149947166443,0.025949999690055847
27.719972610473633,59.25666427612305,-86.77986907958984,0.04668600112199783,0.13666999340057373,0.18770499527454376,-0.24479499459266663,0.025949999690055847
22.36651611328125,63.17388153076172,-85.32215881347656,0.21008700132369995,0.12283000349998474,0.19462500512599945,-0.2344149947166443,0.025949999690055847
16.93186378479004,66.91230010986328,-83.54472351074219,0.24121099710464478,0.10898999869823456,0.21538500487804413,-0.2344149947166443,0.029410000890493393
11.52968978881836,70.38523864746094,-81.40422058105469,0.5135459899902344,0.08822999894618988,0.22230499982833862,-0.2274949997663498,0.029410000890493393
6.203298091888428,73.54393005371094,-79.0632095336914,0.7547569870948792,0.07092999666929245,0.2361450046300888,-0.2274949997663498,0.025949999690055847
0.8336020112037659,76.44255828857422,-76.57588958740234,0.887033998966217,0.057089999318122864,0.24652500450611115,-0.2205750048160553,0.025949999690055847
-4.579398155212402,79.22199249267578,-73.76884460449219,1.1360260248184204,0.04324999824166298,0.25344499945640564,-0.21019500494003296,0.02249000035226345
-10.068180084228516,81.74678039550781,-70.78297424316406,1.1282449960708618,0.029410000890493393,0.263824999332428,-0.20673500001430511,0.025949999690055847
-15.513657569885254,83.9085693359375,-67.38526153564453,1.1904929876327515,0.012109999544918537,0.27074500918388367,-0.19635500013828278,0.025949999690055847
