1-220kV盐金线电压Ua_1,2-220kV盐金线电压Ub_2,3-220kV盐金线电压Uc_3,4-220kV盐金线电压3Uo_4,5-盐金线路电流Ia_5,6-盐金线路电流Ib_6,7-盐金线路电流Ic_7,8-盐金线路电流3Io_8
-20.84836769104004,81.1857681274414,-60.02690887451172,0.0,0.3888733983039856,-0.8150375485420227,0.49596965312957764,0.1061849370598793
-25.71086883544922,82.3904037475586,-56.25542068481445,-0.031694281846284866,0.4242255389690399,-0.8504739999771118,0.4605432450771332,0.07078996300697327
-30.25555992126465,83.0244140625,-52.29376983642578,-0.031694281846284866,0.49492979049682617,-0.8504739999771118,0.4251168668270111,0.03539498150348663
-35.14984130859375,83.5633316040039,-48.01519012451172,0.031694281846284866,0.5656340718269348,-0.8504739999771118,0.38969045877456665,0.07078996300697327
-40.6479606628418,84.19734954833984,-43.45137023925781,0.0,0.6009861826896667,-0.9213467836380005,0.31883764266967773,0.03539498150348663
-45.351558685302734,84.32415008544922,-38.95093536376953,-0.06338856369256973,0.6363382935523987,-0.8504739999771118,0.2834112346172333,0.07078996300697327
-49.99159240722656,84.10224151611328,-33.88002395629883,0.031694281846284866,0.6716904640197754,-0.8150375485420227,0.21255843341350555,0.07078996300697327
-54.409156799316406,82.99271392822266,-28.46048927307129,0.031694281846284866,0.6716904640197754,-0.8150375485420227,0.14170561730861664,0.03539498150348663
-58.445350646972656,81.94658660888672,-23.452964782714844,0.0,0.7070425748825073,-0.7796011567115784,0.10627921670675278,0.03539498150348663
-62.64044952392578,81.05896759033203,-18.508825302124023,-0.031694281846284866,0.7777467966079712,-0.7796011567115784,0.07085280865430832,0.03539498150348663
-65.43717956542969,79.22032165527344,-13.723153114318848,-0.031694281846284866,0.7423946857452393,-0.7796011567115784,0.07085280865430832,0.03539498150348663
-68.17034912109375,76.96955871582031,-8.493776321411133,0.0,0.8130989670753479,-0.7087283134460449,0.0,0.03539498150348663
-71.5709228515625,74.8456039428711,-3.23270583152771,0.031694281846284866,0.8130989670753479,-0.6732919216156006,-0.10627921670675278,0.03539498150348663
-74.43122100830078,72.40464782714844,1.9015916585922241,-0.031694281846284866,0.8130989670753479,-0.6378554701805115,-0.1771320253610611,0.03539498150348663
-77.03726196289062,69.64667510986328,7.384514331817627,-0.031694281846284866,0.8838031888008118,-0.6024190783500671,-0.21255843341350555,0.03539498150348663
-78.7216567993164,66.06448364257812,12.582198143005371,0.031694281846284866,0.8484510779380798,-0.566982626914978,-0.2834112346172333,0.03539498150348663
-80.2789306640625,62.545692443847656,17.526336669921875,0.0,0.8130989670753479,-0.49610981345176697,-0.31883764266967773,0.07078996300697327
-81.5501708984375,58.86840057373047,22.470474243164062,-0.031694281846284866,0.8484510779380798,-0.4252369999885559,-0.38969045877456665,0.03539498150348663
-82.28113555908203,55.191104888916016,26.9392147064209,-0.031694281846284866,0.8484510779380798,-0.3898005783557892,-0.4251168668270111,0.0
-82.82141876220703,50.84809494018555,31.91504669189453,0.031694281846284866,0.8484510779380798,-0.35436415672302246,-0.49596965312957764,0.03539498150348663
-83.48881530761719,46.25148010253906,37.14442443847656,0.031694281846284866,0.9191553592681885,-0.283491313457489,-0.6022489070892334,0.03539498150348663
-84.02909851074219,41.65486145019531,42.18364334106445,-0.031694281846284866,0.9191553592681885,-0.24805490672588348,-0.6376752853393555,0.03539498150348663
-84.3786849975586,37.1850471496582,47.064395904541016,-0.031694281846284866,0.8838031888008118,-0.17718207836151123,-0.6731016635894775,0.03539498150348663
-83.67950439453125,32.303123474121094,51.27959060668945,0.0,0.8838031888008118,-0.1417456567287445,-0.6731016635894775,0.03539498150348663
-82.66250610351562,27.230993270874023,55.58986282348633,0.0,0.8130989670753479,-0.10630924999713898,-0.7439544796943665,0.03539498150348663
-81.58195495605469,22.032060623168945,59.614898681640625,-0.031694281846284866,0.8130989670753479,0.0,-0.7793809175491333,0.0
-80.18358612060547,17.118436813354492,63.0694580078125,0.031694281846284866,0.8130989670753479,0.0,-0.8148072957992554,0.03539498150348663
-78.18138122558594,11.982905387878418,66.1753921508789,0.0,0.7777467966079712,0.0,-0.8148072957992554,0.03539498150348663
-75.9249267578125,6.720571517944336,69.2496337890625,0.0,0.7777467966079712,0.10630924999713898,-0.8502337336540222,0.03539498150348663
-73.57312774658203,1.1095283031463623,72.22879028320312,0.0,0.7070425748825073,0.17718207836151123,-0.8856601119041443,0.03539498150348663
-70.96708679199219,-3.8357977867126465,74.82762908935547,0.0,0.7070425748825073,0.21261849999427795,-0.8856601119041443,0.03539498150348663
-68.01144409179688,-8.844525337219238,76.98277282714844,0.0,0.6363382935523987,0.31892773509025574,-0.9210864901542664,0.03539498150348663
-64.769775390625,-14.297064781188965,78.31388092041016,-0.06338856369256973,0.6009861826896667,0.283491313457489,-0.9210864901542664,0.03539498150348663
-63.68922424316406,-30.781484603881836,-96.69593811035156,-8.811010360717773,-0.45957767963409424,-0.10630924999713898,7.404118537902832,6.937416076660156
-41.251800537109375,-2.567765474319458,85.00114440917969,3.70823073387146,0.8130989670753479,0.7796011567115784,4.074036598205566,5.592406749725342
-45.73292922973633,-30.527877807617188,38.95093536376953,1.7748796939849854,0.8484510779380798,1.0985288619995117,5.632798194885254,7.539130687713623
-20.02206039428711,-11.126983642578125,9.41287899017334,1.5530197620391846,0.8130989670753479,1.133965253829956,8.714895248413086,10.689284324645996
-8.008824348449707,-19.90810775756836,12.83574390411377,0.34863707423210144,0.24746489524841309,0.6378554701805115,9.635982513427734,10.512309074401855
