220kV Ⅰ母电压_A相_1,220kV Ⅰ母电压_B相_2,220kV Ⅰ母电压_C相_3,220kV Ⅰ母电压_3U0_4,通瀛Ⅱ回291_A相_9,通瀛Ⅱ回291_B相_10,通瀛Ⅱ回291_C相_11,通瀛Ⅱ回291_3I0_12
-45.026302337646484,84.80974578857422,-39.36711502075195,0.7313268184661865,-0.09458865225315094,0.2783259451389313,-0.18746721744537354,0.015146435238420963
-62.961570739746094,80.5328369140625,-17.232200622558594,0.6379659175872803,-0.15134184062480927,0.2764325737953186,-0.12497813999652863,0.009466522373259068
-76.63250732421875,71.8125228881836,4.850776195526123,0.015560144558548927,-0.1967443972826004,0.2593922019004822,-0.06059546396136284,0.011359826661646366
-83.83379364013672,58.0556526184082,25.375688552856445,-0.7002065181732178,-0.2326880842447281,0.22720485925674438,0.01893608272075653,0.005679913330823183
-84.61767578125,39.3766975402832,44.73724365234375,-0.9024884104728699,-0.24782226979732513,0.17419038712978363,0.08331876248121262,0.005679913330823183
-80.41606140136719,17.513473510742188,62.70692825317383,-0.2800826132297516,-0.24782226979732513,0.10792230814695358,0.14959505200386047,0.0018933044048026204
-71.72016906738281,-4.526655197143555,76.22055053710938,0.06224057823419571,-0.23079632222652435,0.04165422543883324,0.20072247087955475,-0.003786608809605241
-58.070133209228516,-25.286832809448242,83.62654876708984,0.6535260677337646,-0.19863617420196533,-0.03408072888851166,0.2461690604686737,-0.003786608809605241
-39.246463775634766,-44.98558807373047,84.58216857910156,0.8713681101799011,-0.15134184062480927,-0.09845543652772903,0.27267956733703613,-0.0018933044048026204
-17.370872497558594,-63.01936340332031,80.64545440673828,0.7468869686126709,-0.09269688278436661,-0.1628301441669464,0.2764667868614197,0.0
4.703304767608643,-76.72420501708984,71.97222137451172,0.2022818773984909,-0.02459304966032505,-0.2139512449502945,0.268892377614975,-0.009466522373259068
25.356037139892578,-84.00847625732422,58.20931625366211,-0.4979246258735657,0.04351077973842621,-0.24992534518241882,0.2385946363210678,-0.009466522373259068
45.0367546081543,-84.8825912475586,39.28401565551758,-0.7002065181732178,0.10404752194881439,-0.26696571707725525,0.19504164159297943,-0.007573217619210482
62.93021774291992,-80.76177215576172,17.325685501098633,-0.669086217880249,0.1589089334011078,-0.2688590884208679,0.1344461888074875,-0.003786608809605241
76.63250732421875,-72.02064514160156,-4.684582710266113,-0.031120289117097855,0.20620326697826385,-0.25371208786964417,0.06438267976045609,0.0018933044048026204
83.85469818115234,-58.20133972167969,-25.230268478393555,0.7624470591545105,0.2402551770210266,-0.21584461629390717,-0.0037872164975851774,0.003786608809605241
84.69084167480469,-39.42872619628906,-44.73724365234375,0.9024884104728699,0.25538936257362366,-0.16661690175533295,-0.0776379331946373,0.003786608809605241
80.5310287475586,-17.52387809753418,-62.87312316894531,0.2800826132297516,0.2534976005554199,-0.1003488078713417,-0.1401270031929016,0.007573217619210482
71.85604095458984,4.5370612144470215,-76.43867492675781,-0.07780072093009949,0.23647163808345795,-0.030293980613350868,-0.1912544220685959,0.007573217619210482
58.10149002075195,25.266019821166992,-83.70964813232422,-0.51348477602005,0.20620326697826385,0.04165422543883324,-0.2385946363210678,0.011359826661646366
39.25691604614258,44.89193344116211,-84.64448547363281,-0.7313268184661865,0.1589089334011078,0.11170905083417892,-0.2613179385662079,0.011359826661646366
17.454486846923828,62.81124496459961,-80.78048706054688,-0.7624470591545105,0.0983721986413002,0.17229701578617096,-0.268892377614975,0.017039740458130836
-4.515172481536865,76.57852172851562,-72.23190307617188,-0.18672174215316772,0.03405191749334335,0.22341810166835785,-0.2613179385662079,0.015146435238420963
-25.167905807495117,83.87319946289062,-58.448219299316406,0.5446050763130188,-0.035943690687417984,0.25560545921325684,-0.22912658751010895,0.013253130950033665
-44.921783447265625,84.77852630615234,-39.439823150634766,0.7157666683197021,-0.0983721986413002,0.28021931648254395,-0.18746721744537354,0.015146435238420963
-62.86750411987305,80.60568237304688,-17.367233276367188,0.6224057674407959,-0.14945007860660553,0.2764325737953186,-0.12308453023433685,0.011359826661646366
-76.58025360107422,71.88536834716797,4.7157440185546875,0.031120289117097855,-0.20052795112133026,0.26128557324409485,-0.06059546396136284,0.011359826661646366
-83.8128890991211,58.15971374511719,25.261430740356445,-0.7157666683197021,-0.22890454530715942,0.22720485925674438,0.013255257159471512,0.003786608809605241
-84.61767578125,39.50157165527344,44.59182357788086,-0.9180485606193542,-0.24971404671669006,0.17229701578617096,0.08521237224340439,0.007573217619210482
-80.49967193603516,17.627939224243164,62.634220123291016,-0.3267630338668823,-0.24782226979732513,0.10981567949056625,0.14959505200386047,0.003786608809605241
-71.8246841430664,-4.39137601852417,76.18938446044922,0.06224057823419571,-0.22890454530715942,0.03976085036993027,0.20072247087955475,-0.0018933044048026204
-58.20600891113281,-25.130741119384766,83.5642318725586,0.6379659175872803,-0.20052795112133026,-0.03408072888851166,0.24427545070648193,-0.003786608809605241
-39.350982666015625,-44.85030746459961,84.5510025024414,0.824687659740448,-0.14945007860660553,-0.10224218666553497,0.268892377614975,-0.003786608809605241
-17.517196655273438,-62.9465217590332,80.6973876953125,0.7624470591545105,-0.09269688278436661,-0.16093677282333374,0.27836039662361145,-0.005679913330823183
4.546527862548828,-76.69298553466797,72.08647918701172,0.2022818773984909,-0.02648482285439968,-0.21205785870552063,0.268892377614975,-0.005679913330823183
25.230615615844727,-83.97725677490234,58.302799224853516,-0.4668043255805969,0.03972723335027695,-0.24992534518241882,0.2385946363210678,-0.003786608809605241
