500kV惠历乙线电压_A相_1,500kV惠历乙线电压_B相_2,500kV惠历乙线电压_C相_3,500kV惠历乙线电压_3U0_4,500kV惠历乙线电流_A相_25,500kV惠历乙线电流_B相_26,500kV惠历乙线电流_C相_27,500kV惠历乙线电流_3I0_28
80.7638168334961,-9.876327514648438,-70.49710083007812,0.56015944480896,0.3440547585487366,-0.019023718312382698,-0.32680097222328186,-0.0019030553521588445
68.60582733154297,13.494181632995605,-82.0093765258789,0.17115983366966248,0.2908308207988739,0.08370435982942581,-0.3667010962963104,-0.0019030553521588445
52.22078323364258,35.149330139160156,-87.8278579711914,-0.6535193920135498,0.21859833598136902,0.17121346294879913,-0.39140117168426514,-0.007612221408635378
32.60267639160156,54.49653625488281,-87.40185546875,-0.26451975107192993,0.12545643746852875,0.25111308693885803,-0.39140117168426514,-0.005709166172891855
9.918914794921875,70.82886505126953,-81.18855285644531,-0.5290395021438599,0.024711117148399353,0.3157937228679657,-0.36290109157562256,0.0
-14.669112205505371,79.66557312011719,-65.09423065185547,0.20227980613708496,-0.07413335144519806,0.35574352741241455,-0.30210089683532715,0.0
-28.197757720947266,94.88551330566406,-24.06356430053711,73.8788070678711,-0.12545643746852875,0.41852179169654846,-0.7600022554397583,-0.4434119164943695
-57.054683685302734,85.51860046386719,-16.19822883605957,21.61281967163086,-0.1311590075492859,0.4851047992706299,-0.89110267162323,-0.5100188255310059
-86.36151885986328,65.2357406616211,-13.964347839355469,-60.40386199951172,-0.20339149236679077,0.4584715962409973,-0.6707020401954651,-0.39202940464019775
-82.0821533203125,69.1135025024414,24.88438606262207,20.757020950317383,-0.2889299690723419,0.35193878412246704,-0.5472016334533691,-0.4586363434791565
-85.89068603515625,55.81684494018555,25.60130500793457,-7.453232765197754,-0.279425710439682,0.30437949299812317,-0.31540095806121826,-0.272136926651001
-90.5048599243164,26.63489532470703,20.998472213745117,-73.86325073242188,-0.4029812812805176,0.07419250160455704,0.1919005811214447,-0.11037721484899521
-72.66546630859375,15.604597091674805,53.353370666503906,-6.130634307861328,-0.34595564007759094,0.011414230801165104,0.47500142455101013,0.15414749085903168
-59.30422592163086,-2.411903142929077,53.71702575683594,-13.537187576293945,-0.3991795778274536,-0.19594429433345795,0.902502715587616,0.31400415301322937
-48.68429183959961,-33.41317367553711,53.85209655761719,-48.60939407348633,-0.3991795778274536,-0.33862218260765076,1.3414040803909302,0.5956563353538513
-32.45619583129883,-54.18465042114258,71.38026428222656,-26.078535079956055,-0.3782701790332794,-0.47369056940078735,1.6245049238204956,0.7612221837043762
-8.286687850952148,-68.6352767944336,56.169097900390625,-35.570125579833984,-0.3820718824863434,-0.6430016756057739,2.0045061111450195,0.9496246576309204
14.198277473449707,-84.23987579345703,50.35062026977539,-33.78072738647461,-0.3117402493953705,-0.7057799100875854,2.1793065071105957,1.1208996772766113
35.28120040893555,-86.53742218017578,48.18946838378906,-5.025875091552734,-0.23760688304901123,-0.7704606056213379,2.2401068210601807,1.1798943281173706
59.89015579223633,-79.31210327148438,21.268617630004883,3.2520368099212646,-0.11215045303106308,-0.7495344877243042,2.171706438064575,1.2465013265609741
72.01676177978516,-79.072998046875,11.927881240844727,8.557991981506348,-0.005702565424144268,-0.7019751667976379,1.89240562915802,1.1208996772766113
77.55168151855469,-72.29471588134766,3.979423761367798,15.933424949645996,0.10264617204666138,-0.5745162963867188,1.5637047290802002,1.0333590507507324
85.5140151977539,-53.05147171020508,-18.276256561279297,24.304697036743164,0.21859833598136902,-0.3842791020870209,1.0412031412124634,0.833538293838501
80.55455780029297,-37.64440155029297,-26.42212677001953,28.31917381286621,0.3212445080280304,-0.17501820623874664,0.495901495218277,0.5956563353538513
75.44862365722656,-17.153621673583984,-36.70836639404297,36.986083984375,0.4105846881866455,0.013316602446138859,-0.06460019201040268,0.325422465801239
68.99295806884766,11.799612045288086,-50.34022903442383,52.390472412109375,0.4828172028064728,0.2320893555879593,-0.6650019884109497,0.017127498984336853
49.77244186401367,31.687416076660156,-54.27809143066406,46.928916931152344,0.556950569152832,0.42232653498649597,-1.2521038055419922,-0.283555269241333
29.003408432006836,49.121734619140625,-56.532752990722656,37.312843322753906,0.5949676632881165,0.6239779591560364,-1.8107054233551025,-0.5937532782554626
3.756213426589966,68.27141571044922,-52.626060485839844,33.51620864868164,0.621579647064209,0.831336498260498,-2.2610068321228027,-0.8049924373626709
-20.235422134399414,78.65715026855469,-42.443721771240234,27.71233367919922,0.5892651081085205,0.9549906253814697,-2.584007740020752,-1.0162315368652344
-38.36778259277344,83.16907501220703,-33.56015396118164,19.574460983276367,0.5360411405563354,1.038694977760315,-2.743608236312866,-1.1475423574447632
-58.40441131591797,84.21908569335938,-20.67637825012207,9.195951461791992,0.4505026638507843,1.0577187538146973,-2.747408151626587,-1.2103432416915894
-72.62361145019531,78.85467529296875,-6.431496620178223,-0.09335990995168686,0.36686503887176514,1.0348902940750122,-2.608707904815674,-1.1760882139205933
-81.171875,69.6436996459961,5.475604057312012,-10.176230430603027,0.2604171633720398,0.9283574223518372,-2.302806854248047,-1.0771293640136719
-85.16873931884766,54.18465042114258,18.07884407043457,-22.001819610595703,0.14826670289039612,0.7400226593017578,-1.8582055568695068,-0.9153696298599243
-82.72039794921875,34.29684829711914,30.05867576599121,-31.571210861206055,0.03231453523039818,0.53076171875,-1.3110039234161377,-0.6850999593734741
-75.81482696533203,14.450626373291016,41.20729446411133,-34.589847564697266,-0.10834874212741852,0.28345340490341187,-0.6745020151138306,-0.4300905168056488
