大宝II回线路电压_A相_1,大宝II回线路电压_B相_2,大宝II回线路电压_C相_3,大宝II回线路电压_3U0_4,宝七II回线路电流_A相_37,宝七II回线路电流_B相_38,宝七II回线路电流_C相_39,宝七II回线路电流_3I0_40
-68.55050659179688,-11.618334770202637,83.0817642211914,5.218294143676758,-0.07801179587841034,-0.06458023935556412,0.13664397597312927,0.00946788676083088
-54.3196907043457,-33.949275970458984,84.92109680175781,-5.576564788818359,-0.049470897763967514,-0.1025686115026474,0.16131581366062164,-0.005680732429027557
-31.201147079467773,-53.261112213134766,88.28800964355469,6.900609493255615,-0.05327634885907173,-0.12726105749607086,0.17649847269058228,-0.0018935773987323046
-10.999868392944336,-69.48097229003906,79.35113525390625,-1.7290467023849487,-0.0019027268281206489,-0.15575233101844788,0.14233748614788055,0.015148619189858437
13.237483978271484,-82.8795394897461,69.718017578125,0.45173290371894836,0.0684981644153595,-0.16145059466362,0.08350465446710587,0.00946788676083088
33.135536193847656,-87.8454360961914,54.4941520690918,-0.015576996840536594,0.1350935995578766,-0.1386575698852539,0.00189783307723701,0.0018935773987323046
53.16951370239258,-86.93971252441406,32.43254089355469,-2.0250096321105957,0.14270451664924622,-0.1101662814617157,-0.04934366047382355,0.015148619189858437
69.78433227539062,-80.62041473388672,12.698676109313965,3.4580934047698975,0.12557996809482574,-0.07787616550922394,-0.05693499371409416,0.011361464858055115
81.77753448486328,-70.18890380859375,-13.093561172485352,-2.4767425060272217,0.1141636073589325,-0.06078139692544937,-0.06832198798656464,0.007574309594929218
87.18336486816406,-53.240291595458984,-32.9729118347168,1.8069316148757935,0.10084451735019684,-0.043686628341674805,-0.07401549071073532,0.00946788676083088
85.67768096923828,-32.92902755737305,-52.82108688354492,0.015576996840536594,0.07991452515125275,-0.026591861620545387,-0.07781115919351578,0.01893577352166176
80.50188446044922,-10.535622596740723,-69.37509155273438,1.183851718902588,0.049470897763967514,0.015195349231362343,-0.09299381822347641,0.017042197287082672
70.13984680175781,12.586529731750488,-82.18807220458984,1.1994287967681885,0.03995726257562637,0.04748546704649925,-0.11386998742818832,0.00946788676083088
67.76629638671875,49.00313949584961,-36.68275451660156,139.81912231445312,0.08752543479204178,0.08927267789840698,-2.7727341651916504,2.5828394889831543
50.910987854003906,73.81182098388672,-20.450895309448242,181.25393676757812,0.04756816849112511,0.09117209911346436,-4.858452796936035,4.703646183013916
8.040778160095215,70.84477233886719,-37.223121643066406,73.02496337890625,-0.08371997624635696,0.026591861620545387,-6.703146457672119,6.727880477905273
-8.741339683532715,84.25374603271484,-15.58757209777832,104.5683822631836,-0.14650996029376984,0.0018994186539202929,-8.185354232788086,8.29955005645752
-34.22297286987305,87.51229858398438,-25.490877151489258,48.833885192871094,-0.1636345088481903,0.007597674615681171,-9.618218421936035,9.738668441772461
-54.00600814819336,87.16874694824219,-6.515605449676514,46.26367950439453,-0.17695359885692596,0.007597674615681171,-10.054719924926758,10.189339637756348
-70.2548599243164,84.27457427978516,1.018388032913208,26.23166275024414,-0.21310539543628693,-0.00949709303677082,-9.756759643554688,9.950749397277832
-90.38294982910156,63.099220275878906,-4.426870822906494,-55.002376556396484,-0.24354903399944305,-0.0588819794356823,-9.18551254272461,9.469780921936035
-82.44673156738281,51.99100875854492,14.236649513244629,-28.272249221801758,-0.21310539543628693,-0.08737325668334961,-8.181558609008789,8.481332778930664
-85.95999908447266,31.710975646972656,9.362935066223145,-78.21209716796875,-0.1598290503025055,-0.10446802526712418,-6.7638773918151855,7.032746315002441
-82.23760986328125,1.7073538303375244,23.641151428222656,-99.35008239746094,-0.12367723882198334,-0.1025686115026474,-4.799619674682617,5.038809299468994
-76.82131958007812,-19.34307098388672,23.52684211730957,-126.64098358154297,-0.09513633698225021,-0.09876976907253265,-2.6341922283172607,2.8517274856567383
-63.40608596801758,-44.29750442504883,26.789840698242188,-141.34567260742188,-0.08752543479204178,-0.08357442170381546,-0.1973746418952942,0.4014384150505066
-39.586978912353516,-62.495399475097656,33.20153045654297,-120.3790283203125,-0.03995726257562637,-0.06268081814050674,2.1654276847839355,-2.020447015762329
-22.146121978759766,-79.66263580322266,23.641151428222656,-136.29872131347656,0.03424908220767975,-0.043686628341674805,4.243554592132568,-4.182912349700928
4.1615471839904785,-93.84200286865234,26.446914672851562,-110.06706237792969,0.07801179587841034,-0.05508314073085785,5.981969833374023,-5.955300807952881
24.101421356201172,-94.39376831054688,18.04001808166504,-90.92292785644531,0.11035815626382828,-0.039887793362140656,7.356000900268555,-7.386845588684082
48.54789733886719,-88.52213287353516,11.784204483032227,-49.03638458251953,0.15602359175682068,-0.00949709303677082,8.08666706085205,-8.193509101867676
70.4326171875,-83.26473236083984,3.8449344635009766,-15.374495506286621,0.18075904250144958,0.024692442268133163,8.122725486755371,-8.301443099975586
79.21578216552734,-69.86617279052734,-5.060765266418457,7.804075241088867,0.20168903470039368,0.053183723241090775,7.500236511230469,-7.727689266204834
89.35824584960938,-50.86665344238281,-7.7106523513793945,53.7094841003418,0.19978632032871246,0.05508314073085785,6.416573524475098,-6.654030799865723
90.22610473632812,-31.211261749267578,-16.886537551879883,73.3676528930664,0.17124541103839874,0.06458023935556412,4.92297887802124,-5.142956256866455
86.69192504882812,-2.6339056491851807,-22.65393829345703,106.96723937988281,0.15031541883945465,0.07597674429416656,2.897991180419922,-3.1187219619750977
78.95437622070312,18.957874298095703,-27.558828353881836,122.71558380126953,0.11987178772687912,0.07787616550922394,0.5598607659339905,-0.7517502307891846
