220kVIII母_1,220kVIII母_2,220kVIII母_3,220kVIII母_4,220kV龙清线_9,220kV龙清线_10,220kV龙清线_11,220kV龙清线_12
-83.2285385131836,61.7677116394043,21.23130989074707,-0.1255200058221817,-0.04199099913239479,0.010366999544203281,0.041377998888492584,-0.0017259999876841903
-83.84976959228516,57.314815521240234,26.324451446533203,-0.22749200463294983,-0.03770599886775017,0.0034469999372959137,0.040516000241041183,-0.002587999915704131
-84.98959350585938,53.49959182739258,31.27716827392578,-0.1412079930305481,-0.04370500147342682,-0.0017430000007152557,0.044826000928878784,0.0034459999296814203
-85.2975082397461,48.830535888671875,36.181278228759766,-0.2902440130710602,-0.041133999824523926,-0.00520299980416894,0.051722001284360886,0.000859999970998615
-85.7458724975586,44.626224517822266,40.84233856201172,-0.2745560109615326,-0.0368489995598793,-0.0034729999024420977,0.043963998556137085,0.0025839998852461576
-85.4217529296875,39.724796295166016,45.416988372802734,-0.17258399724960327,-0.0368489995598793,-0.0026080000679939985,0.049998000264167786,-1.9999999949504854e-06
-84.94637298583984,34.969276428222656,49.73778533935547,-0.1255200058221817,-0.0368489995598793,-0.00952799990773201,0.046549998223781586,-0.0017259999876841903
-84.34135437011719,29.808456420898438,54.32323455810547,-0.20396000146865845,-0.0368489995598793,-0.015583000145852566,0.047412000596523285,0.006893999874591827
-83.30416870117188,24.631423950195312,58.56842041015625,-0.07061199843883514,-0.026565000414848328,-0.013852999545633793,0.052583999931812286,-0.002587999915704131
-81.95906829833984,19.389543533325195,62.35992431640625,-0.1255200058221817,-0.022280000150203705,-0.019043000414967537,0.047412000596523285,0.005169999785721302
-80.12779235839844,14.001755714416504,66.00019836425781,-0.039236001670360565,-0.02313699945807457,-0.023367999121546745,0.052583999931812286,-0.002587999915704131
-78.49638366699219,9.316488265991211,69.08956909179688,-0.03139200061559677,-0.017994999885559082,-0.02596299909055233,0.045687999576330185,-0.0017259999876841903
-75.82239532470703,3.577440023422241,72.03311157226562,-0.1333640068769455,-0.015424000099301338,-0.024233000352978706,0.049998000264167786,0.000859999970998615
