17-220kV_II母电压Ua_17,18-220kV_II母电压Ub_18,19-220kV_II母电压Uc_19,20-220kV_II母电压3Uo_20,9-220kV 果抚II线电流Ia_9,10-220kV 果抚II线电流Ib_10,11-220kV 果抚II线电流Ic_11,12-220kV 果抚II线电流3Io_12
79.83892822265625,-65.69851684570312,-14.233642578125,0.37293386459350586,0.12085819989442825,-0.10359273850917816,-0.05179636925458908,0.0
83.10209655761719,-56.28193664550781,-26.726926803588867,0.6837120652198792,0.12085819989442825,-0.06906182318925858,-0.06906182318925858,0.0
84.28305053710938,-45.373619079589844,-38.8472785949707,0.5904785990715027,0.13812364637851715,-0.05179636925458908,-0.10359273850917816,0.017265455797314644
83.5993423461914,-33.4708137512207,-50.31499481201172,0.15538911521434784,0.13812364637851715,-0.03453091159462929,-0.10359273850917816,0.0
81.20635223388672,-21.008607864379883,-60.570674896240234,-0.062155645340681076,0.12085819989442825,0.0,-0.13812364637851715,0.0
77.04192352294922,-8.080233573913574,-69.3346176147461,0.0,0.12085819989442825,0.03453091159462929,-0.13812364637851715,0.017265455797314644
70.91959381103516,5.034607410430908,-76.32713317871094,-0.12431129068136215,0.08632728457450867,0.05179636925458908,-0.17265456914901733,0.0
62.68396759033203,17.90082550048828,-81.2995834350586,-0.6215564608573914,0.08632728457450867,0.10359273850917816,-0.15538911521434784,0.0
52.64583206176758,30.3630313873291,-83.91011810302734,-1.0566459894180298,0.05179636925458908,0.10359273850917816,-0.17265456914901733,-0.017265455797314644
41.24026870727539,42.32799530029297,-84.34520721435547,-0.9012568593025208,0.03453091159462929,0.12085819989442825,-0.17265456914901733,0.0
29.057764053344727,53.453853607177734,-82.94670867919922,-0.37293386459350586,0.03453091159462929,0.17265456914901733,-0.17265456914901733,0.0
16.346935272216797,63.460914611816406,-79.90107727050781,0.0,-0.017265455797314644,0.17265456914901733,-0.17265456914901733,-0.017265455797314644
3.2942490577697754,71.82084655761719,-75.08401489257812,-0.062155645340681076,-0.03453091159462929,0.17265456914901733,-0.15538911521434784,0.0
-9.727357864379883,78.16072082519531,-68.24689483642578,-0.031077822670340538,-0.05179636925458908,0.17265456914901733,-0.10359273850917816,0.0
-22.438186645507812,82.23191833496094,-59.38971710205078,0.2797003984451294,-0.08632728457450867,0.17265456914901733,-0.12085819989442825,0.0
-34.6828498840332,84.1276626586914,-48.85433578491211,0.5594007968902588,-0.12085819989442825,0.18992002308368683,-0.06906182318925858,-0.017265455797314644
-46.430267333984375,84.09658813476562,-37.04476547241211,0.40401169657707214,-0.13812364637851715,0.17265456914901733,-0.05179636925458908,0.0
-57.2453498840332,82.23191833496094,-24.582557678222656,0.031077822670340538,-0.13812364637851715,0.15538911521434784,-0.03453091159462929,0.0
-66.72408294677734,78.62689208984375,-11.654183387756348,-0.15538911521434784,-0.15538911521434784,0.13812364637851715,0.0,0.017265455797314644
-74.43138122558594,73.12611389160156,1.4917354583740234,-0.18646693229675293,-0.15538911521434784,0.12085819989442825,0.03453091159462929,0.0
-79.90107727050781,65.54312896728516,14.48226547241211,-0.2797003984451294,-0.15538911521434784,0.10359273850917816,0.05179636925458908,-0.017265455797314644
-83.16425323486328,56.0954704284668,26.975549697875977,-0.5594007968902588,-0.15538911521434784,0.06906182318925858,0.06906182318925858,-0.017265455797314644
-84.31413269042969,45.18715286254883,38.971588134765625,-0.6215564608573914,-0.15538911521434784,0.017265455797314644,0.10359273850917816,0.0
-83.5993423461914,33.315425872802734,50.37715148925781,-0.2797003984451294,-0.15538911521434784,0.017265455797314644,0.12085819989442825,-0.017265455797314644
-81.2374267578125,20.759984970092773,60.663909912109375,0.0,-0.13812364637851715,-0.017265455797314644,0.15538911521434784,-0.017265455797314644
-77.072998046875,7.862689018249512,69.4900131225586,0.09323346614837646,-0.13812364637851715,-0.05179636925458908,0.15538911521434784,-0.017265455797314644
-70.85743713378906,-5.221074104309082,76.4514389038086,0.21754474937915802,-0.12085819989442825,-0.08632728457450867,0.17265456914901733,-0.017265455797314644
-62.652889251708984,-18.087291717529297,81.2995834350586,0.5904785990715027,-0.10359273850917816,-0.10359273850917816,0.17265456914901733,0.0
-52.583675384521484,-30.54949951171875,83.91011810302734,0.9012568593025208,-0.08632728457450867,-0.12085819989442825,0.17265456914901733,-0.017265455797314644
-41.17811584472656,-42.54553985595703,84.40736389160156,0.8080233931541443,-0.06906182318925858,-0.15538911521434784,0.18992002308368683,0.0
-28.995607376098633,-53.702476501464844,83.0399398803711,0.37293386459350586,-0.03453091159462929,-0.15538911521434784,0.17265456914901733,-0.017265455797314644
-16.253700256347656,-63.616302490234375,79.93215942382812,0.12431129068136215,0.0,-0.15538911521434784,0.17265456914901733,0.0
-3.138859987258911,-71.94515991210938,75.05294036865234,0.09323346614837646,0.0,-0.18992002308368683,0.15538911521434784,-0.017265455797314644
9.851669311523438,-78.2850341796875,68.2158203125,-0.09323346614837646,0.03453091159462929,-0.18992002308368683,0.13812364637851715,0.017265455797314644
22.46926498413086,-82.35623168945312,59.32756423950195,-0.40401169657707214,0.06906182318925858,-0.17265456914901733,0.10359273850917816,-0.017265455797314644
34.7450065612793,-84.22090148925781,48.792179107666016,-0.5594007968902588,0.06906182318925858,-0.17265456914901733,0.08632728457450867,-0.017265455797314644
46.4924201965332,-84.09658813476562,36.982608795166016,-0.3418560326099396,0.10359273850917816,-0.15538911521434784,0.05179636925458908,0.0
57.30750274658203,-82.26299285888672,24.48932456970215,-0.031077822670340538,0.12085819989442825,-0.15538911521434784,0.03453091159462929,-0.017265455797314644
