1-220kVⅠ母电压Ua_1,2-220kVⅠ母电压Ub_2,3-220kVⅠ母电压Uc_3,4-220kVⅠ母电压3Uo_4,9-砚马Ⅰ回265电流Ia_9,10-砚马Ⅰ回265电流Ib_10,11-砚马Ⅰ回265电流Ic_11,12-砚马Ⅰ回265电流3Io_12
-63.951820373535156,82.26535034179688,-18.697778701782227,-0.6972178816795349,-0.23332910239696503,0.2759080231189728,-0.06463832408189774,-0.014357456006109715
-67.16212463378906,80.42737579345703,-13.532120704650879,-0.47537583112716675,-0.24409812688827515,0.2759080231189728,-0.050274256616830826,-0.017946820706129074
-69.95922088623047,78.14574432373047,-8.334772109985352,-0.15845860540866852,-0.25127747654914856,0.2579919099807739,-0.028728146106004715,-0.017946820706129074
-72.72453308105469,75.42047119140625,-2.788821220397949,-0.09507516026496887,-0.25845685601234436,0.2508254647254944,-0.01077305432409048,-0.017946820706129074
-75.29913330078125,72.4733657836914,2.6303653717041016,-0.22184205055236816,-0.2656362056732178,0.24007581174373627,0.007182036526501179,-0.014357456006109715
-77.74659729003906,69.49457550048828,7.986169815063477,-0.44368410110473633,-0.2728155553340912,0.22932614386081696,0.028728146106004715,-0.014357456006109715
-80.00334167480469,66.29396057128906,13.24690055847168,-0.6972178816795349,-0.2799949049949646,0.2114100456237793,0.04309221729636192,-0.014357456006109715
-81.81510162353516,62.74475860595703,18.38086700439453,-1.0775184631347656,-0.2835845947265625,0.19707715511322021,0.06463832408189774,-0.014357456006109715
-83.30900573730469,58.84697723388672,23.641597747802734,-1.331052303314209,-0.2871742844581604,0.1863275021314621,0.0825934186577797,-0.014357456006109715
-84.48505401611328,54.72737503051758,28.99740219116211,-1.2993605136871338,-0.2907639443874359,0.17199461162090302,0.0969574898481369,-0.017946820706129074
-85.31147003173828,50.259185791015625,34.32151412963867,-1.2359771728515625,-0.2907639443874359,0.15766172111034393,0.11491258442401886,-0.014357456006109715
-86.1061019897461,45.917755126953125,39.423789978027344,-1.2359771728515625,-0.2907639443874359,0.13974562287330627,0.12927664816379547,-0.014357456006109715
-86.55109405517578,41.54463577270508,44.2408447265625,-1.2359771728515625,-0.2943536341190338,0.1254127323627472,0.14364072680473328,-0.014357456006109715
-86.58287811279297,36.8546257019043,49.15297317504883,-1.0141351222991943,-0.2907639443874359,0.10391341149806976,0.16159582138061523,-0.01076809223741293
-86.0743179321289,32.00616455078125,53.65311813354492,-0.6655261516571045,-0.2907639443874359,0.08958052843809128,0.17595988512039185,-0.014357456006109715
-84.8664779663086,26.777435302734375,57.77296447753906,-0.44368410110473633,-0.2835845947265625,0.07166442275047302,0.19032396376132965,-0.014357456006109715
-83.46793365478516,21.80221939086914,61.44913864135742,-0.31691721081733704,-0.2835845947265625,0.05374831706285477,0.2082790583372116,-0.014357456006109715
-81.84688568115234,16.76362419128418,64.84009552001953,-0.34860894083976746,-0.2764052450656891,0.03224898874759674,0.21546109020709991,-0.01076809223741293
-79.87620544433594,11.629962921142578,68.00920867919922,-0.31691721081733704,-0.2656362056732178,0.017916105687618256,0.22982516884803772,-0.014357456006109715
-77.5558853149414,6.369543552398682,70.86141204833984,-0.3803006410598755,-0.25486716628074646,-0.00716644199565053,0.23341618478298187,-0.007178728003054857
-74.6952133178711,0.7605425119400024,73.58685302734375,-0.34860894083976746,-0.24409812688827515,-0.021499326452612877,0.25137126445770264,-0.007178728003054857
-71.58026885986328,-4.658322811126709,76.0904541015625,-0.15845860540866852,-0.23332910239696503,-0.03941543027758598,0.254962295293808,-0.01076809223741293
-68.40174865722656,-10.1405668258667,78.4039077758789,-0.1267668902873993,-0.218970388174057,-0.06091475859284401,0.26573535799980164,-0.007178728003054857
-65.03251647949219,-15.36929702758789,80.36875915527344,0.03169172257184982,-0.2117910236120224,-0.07883086055517197,0.27291738986968994,-0.007178728003054857
-61.2818603515625,-20.471269607543945,81.85823822021484,0.22184205055236816,-0.19743230938911438,-0.10033018887042999,0.2765083909034729,-0.007178728003054857
-57.27692794799805,-25.795066833496094,83.28433990478516,0.44368410110473633,-0.18307359516620636,-0.11466307193040848,0.28009942173957825,0.0
-53.0177116394043,-31.087175369262695,84.48860168457031,0.7289096117019653,-0.16153553128242493,-0.12899595499038696,0.2836904525756836,-0.0035893640015274286
-48.5359992980957,-36.4743537902832,85.47103118896484,0.8556764721870422,-0.1507664918899536,-0.14691206812858582,0.28728145360946655,0.0
-44.27677917480469,-41.481258392333984,86.10485076904297,0.6655261516571045,-0.1328181028366089,-0.1612449437379837,0.2908724844455719,-0.0035893640015274286
-39.6043586730957,-46.26633834838867,86.1682357788086,0.6021426916122437,-0.11845938861370087,-0.18274427950382233,0.29446348547935486,0.0
