220kVI母电压_A相_1,220kVI母电压_B相_2,220kVI母电压_C相_3,220kVI母电压_3U0_4,果抚II回线241_A相_25,果抚II回线241_B相_26,果抚II回线241_C相_27,果抚II回线241_3I0_28
65.46166229248047,15.123796463012695,-80.69149780273438,-0.03103432059288025,-0.07442076504230499,0.16113093495368958,0.157964289188385,-0.018582846969366074
47.225616455078125,35.81024932861328,-83.9444351196289,-1.2879242897033691,-0.055815573781728745,0.10742062330245972,0.18584033846855164,0.018582846969366074
27.75641441345215,54.787506103515625,-82.89810943603516,-0.1862059235572815,0.0,0.044758595526218414,0.18584033846855164,0.018582846969366074
5.935859680175781,69.45552062988281,-75.79137420654297,-0.09310296177864075,0.055815573781728745,0.02685515582561493,0.16725629568099976,0.018582846969366074
-15.414423942565918,80.80872344970703,-65.35918426513672,0.4499976634979248,0.11163114756345749,0.0,0.157964289188385,0.009291423484683037
-35.907772064208984,83.57451629638672,-47.78917694091797,0.09310296177864075,0.16744671761989594,-0.008951718918979168,0.1115041971206665,-0.009291423484683037
-55.19931411743164,82.74581146240234,-27.608530044555664,0.09310296177864075,0.2139596939086914,-0.017903437837958336,0.06504411995410919,-0.018582846969366074
-69.4328384399414,75.54647064208984,-6.091488361358643,0.09310296177864075,0.24186748266220093,0.008951718918979168,0.009292016737163067,0.009291423484683037
-81.44041442871094,65.19806671142578,15.632747650146484,-1.1637870073318481,0.26977527141571045,0.044758595526218414,-0.05575209856033325,-0.018582846969366074
-83.21698760986328,47.546730041503906,35.8444709777832,0.27930888533592224,0.2790778577327728,0.08056546747684479,-0.09292016923427582,0.0
-83.09158325195312,27.606107711791992,54.895912170410156,-0.8379266858100891,0.30698564648628235,0.15217922627925873,-0.16725629568099976,-0.03716569393873215
-75.431396484375,6.1634650230407715,69.52377319335938,0.5896521210670471,0.29768306016921997,0.19693781435489655,-0.20442436635494232,0.009291423484683037
-65.3049087524414,-15.268818855285645,80.53610229492188,0.07758580148220062,0.24186748266220093,0.25959983468055725,-0.2415924370288849,-0.009291423484683037
-46.96435546875,-36.048500061035156,83.76832580566406,1.365510106086731,0.22326229512691498,0.3133101761341095,-0.27876049280166626,-0.018582846969366074
-27.57875633239746,-55.04647445678711,82.60803985595703,0.1862059235572815,0.14884153008460999,0.3580687642097473,-0.2880525290966034,-0.018582846969366074
-5.632796287536621,-69.71448516845703,75.44950103759766,0.4344804883003235,0.11163114756345749,0.38492390513420105,-0.27876049280166626,0.0
15.581631660461426,-81.19200134277344,65.19342803955078,-0.5431005954742432,0.08372335880994797,0.40282735228538513,-0.23230041563510895,-0.009291423484683037
36.221282958984375,-83.77133178710938,47.58198165893555,0.09310296177864075,0.037210382521152496,0.42968249320983887,-0.19513234496116638,-0.009291423484683037
55.28291702270508,-82.9322738647461,27.473854064941406,-0.09310296177864075,-0.037210382521152496,0.4386342167854309,-0.13008823990821838,0.0
69.72544860839844,-75.71221160888672,5.946452617645264,-0.03103432059288025,-0.06511817127466202,0.42968249320983887,-0.08362814784049988,-0.009291423484683037
81.51356506347656,-65.24986267089844,-15.622387886047363,1.117235541343689,-0.10232855379581451,0.375972181558609,-0.03716806694865227,0.009291423484683037
83.20654296875,-47.474220275878906,-36.03094482421875,-0.248274564743042,-0.12093374133110046,0.3312135934829712,0.027876049280166626,0.018582846969366074
83.02888488769531,-27.41965103149414,-54.95806884765625,0.8068923354148865,-0.1395389288663864,0.2506481409072876,0.09292016923427582,0.018582846969366074
75.4104995727539,-6.049518585205078,-69.60665130615234,-0.48103198409080505,-0.11163114756345749,0.22379297018051147,0.13008823990821838,0.018582846969366074
65.3049087524414,15.496711730957031,-80.74330139160156,-0.03103432059288025,-0.06511817127466202,0.15217922627925873,0.16725629568099976,0.009291423484683037
46.87030029296875,36.12101364135742,-83.87191772460938,-1.2724071741104126,-0.04651297628879547,0.08951719105243683,0.18584033846855164,0.018582846969366074
27.505603790283203,55.04647445678711,-82.87738800048828,-0.09310296177864075,0.009302595630288124,0.05371031165122986,0.18584033846855164,0.018582846969366074
5.538742542266846,69.68341064453125,-75.57382202148438,-0.1862059235572815,0.04651297628879547,0.008951718918979168,0.19513234496116638,0.009291423484683037
-15.67568588256836,80.96410369873047,-65.22450256347656,0.5741349458694458,0.12093374133110046,0.017903437837958336,0.13938024640083313,0.0
-36.242183685302734,83.50200653076172,-47.56126403808594,0.03103432059288025,0.1767493188381195,-0.008951718918979168,0.1115041971206665,0.0
-55.45012664794922,82.67330169677734,-27.349538803100586,0.10862012207508087,0.22326229512691498,-0.008951718918979168,0.06504411995410919,0.0
-69.6731948852539,75.47396087646484,-5.801417350769043,0.21724024415016174,0.2511700689792633,0.017903437837958336,0.009292016737163067,-0.018582846969366074
-81.5658187866211,64.92874145507812,15.912459373474121,-1.1327526569366455,0.2790778577327728,0.05371031165122986,-0.05575209856033325,-0.018582846969366074
-83.18563842773438,47.26704406738281,36.13454055786133,0.34137752652168274,0.2883804738521576,0.08951719105243683,-0.12079621851444244,-0.02787427045404911
-82.95572662353516,27.336780548095703,55.25849914550781,-0.7603408694267273,0.29768306016921997,0.15217922627925873,-0.16725629568099976,-0.018582846969366074
-75.24329376220703,5.86306095123291,69.68952941894531,0.6517207622528076,0.2790778577327728,0.19693781435489655,-0.223008394241333,-0.009291423484683037
-65.09590148925781,-15.610658645629883,80.56718444824219,0.015517160296440125,0.24186748266220093,0.2685515582561493,-0.2694684863090515,-0.009291423484683037
