1-220kVⅠ段母线电压Ua_1,2-220kVⅠ段母线电压Ub_2,3-220kVⅠ段母线电压Uc_3,4-220kVⅠ段母线电压3Uo_4,13-220kV青山变线路电流Ia_13,14-220kV青山变线路电流Ib_14,15-220kV青山变线路电流Ic_15,16-220kV青山变线路电流3Io_16
-76.662841796875,71.26593780517578,5.210405349731445,-0.31768494844436646,-0.21264585852622986,0.1416563093662262,0.07092580944299698,0.035407654941082
-78.70207977294922,68.24754333496094,10.389039993286133,-0.09530548006296158,-0.2480868399143219,0.1416563093662262,0.10638871788978577,0.035407654941082
-80.93251037597656,65.19737243652344,15.599445343017578,-0.19061096012592316,-0.2480868399143219,0.1416563093662262,0.10638871788978577,0.0
-82.4619369506836,61.54352569580078,20.746309280395508,-0.28591644763946533,-0.2480868399143219,0.10624222457408905,0.07092580944299698,0.0
-84.02323913574219,57.7625846862793,25.829631805419922,-0.7306753396987915,-0.2480868399143219,0.10624222457408905,0.10638871788978577,0.0
-84.6923599243164,53.377967834472656,30.72233009338379,-1.0165917873382568,-0.2480868399143219,0.10624222457408905,0.14185161888599396,0.035407654941082
-85.2021713256836,48.739166259765625,35.83742141723633,-0.9530548453330994,-0.2480868399143219,0.03541407734155655,0.14185161888599396,0.0
-85.04286193847656,43.909732818603516,40.66658020019531,-0.8259808421134949,-0.2480868399143219,0.03541407734155655,0.14185161888599396,0.035407654941082
-85.07472229003906,39.334476470947266,45.463966369628906,-0.44475892186164856,-0.318968802690506,0.0708281546831131,0.17731451988220215,0.0
-84.85167694091797,34.6956787109375,50.03895568847656,-0.19061096012592316,-0.28352782130241394,0.0708281546831131,0.17731451988220215,0.0
-84.24627685546875,29.707380294799805,54.64571762084961,0.19061096012592316,-0.2480868399143219,0.03541407734155655,0.17731451988220215,0.035407654941082
-83.35411071777344,24.528446197509766,58.775917053222656,0.0,-0.2480868399143219,0.03541407734155655,0.24824033677577972,0.0
-81.47418212890625,19.222421646118164,62.39778137207031,0.2541479468345642,-0.21264585852622986,0.03541407734155655,0.21277743577957153,0.035407654941082
-79.88101959228516,13.789307594299316,65.98787689208984,-0.06353698670864105,-0.2480868399143219,-0.03541407734155655,0.21277743577957153,0.035407654941082
-77.45941925048828,8.324420928955078,69.03787231445312,-0.15884247422218323,-0.2480868399143219,-0.03541407734155655,0.21277743577957153,0.0
-75.3564453125,3.177259922027588,71.9925537109375,-0.3494534492492676,-0.21264585852622986,-0.03541407734155655,0.24824033677577972,0.070815309882164
-72.39317321777344,-1.9699010848999023,74.24827575683594,-0.22237946093082428,-0.2480868399143219,0.0,0.24824033677577972,0.0
-70.25833892822266,-6.735791206359863,77.1076431274414,0.15884247422218323,-0.17720487713813782,-0.0708281546831131,0.24824033677577972,0.0
-67.19947052001953,-12.200677871704102,79.3951416015625,-0.06353698670864105,-0.17720487713813782,-0.0708281546831131,0.24824033677577972,0.035407654941082
-64.1406021118164,-17.28429412841797,81.6826400756836,0.41299042105674744,-0.14176391065120697,-0.10624222457408905,0.21277743577957153,0.035407654941082
-61.24105453491211,-22.59031867980957,30.97649574279785,-92.92284393310547,-0.03544097766280174,0.03541407734155655,1.666756510734558,1.699567437171936
-60.890560150146484,-35.0451774597168,62.71548843383789,-57.755123138427734,-0.03544097766280174,-0.0708281546831131,2.021385669708252,1.9828286170959473
-45.59622573852539,-27.45152473449707,46.004066467285156,-46.41376876831055,0.10632292926311493,0.0708281546831131,2.0568485260009766,2.230682134628296
-49.1649055480957,-37.841163635253906,71.6113052368164,-25.097110748291016,-0.21264585852622986,-0.2124844491481781,2.588792085647583,2.1244592666625977
-28.61314582824707,-27.006710052490234,61.22226333618164,10.102380752563477,-0.14176391065120697,-0.31872668862342834,2.978883981704712,2.5139434337615967
-32.7234992980957,-43.909732818603516,64.36756896972656,-21.952030181884766,-0.10632292926311493,-0.2124844491481781,3.439901828765869,3.1158735752105713
-31.89505386352539,-52.67897033691406,55.21759033203125,-50.098915100097656,-0.07088195532560349,-0.17707037925720215,3.652679204940796,3.434542417526245
-28.67687225341797,-57.50840377807617,59.76081085205078,-45.36540985107422,-0.14176391065120697,-0.31872668862342834,4.042771339416504,3.6469883918762207
-19.723316192626953,-57.92144775390625,60.68216323852539,-29.67177391052246,-0.21264585852622986,-0.38955482840538025,4.503788948059082,3.9302496910095215
-15.135016441345215,-60.780982971191406,62.27069854736328,-23.953445434570312,0.0,-0.24789853394031525,4.893880844116211,4.638402938842773
-3.664267063140869,-60.52680206298828,68.49777221679688,7.560901641845703,0.03544097766280174,-0.10624222457408905,5.000269412994385,4.886256217956543
-0.9240325689315796,-63.100379943847656,60.80924606323242,-5.4959492683410645,-0.10632292926311493,-0.2124844491481781,5.3194355964660645,4.99247932434082
2.2304234504699707,-66.91309356689453,57.06029510498047,-12.866240501403809,-0.2480868399143219,-0.46038299798965454,5.638601779937744,4.921663761138916
8.411882400512695,-71.61544036865234,50.6108283996582,-21.602575302124023,-0.07088195532560349,-0.3541407585144043,5.709527492523193,5.240333080291748
10.642306327819824,-77.04855346679688,40.03116226196289,-45.17479705810547,-0.10632292926311493,-0.31872668862342834,6.135082721710205,5.629817008972168
17.078670501708984,-76.82614135742188,43.27178192138672,-28.464570999145508,0.0,-0.2833126187324524,6.206008434295654,5.877670764923096
25.42682647705078,-76.44486999511719,40.50772476196289,-17.885662078857422,-0.03544097766280174,-0.3541407585144043,6.489711761474609,6.090116500854492
29.919536590576172,-78.28768157958984,45.01917266845703,-5.654791831970215,-0.03544097766280174,-0.31872668862342834,6.489711761474609,6.1609320640563965
