220kVII母电压_5,220kVII母电压_6,220kVII母电压_7,220kVII母电压_8,大剑I回_9,大剑I回_10,大剑I回_11,大剑I回_12
18.325122833251953,62.88848114013672,-80.31127166748047,1.3955069780349731,0.41650399565696716,-0.09056700021028519,-0.2542400062084198,-0.01803000085055828
-8.614558219909668,78.0132827758789,-68.29637145996094,1.3320749998092651,0.3440679907798767,0.01811699941754341,-0.3087199926376343,-0.01803000085055828
-34.08559799194336,85.4222412109375,-51.37027359008789,-0.6343169808387756,0.25352299213409424,0.1630290001630783,-0.3450399935245514,-0.01803000085055828
-56.115196228027344,84.21664428710938,-27.5158748626709,0.697754979133606,0.18108700215816498,0.271712988615036,-0.3813599944114685,-0.01803000085055828
-73.32239532470703,74.68144226074219,0.5042759776115417,2.981307029724121,0.0724330022931099,0.3441689908504486,-0.3813599944114685,-0.036058999598026276
-83.80015563964844,58.15376281738281,26.419626235961914,0.8880509734153748,-0.07243900001049042,0.39851099252700806,-0.2905600070953369,-0.01803000085055828
-85.40031433105469,35.70768356323242,48.73927688598633,-2.251832962036133,-0.1810930073261261,0.43473899364471436,-0.16344000399112701,-0.036058999598026276
-78.12287902832031,9.491362571716309,68.34022521972656,-1.173488974571228,-0.2897469997406006,0.43473899364471436,-0.09080000221729279,-0.05408800020813942
-63.85295867919922,-17.404476165771484,82.41607666015625,1.0783469676971436,-0.3259649872779846,0.3441689908504486,0.05448000133037567,-0.01803000085055828
-43.16047668457031,-42.064476013183594,86.60375213623047,1.3320749998092651,-0.38029199838638306,0.25359898805618286,0.16344000399112701,-0.036058999598026276
-18.06207847595215,-62.62543869018555,80.3551254272461,-1.5223649740219116,-0.4165099859237671,0.1630290001630783,0.3087199926376343,0.018028000369668007
8.965282440185547,-77.66255950927734,68.515625,-1.3320690393447876,-0.3259649872779846,0.03623099997639656,0.3813599944114685,0.018028000369668007
34.4582405090332,-85.0057601928711,51.80877685546875,1.2686430215835571,-0.21731099486351013,-0.10868100076913834,0.39952000975608826,-9.999999974752427e-07
56.37824249267578,-83.93167877197266,28.042076110839844,-0.12686100602149963,-0.14487500488758087,-0.18113699555397034,0.4176799952983856,-0.01803000085055828
73.62928009033203,-74.37455749511719,-0.02192400023341179,-2.5372769832611084,-0.07243900001049042,-0.2717069983482361,0.3813599944114685,-0.01803000085055828
84.1947250366211,-57.803035736083984,-26.156524658203125,-0.6660330295562744,0.10865099728107452,-0.32604900002479553,0.27239999175071716,-0.05408800020813942
