2号主变电压_A相_5,2号主变电压_B相_6,2号主变电压_C相_7,2号主变电压_3U0_8,漫昆II回电流_A相_49,漫昆II回电流_B相_50,漫昆II回电流_C相_51,漫昆II回电流_3I0_52
-2.4472615718841553,77.34845733642578,-75.34142303466797,-0.31123846769332886,-0.024792181327939034,0.011353600770235062,0.026510044932365417,-0.0018936502747237682
-24.783708572387695,85.6837387084961,-61.07080078125,0.015561923384666443,-0.022885089740157127,-0.003784533590078354,0.03219076991081238,-0.0018936502747237682
-45.720237731933594,88.07714080810547,-42.50028991699219,-0.04668577015399933,-0.017163816839456558,-0.015138134360313416,0.03787149116396904,0.0037873005494475365
-63.77397918701172,84.53907012939453,-20.990489959716797,-0.28011462092399597,-0.011442544870078564,-0.01892266795039177,0.034084342420101166,0.0018936502747237682
-77.62796783447266,75.30886840820312,1.9837623834609985,-0.5757911801338196,-0.0038141815457493067,-0.020814934745430946,0.026510044932365417,0.007574601098895073
-85.820068359375,61.000492095947266,24.52179527282715,-0.6691626906394958,0.011442544870078564,-0.026491735130548477,0.017042171210050583,0.01136190164834261
-88.03919982910156,42.37359619140625,45.43958282470703,-0.6847246289253235,0.024792181327939034,-0.03784533590078354,0.011361447162926197,0.009468251839280128
-84.33719635009766,20.999486923217773,63.2934455871582,-0.49798154830932617,0.02097799815237522,-0.03216853737831116,0.0056807235814630985,0.007574601098895073
-74.90071868896484,-1.9875630140304565,77.0863037109375,-0.23342885076999664,0.02097799815237522,-0.022707201540470123,0.0018935746047645807,0.009468251839280128
-60.5904655456543,-24.360654830932617,85.43680572509766,0.20230500400066376,0.03242054209113121,-0.022707201540470123,-0.00946787279099226,0.01136190164834261
-41.87306213378906,-45.464202880859375,87.85678100585938,0.45129579305648804,0.04195599630475044,-0.020814934745430946,-0.017042171210050583,0.005680950824171305
-20.262496948242188,-63.612422943115234,84.32547760009766,0.5135434865951538,0.03242054209113121,-0.011353600770235062,-0.022722894325852394,0.0037873005494475365
2.6857659816741943,-77.60861206054688,75.14408874511719,0.4046100080013275,0.028606362640857697,-0.007569067180156708,-0.022722894325852394,0.0018936502747237682
24.94962501525879,-85.90226745605469,60.85268783569336,0.015561923384666443,0.024792181327939034,0.009461333975195885,-0.028403619304299355,0.0037873005494475365
45.90689468383789,-88.27485656738281,42.24063491821289,0.07780961692333221,0.022885089740157127,0.01892266795039177,-0.028403619304299355,0.0018936502747237682
63.77397918701172,-84.70556640625,20.897014617919922,0.34236231446266174,0.015256726182997227,0.020814934745430946,-0.026510044932365417,0.0
77.4827880859375,-75.3921127319336,-2.0253071784973145,0.653600811958313,0.009535454213619232,0.020814934745430946,-0.01893574558198452,0.0
85.61267852783203,-60.93805694580078,-24.594499588012695,0.7314103841781616,-0.007628363091498613,0.03027626872062683,-0.011361447162926197,-0.0018936502747237682
87.75921630859375,-42.269535064697266,-45.533058166503906,0.6847246289253235,-0.019070908427238464,0.039737604558467865,-0.007574298419058323,-0.0018936502747237682
84.09869384765625,-20.791366577148438,-63.470008850097656,0.5446673035621643,-0.017163816839456558,0.028384001925587654,-0.0018935746047645807,-0.0037873005494475365
74.70369720458984,2.1540603637695312,-77.34596252441406,0.28011462092399597,-0.019070908427238464,0.028384001925587654,0.007574298419058323,-0.0037873005494475365
60.33121871948242,24.547964096069336,-85.60298156738281,-0.2178669273853302,-0.030513452365994453,0.0245994683355093,0.01893574558198452,-0.005680950824171305
41.582706451416016,45.557857513427734,-87.96064758300781,-0.4357338547706604,-0.034327633678913116,0.020814934745430946,0.03029719367623329,-0.005680950824171305
20.096580505371094,63.62282943725586,-84.41895294189453,-0.4824196398258209,-0.02669927105307579,0.013245867565274239,0.028403619304299355,-0.005680950824171305
-2.8724215030670166,77.50454711914062,-75.13370513916016,-0.2956765592098236,-0.022885089740157127,0.011353600770235062,0.028403619304299355,-0.005680950824171305
-25.12590980529785,85.79820251464844,-60.800758361816406,0.04668577015399933,-0.022885089740157127,-0.007569067180156708,0.03219076991081238,0.0
-46.072811126708984,88.07714080810547,-42.17831802368164,-0.09337154030799866,-0.015256726182997227,-0.017030401155352592,0.039765067398548126,0.0037873005494475365
-64.05396270751953,84.4454116821289,-20.616588592529297,-0.31123846769332886,-0.009535454213619232,-0.020814934745430946,0.034084342420101166,0.0037873005494475365
-77.82498931884766,75.15277099609375,2.368051528930664,-0.5757911801338196,-0.007628363091498613,-0.020814934745430946,0.03029719367623329,0.005680950824171305
-85.90303039550781,60.74034118652344,24.89569854736328,-0.6691626906394958,0.009535454213619232,-0.026491735130548477,0.022722894325852394,0.005680950824171305
-88.00808715820312,42.00938034057617,45.7927131652832,-0.6380388736724854,0.02097799815237522,-0.034060802310705185,0.00946787279099226,0.01136190164834261
-84.22312927246094,20.61446189880371,63.57387161254883,-0.5291054248809814,0.02097799815237522,-0.028384001925587654,0.00946787279099226,0.009468251839280128
-74.73480987548828,-2.362182140350342,77.29402923583984,-0.18674308061599731,0.02097799815237522,-0.022707201540470123,0.0,0.009468251839280128
-60.32085037231445,-24.756086349487305,85.54066467285156,0.2178669273853302,0.03242054209113121,-0.01892266795039177,-0.00946787279099226,0.009468251839280128
-41.4893798828125,-45.79719924926758,87.86717224121094,0.42017194628715515,0.040048908442258835,-0.01892266795039177,-0.022722894325852394,0.005680950824171305
-19.889184951782227,-63.86216735839844,84.21123504638672,0.5135434865951538,0.034327633678913116,-0.009461333975195885,-0.020829319953918457,0.007574601098895073
