220kVI段母线TV电压_A_1,220kVI段母线TV电压_B_2,220kVI段母线TV电压_C_3,220kVI段母线TV电压_N_4,220kV黄施I回线电流_A_13,220kV黄施I回线电流_B_14,220kV黄施I回线电流_C_15,220kV黄施I回线电流_N_16
81.46126556396484,-65.77012634277344,-15.432060241699219,0.4875989854335785,0.1143999993801117,-0.100662000477314,-0.007048000115901232,0.0035260000731796026
84.5911636352539,-55.843746185302734,-27.693723678588867,1.8088350296020508,0.11791999638080597,-0.08653400093317032,-0.024668000638484955,0.0017630000365898013
85.71498107910156,-44.99398422241211,-40.049869537353516,1.116758942604065,0.12495999783277512,-0.06710799783468246,-0.04405000060796738,0.0035260000731796026
85.02178192138672,-33.115909576416016,-52.2065544128418,-0.5819730162620544,0.12144000083208084,-0.05121399834752083,-0.0634320005774498,0.0
82.5220718383789,-19.999658584594727,-62.820030212402344,-0.6134309768676758,0.11791999638080597,-0.030022000893950462,-0.07752799987792969,0.0
77.94276428222656,-6.1908698081970215,-71.26042175292969,0.7549920082092285,0.11088000237941742,-0.008829999715089798,-0.08986199647188187,0.0017630000365898013
70.9792709350586,7.15622615814209,-77.6642074584961,0.7235339879989624,0.10208000242710114,0.010595999658107758,-0.10219600051641464,0.0
61.726131439208984,19.76881217956543,-82.1363525390625,-1.1796749830245972,0.08799999952316284,0.03178799897432327,-0.11452999711036682,0.0
51.317657470703125,32.182029724121094,-84.57189178466797,-1.8560220003128052,0.07568000257015228,0.04944799840450287,-0.11981599777936935,0.0
40.16347122192383,44.54278564453125,-85.01280212402344,-0.5977020263671875,0.05984000116586685,0.06887400150299072,-0.12157800048589706,-0.0017630000365898013
27.93798065185547,56.15853500366211,-83.65856170654297,0.7235339879989624,0.04224000126123428,0.08476799726486206,-0.12334000319242477,-0.0017630000365898013
14.620176315307617,66.07442474365234,-80.69812774658203,0.0,0.026399999856948853,0.09713000059127808,-0.12157800048589706,0.0
0.9767789840698242,73.88121032714844,-75.50161743164062,-1.1324880123138428,0.007040000054985285,0.1094919964671135,-0.11452999711036682,-0.0017630000365898013
-12.120462417602539,79.9881362915039,-68.02703857421875,-0.2831220030784607,-0.008799999952316284,0.11832199990749359,-0.10748200118541718,-0.0017630000365898013
-24.587522506713867,83.9544906616211,-58.44236755371094,1.5257129669189453,-0.029920000582933426,0.12538599967956543,-0.0951479971408844,-0.0017630000365898013
-36.876033782958984,85.70682525634766,-47.933868408203125,1.478525996208191,-0.04927999898791313,0.1306840032339096,-0.07752799987792969,-0.0017630000365898013
-48.9229736328125,85.28710174560547,-36.33357620239258,-0.06291600316762924,-0.06511999666690826,0.13244999945163727,-0.06519400328397751,-0.0017630000365898013
-60.03514862060547,83.34590148925781,-23.672990798950195,-0.7235339879989624,-0.07919999957084656,0.1306840032339096,-0.04581199958920479,-0.0017630000365898013
-69.28829193115234,79.79926300048828,-10.214553833007812,0.3617669939994812,-0.08975999802350998,0.12362000346183777,-0.028192000463604927,0.0
-76.37781524658203,73.95466613769531,3.054918050765991,0.975197970867157,-0.10208000242710114,0.11655600368976593,-0.00880999956279993,-0.0017630000365898013
-81.5873031616211,65.6861801147461,15.684012413024902,-0.4718700051307678,-0.11088000237941742,0.10419400036334991,0.010572000406682491,0.0
-84.62267303466797,55.78078842163086,27.924680709838867,-1.667273998260498,-0.11264000087976456,0.09006600081920624,0.0317160002887249,0.0017630000365898013
-85.6834716796875,44.96250534057617,40.196842193603516,-0.9437400102615356,-0.11615999788045883,0.07240600138902664,0.0475739985704422,-0.0017630000365898013
-84.80122375488281,33.042457580566406,52.0385856628418,0.5033280253410339,-0.1196800023317337,0.05474599823355675,0.06695599853992462,0.0
-82.2594985961914,19.800291061401367,62.72555160522461,0.4875989854335785,-0.1143999993801117,0.03708599880337715,0.08281400054693222,0.0017630000365898013
-77.74320220947266,6.012488842010498,71.27091979980469,-0.7549920082092285,-0.10735999792814255,0.014127999544143677,0.09690999984741211,0.0017630000365898013
-70.88475036621094,-7.250662803649902,77.82167053222656,-0.5347859859466553,-0.1003199964761734,-0.008829999715089798,0.10924399644136429,0.0035260000731796026
-61.83116149902344,-19.737333297729492,82.2413330078125,1.195404052734375,-0.0862400010228157,-0.028255999088287354,0.11805400252342224,0.0035260000731796026
-51.30715560913086,-32.182029724121094,84.54039764404297,1.824563980102539,-0.07391999661922455,-0.04591599851846695,0.11981599777936935,0.0
-40.07944869995117,-44.6477165222168,85.02330017089844,0.4718700051307678,-0.058079998940229416,-0.0653420016169548,0.1251019984483719,0.0017630000365898013
-27.6859073638916,-56.37888717651367,83.71105194091797,-0.660618007183075,-0.04047999903559685,-0.07947000116109848,0.1268640011548996,0.0035260000731796026
-14.47313404083252,-66.16886138916016,80.69812774658203,0.06291600316762924,-0.02287999913096428,-0.0918319970369339,0.12334000319242477,0.0035260000731796026
-1.008288025856018,-73.77628326416016,75.47012329101562,1.1324880123138428,-0.005280000157654285,-0.10595999658107758,0.11805400252342224,0.0035260000731796026
11.973420143127441,-79.7468032836914,67.91156005859375,0.18874800205230713,0.01408000010997057,-0.11479000002145767,0.10924399644136429,0.0035260000731796026
24.34595489501953,-83.7131576538086,58.46336364746094,-1.5729000568389893,0.033440001308918,-0.12185399979352951,0.09690999984741211,0.0035260000731796026
36.7815055847168,-85.53893280029297,47.923370361328125,-1.4313390254974365,0.05455999821424484,-0.12891800701618195,0.08281400054693222,0.0035260000731796026
48.96498489379883,-85.20316314697266,36.32307815551758,0.18874800205230713,0.06864000111818314,-0.12891800701618195,0.06871800124645233,0.0017630000365898013
