110kV I母电压_1,110kV I母电压_2,110kV I母电压_3,110kV I母电压_4,110kV 腰勤线_9,110kV 腰勤线_10,110kV 腰勤线_11,110kV 腰勤线_12
70.55387878417969,6.757279872894287,-76.8959732055664,0.09386400133371353,0.13502000272274017,-0.006903999950736761,-0.06801900267601013,0.01027199998497963
67.16865539550781,12.228739738464355,-78.9224853515625,0.07822000235319138,0.13330000638961792,-0.0025889999233186245,-0.06974100321531296,0.008559999987483025
63.465065002441406,17.818559646606445,-80.81636810302734,0.10168600082397461,0.13157999515533447,0.0,-0.07749000191688538,0.011127999983727932
59.5120964050293,23.160900115966797,-82.23280334472656,0.10168600082397461,0.12727999687194824,0.004315000027418137,-0.08007299900054932,0.011127999983727932
55.43178176879883,28.314939498901367,-83.42642974853516,-0.007822000421583652,0.12297999858856201,0.01639699935913086,-0.08437799662351608,0.01626400090754032
51.28248977661133,33.50664138793945,-84.4502944946289,0.0,0.11782000213861465,0.020711999386548996,-0.0852390006184578,0.01027199998497963
47.04299545288086,38.56922149658203,-85.21421813964844,0.14861799776554108,0.11180000007152557,0.02847900055348873,-0.08868300169706345,0.012839999981224537
42.45861053466797,43.37356185913086,-85.46885681152344,0.054754000157117844,0.10835999995470047,0.043150000274181366,-0.08868300169706345,0.012839999981224537
37.815860748291016,47.795921325683594,-85.34683990478516,-0.11732999980449677,0.09889999777078629,0.04832800105214119,-0.09643200039863586,0.007703999988734722
32.992706298828125,51.98155975341797,-84.82695007324219,-0.2894139885902405,0.09459999948740005,0.05350600183010101,-0.09470999985933304,0.009415999986231327
27.898948669433594,56.12416076660156,-83.86674499511719,-0.18772800266742706,0.08427999913692474,0.05868399888277054,-0.09384900331497192,0.01369599997997284
22.587642669677734,60.08921813964844,-82.51396942138672,-0.19554999470710754,0.07998000085353851,0.06645099818706512,-0.09470999985933304,0.012839999981224537
17.414291381835938,63.77989959716797,-80.95960235595703,-0.12515200674533844,0.07051999866962433,0.0750809982419014,-0.09729299694299698,0.01369599997997284
12.373592376708984,67.21234130859375,-79.2673110961914,0.1799059957265854,0.06536000221967697,0.08025900274515152,-0.09815400093793869,0.01626400090754032
7.216159820556641,70.4349594116211,-77.06573486328125,0.5240740180015564,0.05503999814391136,0.08975200355052948,-0.09557099640369415,0.009415999986231327
1.7881220579147339,73.41548156738281,-74.62543487548828,0.46931999921798706,0.05245999991893768,0.094930000603199,-0.09557099640369415,0.01027199998497963
-3.6346099376678467,76.2345962524414,-71.9464111328125,0.508430004119873,0.043859999626874924,0.10528600215911865,-0.08782199770212173,0.011127999983727932
-8.988364219665527,78.49958038330078,-68.88542175292969,0.5162519812583923,0.03612000122666359,0.10960099846124649,-0.08696100115776062,0.011983999982476234
-14.41109561920166,80.36643981933594,-65.55388641357422,0.10950800031423569,0.02751999907195568,0.11219000071287155,-0.08696100115776062,0.011983999982476234
-19.616281509399414,82.10417938232422,-62.1003303527832,0.03911000117659569,0.03009999915957451,0.11132699996232986,-0.08437799662351608,0.011127999983727932
-24.832080841064453,83.6321029663086,-58.344390869140625,0.1720840036869049,0.01375999953597784,0.11823099851608276,-0.08437799662351608,0.011983999982476234
-30.095632553100586,84.89102172851562,-54.34972381591797,0.14861799776554108,0.010320000350475311,0.12340900301933289,-0.08007299900054932,0.012839999981224537
-35.08327102661133,85.66574096679688,-50.1057243347168,0.12515200674533844,0.00343999988399446,0.12686100602149963,-0.07662899792194366,0.01027199998497963
-39.7207145690918,85.92398071289062,-45.676048278808594,0.23465999960899353,-0.00171999994199723,0.12686100602149963,-0.06715799868106842,0.011983999982476234
-44.35285568237305,86.1122817993164,-40.88563537597656,0.7978439927101135,-0.006020000204443932,0.12599800527095795,-0.06801900267601013,0.011983999982476234
-49.06458282470703,85.90245819091797,-36.12704849243164,0.6101160049438477,-0.016340000554919243,0.12686100602149963,-0.05338200181722641,0.011983999982476234
-53.34652328491211,85.30528259277344,-31.182790756225586,0.7743780016899109,-0.025800000876188278,0.13117599487304688,-0.05338200181722641,0.012839999981224537
-57.262351989746094,84.05712127685547,-26.174869537353516,0.6022940278053284,-0.02751999907195568,0.12427199631929398,-0.0396060012280941,0.014551999978721142
-61.02961349487305,82.59913635253906,-21.08737564086914,0.2111939936876297,-0.032680001109838486,0.12513500452041626,-0.030135000124573708,0.01626400090754032
-64.59524536132812,80.91519927978516,-15.877864837646484,0.19554999470710754,-0.0430000014603138,0.13117599487304688,-0.02841299958527088,0.011127999983727932
-67.94332885742188,79.01605987548828,-10.726710319519043,0.007822000421583652,-0.05245999991893768,0.1303129941225052,-0.018942000344395638,0.011127999983727932
-70.95713806152344,76.78336334228516,-5.4641499519348145,-0.08604200184345245,-0.05590000003576279,0.12427199631929398,-0.005166000220924616,0.014551999978721142
-73.732177734375,74.12564086914062,-0.07427000254392624,-0.03128800168633461,-0.058479998260736465,0.12599800527095795,-0.0017219999572262168,0.01369599997997284
-76.36395263671875,71.231201171875,5.172375202178955,-0.5710060000419617,-0.06880000233650208,0.12082000076770782,0.002583000110462308,0.01626400090754032
-78.61900329589844,68.34751892089844,10.519815444946289,-0.15644000470638275,-0.07998000085353851,0.12082000076770782,0.012915000319480896,0.01369599997997284
-80.74140167236328,65.25402069091797,15.803594589233398,0.07822000235319138,-0.07998000085353851,0.11823099851608276,0.023246999830007553,0.011983999982476234
-82.44993591308594,61.70859909057617,21.15103530883789,0.20337200164794922,-0.08169999718666077,0.11219000071287155,0.026691000908613205,0.015407999977469444
